District,Micro,Small,Medium,KVIC,Other Msme,Total Msme NPA
Anjaw,2,0,0,0,0,2
Changlang,19,0,0,0,0,19
Dibang Valley,1,0,0,0,0,1
East Kameng,44,5,0,0,0,49
East Siang,232,21,0,0,31,284
Kamle,30,1,0,0,0,31
Kra Daadi,20,5,0,0,0,25
Kurung Kumey,37,11,0,0,1,49
Lepa Rada,11,0,0,0,7,18
Lohit,58,0,0,1,3,62
Longding,18,2,0,0,0,20
Lower Dibang Valley,1,0,0,0,1,2
Lower Siang,5,3,0,0,11,19
Lower Subansiri,133,28,0,3,18,182
Namsai,188,0,0,0,1,189
Pakke Kessang,4,0,0,0,0,4
Papum Pare,1984,245,4,36,143,2412
Shi Yomi,13,0,0,0,0,13
Siang,10,0,0,0,4,14
Tawang,33,7,0,0,0,40
Tirap,20,0,0,0,0,20
Upper Siang,14,1,0,0,1,16
Upper Subansiri,71,5,0,0,60,136
West Kameng,40,0,0,0,0,40
West Siang,99,5,0,0,16,120
