district,disb_amt,kishore_no,sanc_amt,shishu_no,tarun_no,total_no
Alipurduar,223.92,2147.0,224.14,71128.0,76.0,73351.0
Bankura,205.32,3443.0,213.33,44220.0,498.0,48161.0
Birbhum,491.28,11417.0,502.24,74753.0,4648.0,90818.0
Cooch Behar,285.12,3136.0,289.6,78879.0,294.0,82309.0
Dakshin Dinajpur,194.3,2677.0,197.41,55138.0,206.0,58021.0
Howrah,736.66,11306.0,752.49,153259.0,1207.0,165772.0
Jalpaiguri,468.11,5824.0,480.76,131453.0,612.0,137889.0
Kalimpong,0.51,0.0,0.51,199.0,0.0,199.0
Kolkata,1056.63,17312.0,1086.07,164085.0,4160.0,185557.0
Malda,507.96,7543.0,514.61,124626.0,12846.0,145015.0
Murshidabad,876.26,12532.0,887.8,253363.0,12001.0,277896.0
Nadia,719.63,9828.0,733.22,182103.0,13003.0,204934.0
North 24 Parganas,1094.03,17158.0,1128.1,245629.0,14023.0,276810.0
Paschim Medinipur,573.05,8980.0,593.25,124869.0,1361.0,135210.0
Purba Bardhaman,1092.67,17865.0,1110.55,202842.0,5222.0,225929.0
Purba Medinipur,519.68,8378.0,535.2,113696.0,942.0,123016.0
South 24 Parganas,767.78,12031.0,782.4,186096.0,10806.0,208933.0
Uttar Dinajpur,214.48,2817.0,219.44,53383.0,4611.0,60811.0
