district,sep_g,sep_i,shg_credit_linkage
Alipurduar,3.0,40.0,489.0
Bankura,12.0,120.0,1945.0
Birbhum,22.0,230.0,3065.0
Cooch Behar,17.0,190.0,1459.0
Dakshin Dinajpur,8.0,90.0,1707.0
Darjeeling,7.0,130.0,1773.0
Hooghly,39.0,520.0,4490.0
Howrah,8.0,150.0,1210.0
Jalpaiguri,11.0,130.0,1381.0
Jhargram,3.0,45.0,412.0
Kalimpong,2.0,20.0,104.0
Kolkata,5.0,100.0,656.0
Malda,11.0,70.0,584.0
Murshidabad,27.0,263.0,4493.0
Nadia,32.0,357.0,4929.0
North 24 Parganas,74.0,1136.0,13318.0
Paschim Bardhaman,7.0,188.0,1869.0
Paschim Medinipur,21.0,268.0,2963.0
Purba Bardhaman,20.0,242.0,2585.0
Purba Medinipur,18.0,230.0,2685.0
Purulia,6.0,80.0,724.0
South 24 Parganas,23.0,241.0,2937.0
Uttar Dinajpur,14.0,160.0,1807.0
