district,amount,kcc_disbursement_during_01_04_2019_to_31_12_2019_fresh_renewal_no,of_achievement_no,target_no
Alipurduar,55.53,10249.0,20.5,50000.0
Bankura,753.11,108075.0,77.2,140000.0
Birbhum,131.91,62148.0,37.67,165000.0
Cooch Behar,461.28,82722.0,82.72,100000.0
Dakshin Dinajpur,137.41,45253.0,41.14,110000.0
Darjeeling,16.94,2805.0,4.01,70000.0
Hooghly,499.39,136470.0,55.7,245000.0
Howrah,80.37,28562.0,40.8,70000.0
Jalpaiguri,108.43,20998.0,35.0,60000.0
Jhargram,136.3,51586.0,54.3,95000.0
Kalimpong,9.3,1460.0,7.3,20000.0
Kolkata,0.0,0.0,,0.0
Malda,249.58,55718.0,26.53,210000.0
Murshidabad,78.87,37176.0,14.87,250000.0
Nadia,695.35,96469.0,34.45,280000.0
Paschim Bardhaman,116.19,26201.0,26.2,100000.0
Paschim Medinipur,494.17,250051.0,80.66,310000.0
Purba Bardhaman,718.9,162363.0,60.13,270000.0
Purba Medinipur,1000.88,380308.0,131.14,290000.0
Purulia,47.91,18421.0,12.28,150000.0
Uttar Dinajpur,94.42,18985.0,17.26,110000.0
