district,1_year_and_above,6_months_to_1_year,above_60_days_below_6_months,pending_below_60_days,total_pending_as_on_31_12_2019
Alipurduar,0.0,0.0,0.0,0.0,0.0
Bankura,10.0,2.0,2.0,1.0,15.0
Birbhum,7.0,12.0,16.0,5.0,40.0
Cooch Behar,12.0,21.0,13.0,1.0,47.0
Dakshin Dinajpur,83.0,5.0,0.0,0.0,88.0
Darjeeling,15.0,2.0,7.0,7.0,31.0
Hooghly,117.0,20.0,57.0,3.0,197.0
Howrah,61.0,9.0,69.0,3.0,142.0
Jalpaiguri,15.0,5.0,8.0,1.0,29.0
Jhargram,4.0,3.0,2.0,0.0,9.0
Kalimpong,5.0,0.0,0.0,0.0,5.0
Kolkata,188.0,54.0,45.0,26.0,313.0
Malda,60.0,41.0,5.0,1.0,107.0
Murshidabad,165.0,76.0,13.0,27.0,281.0
Nadia,47.0,15.0,10.0,4.0,76.0
Paschim Bardhaman,82.0,30.0,40.0,3.0,155.0
Paschim Medinipur,35.0,16.0,2.0,4.0,57.0
Purba Bardhaman,50.0,35.0,16.0,2.0,103.0
Purba Medinipur,107.0,17.0,16.0,0.0,140.0
Purulia,11.0,0.0,0.0,2.0,13.0
Uttar Dinajpur,46.0,7.0,3.0,2.0,58.0
