district,credit_linkage,no_of_programs,own,self_employed_bank,settlement,total_settled_with_wage,total_settled_without_wage,total_trained,wage_employed
Bankura,51.75,290.0,2058.0,2207.0,70.85,4871.0,4265.0,6875.0,606.0
Birbhum,74.26,221.0,1142.0,3295.0,68.35,4445.0,4437.0,6503.0,8.0
Cooch Behar,48.31,127.0,1057.0,988.0,69.23,2079.0,2045.0,3003.0,34.0
Darjeeling,59.96,102.0,736.0,1102.0,70.18,1878.0,1838.0,2676.0,40.0
Hooghly,85.58,253.0,639.0,3791.0,68.49,4430.0,4430.0,6468.0,0.0
Howrah,24.73,603.0,9431.0,3098.0,86.37,13158.0,12529.0,15234.0,629.0
Jalpaiguri,77.88,249.0,905.0,3187.0,82.37,4313.0,4092.0,5236.0,221.0
Malda,53.97,214.0,1873.0,2196.0,73.61,4739.0,4069.0,6438.0,670.0
Nadia,42.99,198.0,2005.0,1512.0,70.04,3590.0,3517.0,5126.0,73.0
North 24 Parganas,57.17,256.0,2241.0,2991.0,81.09,5356.0,5232.0,6605.0,124.0
Purba Bardhaman,56.76,231.0,1778.0,2334.0,69.41,4112.0,4112.0,5924.0,0.0
Purba Medinipur,51.96,216.0,2211.0,2391.0,74.46,4648.0,4602.0,6242.0,46.0
Purulia,64.72,174.0,820.0,1504.0,51.71,2324.0,2324.0,4494.0,0.0
South 24 Parganas,82.47,296.0,831.0,3909.0,60.98,4789.0,4740.0,7853.0,49.0
Uttar Dinajpur,53.39,203.0,1595.0,1827.0,68.5,3493.0,3422.0,5099.0,71.0
