district,a_chievement_as_on_dec_19_disbursement_no,achievement_as_on_dec_19_sanction_no,amount,of_achievement_disbursement_no,pending_shg_no,target_for_2019_20_disbursement_no,total_app_submitted
Alipurduar,8935.0,8620.0,27.0,63.0,678.0,14100.0,9298.0
Bankura,23832.0,16871.0,44.0,83.0,4263.0,28786.0,21134.0
Birbhum,33025.0,21358.0,72.0,86.0,946.0,38359.0,22304.0
Cooch Behar,21384.0,13401.0,45.0,96.0,5017.0,22293.0,18444.0
Dakshin Dinajpur,12311.0,8087.0,31.0,82.0,5357.0,15012.0,13444.0
Darjeeling,2094.0,1756.0,59.0,101.0,20.0,2082.0,1776.0
Hooghly,20714.0,13524.0,60.0,94.0,3821.0,22150.0,17345.0
Howrah,18994.0,17574.0,90.0,104.0,2300.0,18313.0,19874.0
Jalpaiguri,15587.0,19132.0,30.0,65.0,1872.0,23940.0,21004.0
Jhargram,6875.0,5037.0,26.0,79.0,2213.0,8661.0,7250.0
Kalimpong,1235.0,755.0,61.0,110.0,5.0,1126.0,760.0
Malda,26230.0,17324.0,37.0,71.0,8100.0,37084.0,25424.0
Murshidabad,33430.0,24239.0,36.0,88.0,738.0,38008.0,24977.0
Nadia,20280.0,9226.0,42.0,95.0,4806.0,21447.0,14032.0
Paschim Bardhaman,3880.0,2648.0,64.0,66.0,556.0,5852.0,3204.0
Paschim Medinipur,26619.0,20917.0,36.0,80.0,2500.0,33238.0,23417.0
Purba Bardhaman,24349.0,20321.0,80.0,89.0,869.0,27270.0,21190.0
Purba Medinipur,33785.0,28499.0,50.0,85.0,11636.0,39976.0,40135.0
Purulia,14566.0,12984.0,24.0,71.0,6576.0,20472.0,19560.0
Uttar Dinajpur,15458.0,17672.0,56.0,116.0,3055.0,13375.0,20727.0
