district,amount,disbursement_no,no_of_cases_sponsored,sanctioned,sanctioned_caes_project_cost_in,subsidy_released_nedo,svoulbvesdidy_involv
Alipurduar,0.0,0.0,641.0,291.0,1020.06,0.0,306.02
Bankura,0.0,0.0,1872.0,729.0,1906.75,0.0,548.76
Birbhum,0.0,0.0,992.0,590.0,1143.34,0.0,342.93
Cooch Behar,0.0,0.0,1120.0,638.0,1369.31,0.0,408.4
Dakshin Dinajpur,0.0,0.0,75.0,208.0,444.48,0.0,213.91
Darjeeling,0.0,0.0,543.0,117.0,464.34,0.0,139.3
Hooghly,0.0,0.0,1902.0,572.0,1908.15,0.0,595.7
Howrah,0.0,0.0,1099.0,446.0,928.87,0.0,301.36
Jalpaiguri,0.0,0.0,815.0,432.0,1079.53,0.0,346.48
Jhargram,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kalimpong,0.0,0.0,80.0,32.0,161.65,0.0,54.68
Kolkata,0.0,0.0,260.0,230.0,988.69,0.0,283.79
Malda,0.0,0.0,567.0,0.0,0.0,0.0,0.0
Murshidabad,0.0,0.0,3585.0,1358.0,3655.01,0.0,1106.5
Nadia,0.0,0.0,3402.0,905.0,2276.3,0.0,682.8
North 24 Parganas,0.0,0.0,1522.0,326.0,768.63,0.0,231.38
Paschim Bardhaman,0.0,0.0,694.0,98.0,280.74,0.0,81.52
Paschim Medinipur,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Purba Bardhaman,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Purba Medinipur,0.0,0.0,1251.0,844.0,3363.58,0.0,668.72
Purulia,0.0,0.0,23.0,90.0,219.86,0.0,65.96
South 24 Parganas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uttar Dinajpur,0.0,0.0,588.0,224.0,607.18,0.0,182.15
