district,credit_linkage,no_of_programs,own,self_employed_bank,settlement,total_settled_with_wage,total_settled_without_wage,total_trained,wage_employed
Bankura,40.34,23.0,210.0,142.0,58.24,371.0,352.0,637.0,19.0
Birbhum,85.77,15.0,40.0,241.0,59.83,283.0,281.0,473.0,2.0
Cooch Behar,72.55,13.0,28.0,74.0,40.32,102.0,102.0,253.0,0.0
Darjeeling,95.45,16.0,6.0,126.0,30.14,132.0,132.0,438.0,0.0
Hooghly,100.0,18.0,0.0,149.0,34.1,149.0,149.0,437.0,0.0
Howrah,28.85,33.0,439.0,178.0,69.8,631.0,617.0,904.0,14.0
Jalpaiguri,76.92,16.0,15.0,50.0,14.38,65.0,65.0,452.0,0.0
Malda,34.39,22.0,145.0,76.0,46.62,297.0,221.0,637.0,76.0
Nadia,32.41,18.0,73.0,35.0,23.84,108.0,108.0,453.0,0.0
North 24 Parganas,30.3,24.0,283.0,123.0,73.73,466.0,406.0,632.0,60.0
Purba Bardhaman,81.2,19.0,47.0,203.0,46.55,250.0,250.0,537.0,0.0
Purba Medinipur,79.76,18.0,50.0,197.0,47.78,247.0,247.0,517.0,0.0
Purulia,70.37,16.0,48.0,114.0,36.49,162.0,162.0,444.0,0.0
South 24 Parganas,77.78,26.0,12.0,42.0,9.47,59.0,54.0,623.0,5.0
Uttar Dinajpur,23.36,17.0,82.0,25.0,25.0,108.0,107.0,432.0,1.0
