district,mm,mm_claimed_no,mm_disb_pending_no,mm_disbursed_no,pending_at_bank_no,rejected_no,sanctioned_no,sponsored_no
Alipurduar,0.0,14.0,0.0,14.0,143.0,370.0,22.0,539.0
Bankura,0.0,38.0,0.0,36.0,62.0,80.0,38.0,171.0
Birbhum,0.0,39.0,0.0,41.0,50.0,98.0,44.0,183.0
Cooch Behar,10.32,53.0,4.0,48.0,94.0,379.0,31.0,498.0
Dakshin Dinajpur,0.0,26.0,0.0,27.0,39.0,29.0,18.0,80.0
Darjeeling,0.0,37.0,0.0,37.0,135.0,92.0,29.0,240.0
Hooghly,1.4,28.0,1.0,29.0,11.0,32.0,15.0,51.0
Howrah,0.0,37.0,0.0,38.0,68.0,63.0,37.0,155.0
Jalpaiguri,0.0,7.0,0.0,7.0,56.0,71.0,12.0,130.0
Jhargram,0.0,0.0,0.0,0.0,8.0,5.0,0.0,13.0
Kalimpong,0.0,7.0,0.0,8.0,3.0,4.0,8.0,7.0
Kolkata,0.0,10.0,0.0,10.0,59.0,88.0,5.0,154.0
Malda,1.4,20.0,1.0,18.0,42.0,66.0,18.0,122.0
Murshidabad,0.0,98.0,0.0,93.0,387.0,411.0,90.0,875.0
Nadia,6.97,68.0,2.0,65.0,115.0,182.0,81.0,387.0
Paschim Bardhaman,0.0,3.0,0.0,3.0,13.0,41.0,5.0,59.0
Paschim Medinipur,1.75,38.0,1.0,30.0,175.0,198.0,47.0,421.0
Purba Bardhaman,0.0,44.0,0.0,44.0,37.0,116.0,47.0,174.0
Purba Medinipur,1.75,322.0,1.0,331.0,1308.0,758.0,358.0,2350.0
Purulia,0.0,22.0,0.0,24.0,89.0,46.0,24.0,149.0
Uttar Dinajpur,0.0,2.0,0.0,2.0,6.0,16.0,0.0,23.0
