district,amount_in_lac,no_of_application_approved_by_banks_no,no_of_application_pending_at_bankers_end,no_of_application_rejected_by_banks,no_of_application_sent_to_banks,no_of_clusters_covered,no_of_stake_holders_identified_for_loan
Alipurduar,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Bankura,0.0,0.0,1.0,0.0,1.0,3.0,58.0
Birbhum,33.0,8.0,33.0,12.0,53.0,7.0,53.0
Cooch Behar,0.0,0.0,0.0,0.0,0.0,3.0,200.0
Dakshin Dinajpur,0.5,1.0,53.0,0.0,54.0,4.0,103.0
Darjeeling,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hooghly,0.0,0.0,60.0,0.0,60.0,2.0,60.0
Howrah,0.0,0.0,16.0,0.0,16.0,4.0,16.0
Jalpaiguri,0.0,0.0,0.0,0.0,0.0,3.0,10.0
Jhargram,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kolkata,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Malda,2.0,29.0,213.0,0.0,242.0,14.0,169.0
Murshidabad,0.0,0.0,0.0,0.0,0.0,4.0,122.0
Nadia,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Paschim Bardhaman,0.0,0.0,5.0,0.0,5.0,2.0,5.0
Paschim Medinipur,0.0,0.0,34.0,0.0,34.0,5.0,34.0
Purba Bardhaman,0.0,0.0,0.0,0.0,0.0,1.0,8.0
Purba Medinipur,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Purulia,0.0,0.0,25.0,0.0,25.0,7.0,119.0
Uttar Dinajpur,0.0,0.0,1.0,0.0,1.0,9.0,50.0
