district,advance,cd_ratio,cd_ratio_as_on_dec_2018,cd_ratio_as_on_dec_2019_deposit
Alipurduar,1998.4,40.88,40.19,4888.31
Bankura,4202.5,42.14,42.74,9973.63
Birbhum,5991.76,40.07,35.27,14951.7
Cooch Behar,5415.81,68.36,67.72,7922.82
Dakshin Dinajpur,2391.09,54.13,50.6,4417.71
Darjeeling,10549.83,59.87,56.9,17622.41
Hooghly,10624.55,28.08,26.41,37837.73
Howrah,16249.91,42.8,38.56,37966.86
Jalpaiguri,3469.2,43.88,40.61,7905.68
Jhargram,1491.82,41.01,40.67,3637.5
Kalimpong,501.98,35.4,40.47,1418.11
Kolkata,252889.87,78.32,81.56,322887.25
Malda,6257.19,54.54,52.28,11472.48
Murshidabad,8713.29,55.36,52.96,15739.37
Nadia,13842.47,49.1,48.13,28194.31
North 24 Parganas,36884.6,32.38,24.0,113904.59
Paschim Bardhaman,13760.78,34.75,39.22,39599.26
Paschim Medinipur,9111.47,46.23,43.31,19709.49
Purba Bardhaman,10522.27,42.5,48.01,24760.83
Purba Medinipur,11476.84,44.61,43.5,25727.17
Purulia,3625.0,45.9,43.32,7897.83
South 24 Parganas,16335.87,45.88,43.65,35602.09
Uttar Dinajpur,3940.69,57.13,54.96,6897.36
