district,as_on_30_09_2019,as_on_31_12_2019
Alipurduar,40.59,40.88
Bankura,42.55,42.14
Birbhum,40.13,40.07
Cooch Behar,66.93,68.36
Dakshin Dinajpur,53.13,54.13
Darjeeling,57.4,59.87
Hooghly,29.69,28.08
Howrah,43.65,42.8
Jalpaiguri,43.06,43.88
Jhargram,40.87,41.01
Kalimpong,32.28,35.4
Kolkata,84.56,77.24
Malda,54.38,54.54
Murshidabad,55.02,55.36
Nadia,49.13,49.1
North 24 Parganas,24.35,32.38
Paschim Bardhaman,26.11,34.75
Paschim Medinipur,45.38,46.23
Purba Bardhaman,40.55,42.5
Purba Medinipur,42.16,44.61
Purulia,46.53,45.9
South 24 Parganas,45.76,45.88
Uttar Dinajpur,55.88,57.13
