district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
Dimapur,532.00,155,805,1662.09,421.82,286.45,226,13.23,2165.88,983,153.32,724,3472
Kiphire,27.60,23,54,66.86,77.22,13.83,10,16.09,85.96,79,22.06,307,994
Kohima,141.02,71,153,242.18,299.37,69.52,59,18.15,382.93,247,120.95,637,3007
Longleng,6.89,8,79,85.32,57.47,16.09,16,14.81,108.65,122,42.05,149,252
Mokokchung,259.12,133,469,591.70,255.05,84.20,89,10.54,798.61,575,98.18,458,2107
Mon,18.10,8,160,153.58,197.83,38.03,42,23.70,160.44,165,57.83,701,2012
Peren,53.60,32,31,27.90,66.75,8.44,6,9.04,93.36,109,8.28,124,587
Phek,20.00,20,166,161.36,277.30,51.14,48,26.89,190.18,199,87.82,605,1987
Tuensang,56.36,37,87,101.41,167.07,31.08,28,18.05,172.20,152,57.03,670,1813
Wokha,73.58,48,163,224.52,123.74,22.28,21,8.82,252.75,199,38.74,378,990
Zunheboto,48.25,26,101,114.82,307.04,25.01,21,21.04,118.85,106,180.48,470,1153
