district,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Dimapur,267.35,58,327.46,44,1102.68,305,44.31,2488.71,765
Kiphire,0.00,0,0.00,0,33.72,14,5.31,635.62,314
Kohima,154.69,61,232.47,39,257.09,99,26.53,969.03,502
Longleng,0.00,0,0.00,0,17.84,21,5.06,352.73,194
Mokokchung,176.77,25,289.25,25,608.48,111,52.16,1166.55,262
Mon,12.00,5,29.03,4,33.73,16,9.51,354.82,202
Peren,0.00,0,0.00,0,289.79,118,58.96,491.52,206
Phek,0.00,0,0.00,0,569.90,207,60.16,947.32,369
Tuensang,1.90,1,1.90,1,15.72,11,2.89,543.74,305
Wokha,31.20,3,31.20,3,8.90,9,3.62,245.65,99
Zunheboto,0.00,0,0.00,0,33.98,23,6.55,518.52,302
