district,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,cd_ratio_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
Dimapur,56446.33,56368.38,203551.28,81.95,45.89,47.70,68876.59,122822.37,426772.28,51.15,316365.99,618471.24
Kiphire,2580.10,10416.94,0.00,214.13,117.87,,1204.95,8837.99,0.00,129.41,12997.04,10042.94
Kohima,17262.08,123224.09,1403.54,50.90,25.21,109.57,33915.75,488874.21,1281.00,27.07,141889.71,524070.96
Longleng,8101.59,15.00,0.14,126.59,,,6399.88,0.00,0.00,126.83,8116.73,6399.88
Mokokchung,14592.34,47230.40,69.08,86.71,81.03,,16828.86,58291.07,0.00,82.39,61891.82,75119.93
Mon,5885.04,14973.78,9.13,85.08,75.29,,6916.74,19888.21,0.00,77.85,20867.95,26804.95
Peren,13738.14,1604.99,24.52,114.58,80.34,,11990.12,1997.80,0.00,109.86,15367.65,13987.92
Phek,9312.71,14185.78,0.75,77.92,80.05,,11952.14,17722.03,0.00,79.19,23499.24,29674.17
Tuensang,7374.64,23132.94,51.74,112.99,128.66,,6526.86,17980.13,0.00,124.70,30559.32,24506.99
Wokha,5130.81,22666.24,2694.90,86.90,82.56,,5904.12,27454.60,0.00,91.41,30491.95,33358.72
Zunheboto,7245.20,20066.19,75.28,67.58,137.52,,10721.23,14591.95,0.00,108.19,27386.67,25313.18
