district,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
Dimapur,179612,56930,1802447,84726,3300
Kiphire,15943,15205,498620,15205,645
Kohima,108923,18492,689774,24781,835
Longleng,11640,14683,431886,14683,185
Mokokchung,68438,19414,737462,24090,2708
Mon,44683,42165,1194525,42317,288
Peren,19485,14966,349060,14966,1597
Phek,40553,21307,970826,21307,1191
Tuensang,32239,39356,930357,39356,910
Wokha,34987,11824,204751,14002,449
Zunheboto,20442,12399,358864,12806,684
