district,sc_disbursement_amt,sc_disbursement_no,sc_outstanding_amt,sc_outstanding_no,st_disbursement_amt,st_disbursement_no,st_outstanding_amt,st_outstanding_no
Dimapur,260.31,125,1562.53,968,3472.14,1701,42324.02,19666
Kiphire,0.00,0,7.69,1,3.20,1,28.53,4
Kohima,34.21,18,289.98,153,3533.57,1001,23176.72,9465
Longleng,0.00,0,0.18,1,0.00,0,2.41,2
Mokokchung,8.07,5,99.26,27,748.08,274,9364.78,4494
Mon,13.46,3,51.83,15,105.80,53,434.53,309
Peren,0.00,0,9.33,1,12.00,1,91.93,18
Phek,8.90,1,82.90,12,26.64,9,186.81,37
Tuensang,9.83,3,31.44,8,12.40,3,62.42,11
Wokha,46.72,13,103.35,36,526.30,135,2724.27,949
Zunheboto,3.44,2,33.04,17,74.57,27,428.94,218
