district,cy_shg_amt,cy_shg_no,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Dimapur,39.10,24,2.69,7,8.09,9,0.69,1173.54,85
Kiphire,0.10,1,0.00,0,1.80,2,30.00,6.00,14
Kohima,28.98,25,1.96,1,3.76,4,5.80,64.88,62
Longleng,0.00,0,0.32,5,0.00,0,0.00,10.56,19
Mokokchung,72.98,40,0.00,0,14.88,19,8.94,166.36,151
Mon,0.00,0,0.02,2,5.45,9,9.79,55.67,73
Peren,7.00,3,0.03,2,0.00,0,0.00,9.94,39
Phek,7.88,8,0.08,9,0.05,1,0.23,22.13,26
Tuensang,5.20,4,0.04,3,1.40,1,8.12,17.25,22
Wokha,33.78,27,0.00,0,6.04,6,5.74,105.23,98
Zunheboto,15.05,12,0.00,0,2.88,3,12.51,23.02,29
