district,atm_rural,atm_semi_urban,atm_urban,bc_fixed,bc_other,bc_total,branch_rural,branch_semi_urban,branch_urban,total_atm,total_branch
Dimapur,14,21,120,62,11,76,12,26,27,155,65
Kiphire,0,3,0,13,0,13,1,2,0,3,3
Kohima,8,78,1,20,2,31,11,31,1,87,43
Longleng,3,0,0,6,5,11,1,0,0,3,1
Mokokchung,9,30,0,13,4,17,12,11,0,39,23
Mon,3,6,0,10,6,16,3,3,0,9,6
Peren,5,1,0,9,2,11,3,1,0,6,4
Phek,5,4,0,11,6,17,5,3,0,9,8
Tuensang,1,7,0,2,12,14,5,4,0,8,9
Wokha,3,12,1,0,3,5,5,6,0,16,11
Zunheboto,2,6,0,5,1,6,6,2,0,8,8
