district,deposits_held_in_a_c_amt,female_no,male_no,no_of_aadhaar_seeded,no_of_rupay_card_issued,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_pmjdy_no,urban_no
Dimapur,13239.39,52281,41658,52931,97122,6574,54667,13645,93939,76678
Kiphire,289.89,7979,7565,8384,14209,1564,11885,5912,15544,9637
Kohima,2539.52,14175,10622,13210,20311,2194,12136,7920,24797,8372
Longleng,294.09,8405,7602,8482,20543,979,13270,15873,16007,135
Mokokchung,818.37,15017,14196,16412,27195,3627,16226,10979,29213,11656
Mon,731.43,22384,22244,19722,40844,3320,36956,15431,44628,29207
Peren,411.83,9209,7243,8428,18064,180,11860,16431,16452,22
Phek,835.33,12229,10483,13880,21482,2035,16787,11095,22712,11623
Tuensang,644.45,18295,18472,10457,36941,2246,272222,12630,36767,24139
Wokha,411.35,9074,5933,6544,13526,3027,9777,5275,15007,7706
Zunheboto,299.98,8603,9456,4587,13889,3728,7709,13728,18059,4331
