district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
Dimapur,221.05,16,3877.02,3268,237.66,39,513.93,396,114.44,47,4965.17,3767,1.07,1
Kiphire,0.00,0,0.00,0,0.00,0,0.00,1,0.64,3,0.64,4,0.00,0
Kohima,10.40,7,3752.56,1600,0.00,1,102.65,60,24.59,22,3890.20,1690,0.00,0
Longleng,0.00,0,0.00,0,0.00,0,26.50,5,0.00,0,26.50,5,0.00,0
Mokokchung,0.00,3,885.55,572,0.00,0,14.09,19,4.00,4,903.64,598,0.00,0
Mon,0.00,1,39.77,37,0.00,0,38.20,32,0.00,0,77.97,70,0.00,0
Peren,0.00,1,0.00,0,0.00,0,2.50,9,0.00,1,2.50,11,0.00,0
Phek,0.00,1,0.00,0,0.00,0,19.28,21,0.00,0,19.28,22,0.00,0
Tuensang,11.00,1,0.00,0,0.00,0,16.18,17,0.00,2,27.18,20,0.00,0
Wokha,2.37,1,394.20,280,0.00,0,59.30,32,15.73,6,471.60,319,0.00,0
Zunheboto,0.00,3,449.96,201,0.00,0,26.71,6,0.00,2,476.67,212,0.00,0
