district,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,debit_credit_cards_a_c,debit_credit_cards_amt,imps_a_c,imps_amt,ussd_a_c,ussd_amt
Dimapur,3242,3572.80,3770808,106688.24,183422982,650425414.35,397412,273296609.36,25873887,159011852.65,628005,11813.04
Kiphire,0,0.00,207972,6196.99,0,0.00,2647,169.85,0,0.00,19675,385.30
Kohima,1529,1210.30,1611954,41666.26,38602450,118871756.85,162596,119738114.70,8597216,51615220.93,353905,5688.11
Longleng,0,0.00,178901,5329.98,0,0.00,40,0.47,17,0.32,12975,180.30
Mokokchung,308,308.38,784065,20098.44,16017842,665789.36,65656,2276.44,3782800,827644.37,149250,1753.76
Mon,0,0.00,643786,15671.26,4014,87.72,5206,259.89,3260,377.86,58671,759.23
Peren,0,0.00,274747,5868.59,0,0.00,1345,26.09,4,0.07,33879,547.61
Phek,0,0.00,432078,11532.57,0,0.00,5459,344.76,2,0.06,61385,816.38
Tuensang,0,0.00,565573,15425.75,0,0.00,4045,373.04,6,0.23,50128,712.85
Wokha,377,464.48,590245,13066.71,16085,291.27,8828,364.11,2235,1095.87,72893,897.76
Zunheboto,0,0.00,367372,9121.51,0,0.00,4426,279.38,5,0.37,48933,775.32
