district,advance_amount_a,current_c_d_ratio,deposit_amount_d
Baksa,36994.23,48.2,76743.87
Barpeta,201424.01,61.1,329674.93
Biswanath,59439.49,55.03,108006.94
Bongaigaon,111785.50,47.6,234865.10
Cachar,280024.27,39.98,700387.34
Charaideo,24880.62,40.56,61344.17
Chirang,38393.84,37.53,102308.95
Darrang,100260.22,60.66,165292.53
Dhemaji,57268.97,53.15,107748.77
Dhubri,122923.73,51.19,240141.64
Dibrugarh,361241.72,43.77,825247.77
Dima Hasao,18489.96,25.54,72392.94
Goalpara,71285.91,42.33,168404.47
Golaghat,179961.15,69.27,259795.23
Hailakandi,48181.23,37.62,128078.69
Hojai,88448.43,48.33,183008.31
Jorhat,275945.36,52.42,526387.54
Kamrup,291842.54,74.05,394120.37
Kamrup Metro,2014611.08,36.76,5479930.90
Karbi Anglong,69689.18,37.63,185198.44
Karimganj,99117.52,33.21,298412.18
Kokrajhar,64053.52,27.23,235216.07
Lakhimpur,148013.72,66.9,221259.73
Majuli,12930.84,46.97,27530.37
Nagaon,264419.56,57.43,460451.63
Nalbari,110172.02,50.58,217805.91
Sivasagar,202298.44,50.4,401370.61
Sonitpur,235446.15,55,428099.67
Tinsukia,249957.38,46.1,542179.81
Udalguri,66147.09,66.7,99173.39
