district,bc,rural_atm,rural_br,semi_urban_atm,semi_urban_br,total_atm,total_br,urban_atm,urban_br
Baksa,126,18,32,4,2,22,34,0,0
Barpeta,378,67,50,81,40,153,92,5,2
Biswanath,58,31,26,20,9,53,35,2,0
Bongaigaon,101,33,19,81,32,117,51,3,0
Cachar,315,59,60,24,10,215,125,132,55
Charaideo,47,13,12,8,8,21,20,0,0
Chirang,126,19,16,5,5,24,21,0,0
Darrang,200,45,26,54,23,106,51,7,2
Dhemaji,181,28,17,19,18,48,36,1,1
Dhubri,364,30,28,63,32,94,62,1,2
Dibrugarh,230,74,64,69,38,277,151,134,49
Dima Hasao,42,5,15,14,10,19,26,0,1
Goalpara,257,20,29,40,23,65,52,5,0
Golaghat,267,38,50,61,37,103,88,4,1
Hailakandi,179,25,16,29,19,56,36,2,1
Hojai,73,29,15,49,29,79,44,1,0
Jorhat,191,54,39,102,37,193,102,37,26
Kamrup,302,87,93,40,18,129,114,2,3
Kamrup Metro,113,51,16,25,9,854,367,778,342
Karbi Anglong,111,8,39,28,17,37,57,1,1
Karimganj,180,32,39,56,28,93,68,5,1
Kokrajhar,185,14,20,39,19,54,39,1,0
Lakhimpur,230,44,36,48,33,93,70,1,1
Majuli,10,5,6,2,1,7,7,0,0
Nagaon,635,67,56,29,16,173,100,77,28
Nalbari,212,43,44,46,20,91,68,2,4
Sivasagar,179,51,39,80,39,134,81,3,3
Sonitpur,271,60,52,150,50,213,106,3,4
Tinsukia,262,70,53,52,44,198,132,76,35
Udalguri,204,11,22,20,11,32,33,1,0
