district,Total Villages,Above5000 Nos. of Villages,Banked,Unbanked,2000-5000 Nos.of Villages,Below2000 Nos.of Villages,Total Banked
Bishnupur,48,6,22,0,20,22,48
Chandel,267,0,266,0,1,266,267
Churachandpur,507,3,490,0,14,490,507
Imphal East,141,4,95,0,42,95,141
Imphal West,107,4,67,0,36,67,107
Jiribam,50,0,48,0,2,48,50
Kakching,26,6,10,0,20,10,26
Kamjong,118,0,106,11,1,117,107
Kangpokpi,533,0,527,0,6,527,533
Noney,57,0,53,0,4,53,57
Pherzawl,89,0,73,14,2,87,75
Senapati,136,11,83,0,42,83,136
Tamenglong,117,0,114,0,3,114,117
Tengnoupal,163,0,162,0,1,162,163
Thoubal,61,11,29,0,21,29,61
Ukhrul,95,1,82,0,12,82,95
