District,Rural,Semi-Urban,Urban,Total,ATM Rural
Araria,76,160,70,10,
Arwal,19,,,,
Aurangabad,186,53,33,,
Banka,37,114,4,,
Bhagalpur,275,101,145,,
Bhojpur,234,68,92,,
Buxar,154,32,35,,
Gopalganj,66,184,73,13,
Jehanabad,10,94,30,31,
Kaimur (Bhabua),32,118,13,44,
Katihar,37,184,28,36,52
Khagaria,60,117,47,9,
Kishanganj,22,108,11,35,21
Lakhisarai,35,80,3,33,4
Madhepura,75,117,13,59,
Madhubani,148,276,50,107,24
Munger,28,131,19,39,42
Muzaffarpur,84,379,78,99,212
Nalanda,63,251,30,78,62
Nawada,65,140,7,51,6
Patna,159,929,165,1224,
Purnia,49,225,38,30,107
Rohtas,44,227,21,79,62
Saharsa,29,103,10,44,44
Samastipur,115,285,49,129,28
Saran,50,259,54,52,96
Sheikhpura,28,60,4,31,5
Sheohar,25,45,8,15,2
Sitamarhi,106,168,31,69,14
Siwan,63,245,69,45,57
Supaul,121,22,60,,
