District,Total Branch,Total Deposit,Total Advance,Overall CD Ratio
Araria,160,287458,,67.84
Arwal,60,59090,,35.37
Aurangabad,186,296793,,40.67
Begusarai,226,527418,,58.66
Bhagalpur,275,554605,,36.77
Bhojpur,234,374339,,34.37
Buxar,154,237959,,
Darbhanga,245,428150,,36.14
Gaya,303,,,
Gopalganj,184,287372,,36.42
Jehanabad,94,,,
Kaimur (Bhabua),181,196316,,49.82
Katihar,184,355936,,55.77
Khagaria,171,188349,,55.48
Kishanganj,108,307533,192954,62.74
Lakhisarai,80,305810,111596,36.49
Madhepura,171,340363,185288,54.44
Madhubani,276,833186,331332,39.77
Munger,131,739528,193867,26.21
Muzaffarpur,379,1896275,987638,52.08
Nalanda,251,1061644,355375,33.47
Nawada,140,,,
Pashchim Champaran,210,645972,372233,57.62
Patna,929,12770374,5462438,42.77
Purbi Champaran,284,579312,,60.39
Purnia,225,697603,532784,76.37
Rohtas,227,967250,417540,43.17
Saharsa,103,422710,198749,47.02
Samastipur,285,1032132,502429,48.68
Saran,259,1278674,405838,31.74
Sheikhpura,,191800,77739,40.53
Sheohar,,94148,58487,62.12
Sitamarhi,168,608871,274376,45.06
Siwan,245,1213332,469640,38.71
Supaul,121,386318,195333,50.56
Vaishali,247,1019216,604456,59.31
