District,Col_1,Col_2,Col_3
Araria,1266591,4848331,764129
Arwal,237768,310862,177102
Bhojpur,1538198,2549899,901119
Buxar,833821,1810036,500150
Gopalganj,1266087,4030356,1069011
Nalanda,1389218,1924722,825097
Nawada,1038636,1735256,777492
Patna,1359303,3647737,1892746
Rohtas,1298032,2193466,1104821
Saharsa,881370,617056,
Samastipur,1682306,1382811,
Saran,1547650,5331690,1467235
Sheikhpura,403176,537029,196808
Sitamarhi,885826,,
Siwan,1170301,2827267,1289308
