district,Amt. JAINS,No. JAINS,Amt. ZORASTRIANS,No. ZORASTRIANS,Amt. SIKHS,No. SIKHS,Amt. BUDDHISTS,No BUDDHISTS,Amt. MUSLIMS,No MUSLIMS,Amt CHRISTIANS,No. CHRISTIANS
East Garo Hills,0,0,0,0,0.91,1,0,0,29.48,44,64.72,51
East Jaintia Hills,0,0,0,0,0,0,0,0,24.49,61,1029.13,603
East Khasi Hills,16.68,6,0,0,265.97,270,141.32,103,1634.88,955,16467.92,13075
North Garo Hills,0,0,0,0,0,0,0.54,1,53.93,28,53.24,52
Ri Bhoi,0.84,6,0,0,173.8,24,26.99,17,2249.8,814,2575.26,3941
South Garo Hills,0,0,0,0,0,0,0,0,6.07,6,87.82,139
South West Garo Hills,0,0,0,0,0,2,0,0,506.06,401,343.41,330
South West Khasi Hills,0,0,0,0,0,0,0,0,22.61,3,459.3,442
West Garo Hills,5,2,0,0,4.3,10,4.94,12,2446.33,2985,1183.67,930
West Jaintia Hills,0,0,0,0,1.43,5,0,3,32.15,48,3039.83,2273
West Khasi Hills,0,0,0,0,0.32,1,0,0,23.87,11,2579.83,2515
