District,Total Other PS O/S Amt,Total Other PS O/S No.,Other PS Amt,Other PS No.,Renewable Amt,Renewable No.,Social Infra Amt,Social Infra No.,Housing Loan Amt (PS),Housing Loan No. (PS),Education Loan Amt (PS),Education Loan No. (PS),Export Credit Amt,Export Credit No.
East Garo Hills,990.29,236,0,0,0,0,23.08,7,784.59,164,182.62,65,0,0
East Jaintia Hills,727.36,122,7.39,7,0,0,3.67,2,622.68,77,93.62,36,0,0
East Khasi Hills,53048.29,16517,3444.48,8214,331.36,77,202.66,42,41180.96,5918,7776.83,2258,112,8
North Garo Hills,475.67,155,0,0,0,0,23.13,11,412.75,134,39.79,10,0,0
Ri Bhoi,11085.39,1890,31.01,39,19.62,77,60.83,14,10155.32,1477,818.61,283,0,0
South Garo Hills,1320.66,183,0,0,0,0,26.11,13,1272.97,166,21.58,4,0,0
South West Garo Hills,622.31,86,0,0,0,0,11.73,7,607.6,76,2.98,3,0,0
South West Khasi Hills,653.58,149,1.47,7,0,0,26.2,9,497.91,69,128,64,0,0
West Garo Hills,3571.36,1105,509.65,241,0.97,12,46.36,16,2412.98,626,601.4,210,0,0
West Jaintia Hills,2848.97,521,69.57,53,0,0,93.37,26,2297.06,298,388.97,144,0,0
West Khasi Hills,7156.03,1350,12.6,6,0,0,10.23,5,6492.39,1072,640.81,267,0,0
