District,Amt Other MSME,No MSME Other,Amt KVIC,No KVIC,Amt Medium,No Medium,Small Amt,Small No.,Micro Amt,Micro No.,Ancillary Amt,Ancillary No.,Agri Infra Amt,Agri Infra No.,Term Loan Amt,Term Loan No.,Crop Amt,Crop No.
East Garo Hills,67.25,87,14.2,18,0,0,0.05,1,193.54,113,1.28,2,293.9,455,45.27,181,1141.62,2760
East Jaintia Hills,5.5,31,20.64,5,0,0,276.84,7,736.38,260,12,14,69.5,134,36.45,38,27.43,59
East Khasi Hills,398.14,117,563.12,152,6446,4,1790.52,86,4966.11,1889,248.16,94,1402.2,777,1495.95,471,2003.5,3267
North Garo Hills,16.34,27,0,0,0,0,0.47,1,75.71,48,10.65,5,805.78,1007,3.89,13,1002.02,2044
Ri Bhoi,190.68,45,112.93,64,0,0,98.82,9,804.39,814,32.19,13,706.15,595,547.47,684,6667.98,10899
South Garo Hills,109.85,28,2.17,3,0,0,0,0,34.55,44,0,0,387.81,280,0.61,3,197.66,400
South West Garo Hills,127.43,97,3.43,2,0,0,0,0,105.6,90,0,0,261.83,638,46.61,112,978.59,2395
South West Khasi Hills,9.87,25,11.08,4,0,0,0,0,44.74,39,0,0,64.1,39,31.26,23,188.99,453
West Garo Hills,194.81,174,47.03,21,0,0,199.94,58,744.16,688,1,5,1726.52,959,124.94,335,1688.27,3898
West Jaintia Hills,3.42,46,75.3,25,0,0,759.69,140,975.13,732,90.07,20,237.37,153,100.02,125,1182.34,1939
West Khasi Hills,175.87,93,84.96,48,0,0,81.95,8,933.94,522,20,7,289.44,233,108.35,179,2037.18,3477
