District,Micro No.,Micro Amt,Small No.,Small Amt,Medium No.,Medium Amt.,Other MSME No.,Other MSME Amt,Total MSME O/S No.,Total MSME O/S Amt
East Garo Hills,776,906.99,25,234.52,1,149.59,460,166.1,1262,1457.2
East Jaintia Hills,1592,2613.65,139,1401.97,32,437.38,25,15.56,1788,4468.56
East Khasi Hills,38270,89131.93,1120,27507.67,243,112308.58,894,2106.96,40527,231055.14
North Garo Hills,260,610,4,25.86,1,60,212,165.54,477,861.4
Ri Bhoi,11014,9716.8,363,8309.46,46,6715.02,514,362.62,11937,25103.9
South Garo Hills,331,592.78,59,198.63,1,55.29,117,205.76,508,1052.46
South West Garo Hills,753,910.91,281,578.36,11,47.09,109,137.6,1154,1673.96
South West Khasi Hills,528,1504.18,2,44.08,0,0,39,27.88,569,1576.14
West Garo Hills,4370,6471.13,391,2599.95,17,216.48,1028,624.15,5806,9911.71
West Jaintia Hills,6558,7321.13,513,5920.58,19,209.69,139,161.18,7229,13612.58
West Khasi Hills,3045,3915.64,40,396.64,2,14.48,236,306.87,3323,4633.63
