district,Small and Marginal Farmers No,Small and Mar- ginal Farmers Amt,Sched- uled Castes No,Scheduled Castes Amt,Scheduled Tribes No,Scheduled Tribes Amt,DRI scheme No,DRI scheme Amt,Self Help Groups No
East Garo Hills,4036,1877.72,3,4.85,969,706.74,2,10.56,107
East Jaintia Hills,247,154.22,9,9.87,2185,5516.63,11,1.8,250
East Khasi Hills,21303,14478.11,1149,2118.61,39658,78828.93,83,10.46,284
North Garo Hills,3422,1894.33,21,40.97,832,725.64,7,0.39,2
Ri Bhoi,24094,15021.65,282,668.77,12604,11446.15,32,63.19,755
South Garo Hills,437,187.96,15,16.69,414,514.9,0,0,83
South West Garo Hills,4231,2040.47,47,59.56,1667,1395.85,0,0,435
South West Khasi Hills,1842,936.65,7,3.2,2216,2229.42,0,0,262
West Garo Hills,6521,3169.2,75,105.64,6403,8945.8,2,0.15,667
West Jaintia Hills,4102,2335.4,26,229.99,7454,15464.15,27,3.81,634
West Khasi Hills,8808,4827.56,3,13.39,9000,11189.06,12,2.05,801
