district,Amt Other,No Other,Amt Clinic,No Clinic,Amt Godown,No Godown,Amt ifsheries,no ifsheries,Amt Poultry,No Poultry,tion Farm Amt Mechanisa-,No nisation Mecha- Farm,Amt Dairy,no Dairy,tion Farm amt Produc-,tion Farm A/C Produc-,and KCCs Amt for Activities Allied AH,AH tivities Allied KCCs No Ac- and for
East Garo Hills,5.76,22,0,0,0,0,0.77,1,0,0,0,0,0,0,0,0,0,0
East Jaintia Hills,160.14,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,13
East Khasi Hills,1041.36,402,0,0,0,0,8.97,6,5.36,3,13.54,3,78.68,87,0.5,1,28.11,92
North Garo Hills,2,4,0,0,0,0,0,0,1.3,3,0,0,1,1,0,0,0,0
Ri Bhoi,307.6,139,0,0,0,0,0,0,20.02,18,2.1,2,9.55,9,0,0,8.25,14
South Garo Hills,0,0,0,0,0,0,0,0,1.2,3,0,0,0,1,0,0,0.8,2
South West Garo Hills,79.24,237,0,0,0,0,0,0,0,0,0.01,1,0,0,0,0,0,0
South West Khasi Hills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Garo Hills,164.78,605,0,0,0,0,0,0,2.32,5,0,0,14.93,15,0,0,1.75,5
West Jaintia Hills,780.78,104,0,0,0,0,0.12,19,0.35,1,0,0,8.15,4,0,0,24.96,18
West Khasi Hills,45.55,32,0,0,10.03,1,0,0,1.68,4,0,0,0,0,0,0,18.41,45
