period,district,mar_22,mar_23,mar_24,number_of_atm_per_one_lakh_population_mar_21,number_of_atm_per_one_lakh_population_mar_22,number_of_bcs_per_one_lakh_population_mar_21,number_of_bcs_per_one_lakh_population_mar_22,number_of_branches_per_one_lakh_population_mar_21,number_of_branches_per_one_lakh_population_mar_22
December 2023,Alipurduar,170.57,211.92,,8.26,,89.08,,8.85,
December 2023,Bankura,318.66,322.44,,6.59,,186.89,,8.09,
December 2023,Birbhum,294.83,285.6,,8.28,,125.4,,9.56,
December 2023,Cooch Behar,613.25,566.92,,7.77,,325.25,,9.86,
December 2023,Dakshin Dinajpur,425.27,402.83,,7.06,,256.62,,8.44,
December 2023,Darjeeling,290.82,310.15,,25.83,,116.2,,15.76,
December 2023,Hooghly,191.13,180.01,,10.47,,96.3,,10.53,
December 2023,Howrah,185.55,176.23,,13.46,,78.27,,10.39,
December 2023,Jalpaiguri,596.41,612.4,,14.19,,329.15,,10.12,
December 2023,Jhargram,98.63,88.16,,6.69,,23.32,,8.36,
December 2023,Kalimpong,79.48,79.48,,45.7,,16.69,,14.31,
December 2023,Kolkata,134.67,155.79,,47.67,,86.41,,31.89,
December 2023,Malda,521.09,493.25,,5.7,,259.46,,6.98,
December 2023,Murshidabad,418.62,423.46,,7.88,,187.32,,7.08,
December 2023,Nadia,324.02,341.45,,13.06,,153.53,,9.07,
December 2023,North 24 Parganas,238.0,215.03,,14.93,,102.22,,10.35,
December 2023,Paschim Bardhaman,166.45,164.33,,16.27,,92.26,,13.25,
December 2023,Paschim Medinipur,297.87,290.86,,7.15,,126.79,,8.7,
December 2023,Purba Bardhaman,256.21,272.67,,6.08,,38.26,,9.2,
December 2023,Purba Medinipur,335.29,313.4,,9.03,,135.78,,9.46,
December 2023,Purulia,343.34,317.66,,7.51,,141.7,,6.56,
December 2023,South 24 Parganas,314.48,290.86,,12.56,,140.91,,8.14,
December 2023,Uttar Dinajpur,604.9,562.34,,6.66,,270.19,,7.23,
June 2024,Alipurduar,,211.92,107.92,,8.72,,170.57,,9.32
June 2024,Bankura,,322.44,101.77,,7.04,,318.66,,8.12
June 2024,Birbhum,,285.6,304.28,,8.25,,294.83,,9.65
June 2024,Cooch Behar,,566.92,94.11,,7.91,,613.25,,10.57
June 2024,Dakshin Dinajpur,,402.83,96.17,,7.06,,425.27,,8.8
June 2024,Darjeeling,,310.15,264.89,,27.02,,290.82,,16.46
June 2024,Hooghly,,180.01,65.55,,11.27,,191.13,,10.74
June 2024,Howrah,,176.23,147.09,,14.33,,185.55,,11.2
June 2024,Jalpaiguri,,612.4,154.35,,14.32,,596.41,,10.75
June 2024,Jhargram,,88.16,74.0,,7.04,,98.63,,8.36
June 2024,Kalimpong,,79.48,149.42,,47.29,,79.48,,14.7
June 2024,Kolkata,,155.79,2179.01,,49.7,,134.67,,32.61
June 2024,Malda,,493.25,412.91,,5.83,,521.09,,7.3
June 2024,Murshidabad,,423.46,158.95,,8.35,,418.62,,7.57
June 2024,Nadia,,341.45,316.03,,13.23,,324.02,,9.73
June 2024,North 24 Parganas,,215.03,193.0,,16.21,,238.0,,10.64
June 2024,Paschim Bardhaman,,164.33,128.69,,16.93,,166.45,,13.43
June 2024,Paschim Medinipur,,290.86,245.65,,7.66,,297.87,,8.74
June 2024,Purba Bardhaman,,272.67,267.56,,5.81,,256.21,,9.57
June 2024,Purba Medinipur,,313.4,72.83,,9.3,,335.29,,9.53
June 2024,Purulia,,317.66,59.77,,7.17,,343.34,,6.59
June 2024,South 24 Parganas,,290.86,72.71,,13.11,,314.48,,8.36
June 2024,Uttar Dinajpur,,562.34,130.26,,6.73,,604.9,,7.8
