period,district,31_03_2021_brick_morter_branch,31_03_2022_brick_morter_branch,31_03_2023_brick_morter_branch,31_03_2024_brick_morter_branch,atm,atm_mar_20,bc_outlets,bc_outlets_mar_20,brick_morter_branch_mar_20,mar_21,mar_22,no_of_fl_crps,no_of_sangha_samabay,no_of_shg_members,no_of_shgs_as_on_nov_20_under_nrlm,number_of_atm_per_one_lakh_population_mar_20,number_of_bcs_per_one_lakh_population_mar_20,number_of_branches_per_one_lakh_population_mar_20
December 2020,Alipurduar,,,,,,,,,,,,95.0,66.0,214268.0,20631.0,,,
December 2020,Bankura,,,,,,,,,,,,394.0,190.0,497899.0,46160.0,,,
December 2020,Birbhum,,,,,,,,,,,,271.0,167.0,533800.0,52015.0,,,
December 2020,Cooch Behar,,,,,,,,,,,,252.0,128.0,512101.0,47783.0,,,
December 2020,Dakshin Dinajpur,,,,,,,,,,,,188.0,64.0,204965.0,19230.0,,,
December 2020,Darjeeling,,,,,,,,,,,,72.0,70.0,40778.0,4366.0,,,
December 2020,Hooghly,,,,,,,,,,,,207.0,207.0,415004.0,41540.0,,,
December 2020,Howrah,,,,,,,,,,,,262.0,157.0,400036.0,37017.0,,,
December 2020,Jalpaiguri,,,,,,,,,,,,154.0,80.0,313274.0,29842.0,,,
December 2020,Jhargram,,,,,,,,,,,,0.0,79.0,169840.0,17108.0,,,
December 2020,Kalimpong,,,,,,,,,,,,63.0,42.0,19602.0,2163.0,,,
December 2020,Malda,,,,,,,,,,,,286.0,146.0,549107.0,52494.0,,,
December 2020,Murshidabad,,,,,,,,,,,,468.0,250.0,881832.0,85456.0,,,
December 2020,Nadia,,,,,,,,,,,,361.0,185.0,434673.0,42461.0,,,
December 2020,North 24 Parganas,,,,,,,,,,,,355.0,199.0,479914.0,48014.0,,,
December 2020,Paschim Bardhaman,,,,,,,,,,,,94.0,62.0,85121.0,8222.0,,,
December 2020,Paschim Medinipur,,,,,,,,,,,,248.0,211.0,496489.0,49260.0,,,
December 2020,Purba Bardhaman,,,,,,,,,,,,321.0,215.0,404655.0,39343.0,,,
December 2020,Purba Medinipur,,,,,,,,,,,,257.0,223.0,761161.0,75768.0,,,
December 2020,Purulia,,,,,,,,,,,,397.0,170.0,395126.0,36922.0,,,
December 2020,South 24 Parganas,,,,,,,,,,,,511.0,310.0,826558.0,71987.0,,,
December 2020,Uttar Dinajpur,,,,,,,,,,,,25.0,98.0,297654.0,30805.0,,,
December 2022,Alipurduar,,,,,,115.0,,1298.0,132.0,89.08,170.57,,,,,7.66,86.42,8.79
December 2022,Bankura,,,,,,221.0,,2561.0,287.0,186.89,318.66,,,,,6.15,71.21,7.98
December 2022,Birbhum,,,,,,261.0,,2383.0,327.0,125.4,294.83,,,,,7.45,68.04,9.34
December 2022,Cooch Behar,,,,,,198.0,,5296.0,271.0,325.25,613.25,,,,,7.02,187.86,9.61
December 2022,Dakshin Dinajpur,,,,,,104.0,,2271.0,138.0,256.62,425.27,,,,,6.22,135.91,8.26
December 2022,Darjeeling,,,,,,441.0,,1114.0,281.0,116.2,290.82,,,,,23.88,60.32,15.22
December 2022,Hooghly,,,,,,537.0,,2794.0,562.0,96.3,191.13,,,,,9.73,50.62,10.18
December 2022,Howrah,,,,,,596.0,,2159.0,491.0,78.27,185.55,,,,,12.29,44.52,10.12
December 2022,Jalpaiguri,,,,,,306.0,,4896.0,232.0,329.15,596.41,,,,,12.85,205.58,9.74
December 2022,Jhargram,,,,,,61.0,,141.0,93.0,23.32,98.63,,,,,5.37,12.41,8.18
December 2022,Kalimpong,,,,,,86.0,,21.0,35.0,16.69,79.48,,,,,34.18,8.35,13.91
December 2022,Kolkata,,,,,,2017.0,,1757.0,1384.0,86.41,134.67,,,,,44.96,39.16,30.85
December 2022,Malda,,,,,,205.0,,5883.0,277.0,259.46,521.09,,,,,5.13,147.15,6.93
December 2022,Murshidabad,,,,,,504.0,,6938.0,492.0,187.32,418.62,,,,,7.1,97.68,6.93
December 2022,Nadia,,,,,,650.0,,4121.0,448.0,153.53,324.02,,,,,12.58,79.73,8.67
December 2022,North 24 Parganas,,,,,,1392.0,,4853.0,1009.0,102.22,238.0,,,,,13.81,48.13,10.01
December 2022,Paschim Bardhaman,,,,,,437.0,,188.0,365.0,92.26,166.45,,,,,15.16,6.52,12.66
December 2022,Paschim Medinipur,,,,,,350.0,,3071.0,426.0,126.79,297.87,,,,,6.87,60.28,8.36
December 2022,Purba Bardhaman,,,,,,266.0,,3563.0,438.0,38.26,256.21,,,,,5.5,73.68,9.06
December 2022,Purba Medinipur,,,,,,383.0,,3291.0,399.0,135.78,335.29,,,,,8.67,74.5,9.03
December 2022,Purulia,,,,,,211.0,,2078.0,187.0,141.7,343.34,,,,,7.21,70.97,6.39
December 2022,South 24 Parganas,,,,,,976.0,,5883.0,646.0,140.91,314.48,,,,,11.97,72.16,7.92
December 2022,Uttar Dinajpur,,,,,,180.0,,4898.0,213.0,270.19,604.9,,,,,6.0,163.22,7.1
December 2023,Alipurduar,133.0,140.0,138.0,,63.0,,3183.0,,,,,,,,,,,
December 2023,Bankura,291.0,292.0,287.0,,260.0,,11596.0,,,,,,,,,,,
December 2023,Birbhum,335.0,338.0,336.0,,283.0,,10003.0,,,,,,,,,,,
December 2023,Cooch Behar,278.0,298.0,292.0,,191.0,,15982.0,,,,,,,,,,,
December 2023,Dakshin Dinajpur,141.0,147.0,147.0,,143.0,,6731.0,,,,,,,,,,,
December 2023,Darjeeling,291.0,304.0,285.0,,489.0,,5728.0,,,,,,,,,,,
December 2023,Hooghly,581.0,593.0,580.0,,690.0,,9935.0,,,,,,,,,,,
December 2023,Howrah,504.0,543.0,528.0,,639.0,,8547.0,,,,,,,,,,,
December 2023,Jalpaiguri,241.0,256.0,254.0,,380.0,,14585.0,,,,,,,,,,,
December 2023,Jhargram,95.0,95.0,93.0,,44.0,,1002.0,,,,,,,,,,,
December 2023,Kalimpong,36.0,37.0,35.0,,38.0,,200.0,,,,,,,,,,,
December 2023,Kolkata,1431.0,1463.0,1578.0,,2562.0,,6990.0,,,,,,,,,,,
December 2023,Malda,279.0,292.0,285.0,,272.0,,19720.0,,,,,,,,,,,
December 2023,Murshidabad,503.0,538.0,521.0,,628.0,,30076.0,,,,,,,,,,,
December 2023,Nadia,469.0,503.0,490.0,,582.0,,17648.0,,,,,,,,,,,
December 2023,North 24 Parganas,1044.0,1073.0,1148.0,,1645.0,,21681.0,,,,,,,,,,,
December 2023,Paschim Bardhaman,382.0,387.0,365.0,,576.0,,4736.0,,,,,,,,,,,
December 2023,Paschim Medinipur,443.0,445.0,401.0,,458.0,,14817.0,,,,,,,,,,,
December 2023,Purba Bardhaman,445.0,463.0,492.0,,507.0,,13185.0,,,,,,,,,,,
December 2023,Purba Medinipur,418.0,421.0,410.0,,444.0,,13844.0,,,,,,,,,,,
December 2023,Purulia,192.0,193.0,185.0,,184.0,,9301.0,,,,,,,,,,,
December 2023,South 24 Parganas,664.0,682.0,699.0,,715.0,,23714.0,,,,,,,,,,,
December 2023,Uttar Dinajpur,217.0,234.0,224.0,,203.0,,16875.0,,,,,,,,,,,
June 2024,Alipurduar,,140.0,138.0,146.0,130.0,,1621.0,,,,,,,,,,,
June 2024,Bankura,,292.0,287.0,295.0,250.0,,3660.0,,,,,,,,,,,
June 2024,Birbhum,,338.0,336.0,341.0,285.0,,10657.0,,,,,,,,,,,
June 2024,Cooch Behar,,298.0,292.0,301.0,220.0,,2653.0,,,,,,,,,,,
June 2024,Dakshin Dinajpur,,147.0,147.0,151.0,119.0,,1607.0,,,,,,,,,,,
June 2024,Darjeeling,,304.0,285.0,307.0,500.0,,4892.0,,,,,,,,,,,
June 2024,Hooghly,,593.0,580.0,609.0,624.0,,3618.0,,,,,,,,,,,
June 2024,Howrah,,543.0,528.0,558.0,708.0,,7134.0,,,,,,,,,,,
June 2024,Jalpaiguri,,256.0,254.0,263.0,332.0,,3676.0,,,,,,,,,,,
June 2024,Jhargram,,95.0,93.0,94.0,75.0,,841.0,,,,,,,,,,,
June 2024,Kalimpong,,37.0,35.0,40.0,128.0,,376.0,,,,,,,,,,,
June 2024,Kolkata,,1463.0,1578.0,1533.0,2331.0,,97765.0,,,,,,,,,,,
June 2024,Malda,,292.0,285.0,304.0,259.0,,16508.0,,,,,,,,,,,
June 2024,Murshidabad,,538.0,521.0,548.0,577.0,,11289.0,,,,,,,,,,,
June 2024,Nadia,,503.0,490.0,517.0,666.0,,16334.0,,,,,,,,,,,
June 2024,North 24 Parganas,,1073.0,1148.0,1120.0,1619.0,,19460.0,,,,,,,,,,,
June 2024,Paschim Bardhaman,,387.0,365.0,401.0,486.0,,3709.0,,,,,,,,,,,
June 2024,Paschim Medinipur,,445.0,401.0,431.0,332.0,,12514.0,,,,,,,,,,,
June 2024,Purba Bardhaman,,463.0,492.0,509.0,389.0,,12938.0,,,,,,,,,,,
June 2024,Purba Medinipur,,421.0,410.0,430.0,419.0,,3217.0,,,,,,,,,,,
June 2024,Purulia,,193.0,185.0,200.0,209.0,,1750.0,,,,,,,,,,,
June 2024,South 24 Parganas,,682.0,699.0,680.0,1031.0,,5928.0,,,,,,,,,,,
June 2024,Uttar Dinajpur,,234.0,224.0,236.0,203.0,,3909.0,,,,,,,,,,,
