period,district,advance,as_on_30_06_2021,as_on_30_06_2022,as_on_30_09_2019,as_on_30_09_2021,as_on_30_09_2022,as_on_31_03_2020,as_on_31_03_2021,as_on_31_03_2022,as_on_31_12_2019,as_on_31_12_2021,cd_ratio,cd_ratio_as_on_december_2022,cd_ratio_as_on_december_2023_deposit,cd_ratio_as_on_june_2023,cd_ratio_as_on_june_2024,cd_ratio_as_on_june_2024_deposit,cd_ratio_as_on_june_2025_deposit,cd_ratio_as_on_march_2023,cd_ratio_as_on_sept_2018,cd_ratio_as_on_sept_2019_deposit,fy_2020_21_no_of_flc_camps_conducted,fy_2021_22_no_of_flc_camps_conducted,fy_2022_23_upto_dec_22_no_of_flc_camps_conducted,no_of_beneficiary_attended,no_of_flcs_in_district
December 2019,Alipurduar,,,,40.59,,,,,,40.88,,,,,,,,,,,,,,,,
December 2019,Bankura,,,,42.55,,,,,,42.14,,,,,,,,,,,,,,,,
December 2019,Birbhum,,,,40.13,,,,,,40.07,,,,,,,,,,,,,,,,
December 2019,Cooch Behar,,,,66.93,,,,,,68.36,,,,,,,,,,,,,,,,
December 2019,Dakshin Dinajpur,,,,53.13,,,,,,54.13,,,,,,,,,,,,,,,,
December 2019,Darjeeling,,,,57.4,,,,,,59.87,,,,,,,,,,,,,,,,
December 2019,Hooghly,,,,29.69,,,,,,28.08,,,,,,,,,,,,,,,,
December 2019,Howrah,,,,43.65,,,,,,42.8,,,,,,,,,,,,,,,,
December 2019,Jalpaiguri,,,,43.06,,,,,,43.88,,,,,,,,,,,,,,,,
December 2019,Jhargram,,,,40.87,,,,,,41.01,,,,,,,,,,,,,,,,
December 2019,Kalimpong,,,,32.28,,,,,,35.4,,,,,,,,,,,,,,,,
December 2019,Kolkata,,,,84.56,,,,,,77.24,,,,,,,,,,,,,,,,
December 2019,Malda,,,,54.38,,,,,,54.54,,,,,,,,,,,,,,,,
December 2019,Murshidabad,,,,55.02,,,,,,55.36,,,,,,,,,,,,,,,,
December 2019,Nadia,,,,49.13,,,,,,49.1,,,,,,,,,,,,,,,,
December 2019,North 24 Parganas,,,,24.35,,,,,,32.38,,,,,,,,,,,,,,,,
December 2019,Paschim Bardhaman,,,,26.11,,,,,,34.75,,,,,,,,,,,,,,,,
December 2019,Paschim Medinipur,,,,45.38,,,,,,46.23,,,,,,,,,,,,,,,,
December 2019,Purba Bardhaman,,,,40.55,,,,,,42.5,,,,,,,,,,,,,,,,
December 2019,Purba Medinipur,,,,42.16,,,,,,44.61,,,,,,,,,,,,,,,,
December 2019,Purulia,,,,46.53,,,,,,45.9,,,,,,,,,,,,,,,,
December 2019,South 24 Parganas,,,,45.76,,,,,,45.88,,,,,,,,,,,,,,,,
December 2019,Uttar Dinajpur,,,,55.88,,,,,,57.13,,,,,,,,,,,,,,,,
December 2021,Alipurduar,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2021,Bankura,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2021,Birbhum,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2021,Cooch Behar,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2021,Dakshin Dinajpur,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2021,Darjeeling,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2021,Hooghly,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2021,Howrah,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2021,Jalpaiguri,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2021,Jhargram,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2021,Kalimpong,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2021,Kolkata,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2021,Malda,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2021,Murshidabad,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2021,Nadia,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2021,North 24 Parganas,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2021,Paschim Bardhaman,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2021,Paschim Medinipur,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2021,Purba Bardhaman,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2021,Purba Medinipur,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2021,Purulia,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2021,South 24 Parganas,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2021,Uttar Dinajpur,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2022,Alipurduar,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
December 2022,Bankura,,,,,,,,,,,,,,,,,,,,,,118.0,48.0,126.0,3511.0,1.0
December 2022,Birbhum,,,,,,,,,,,,,,,,,,,,,,208.0,304.0,215.0,6905.0,1.0
December 2022,Cooch Behar,,,,,,,,,,,,,,,,,,,,,,62.0,122.0,114.0,3518.0,2.0
December 2022,Darjeeling,,,,,,,,,,,,,,,,,,,,,,89.0,87.0,50.0,3173.0,2.0
December 2022,Hooghly,,,,,,,,,,,,,,,,,,,,,,207.0,127.0,119.0,4269.0,1.0
December 2022,Howrah,,,,,,,,,,,,,,,,,,,,,,369.0,185.0,94.0,4512.0,2.0
December 2022,Jalpaiguri,,,,,,,,,,,,,,,,,,,,,,2.0,8.0,27.0,667.0,1.0
December 2022,Jhargram,,,,,,,,,,,,,,,,,,,,,,0.0,40.0,48.0,2896.0,1.0
December 2022,Kalimpong,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0
December 2022,Kolkata,,,,,,,,,,,,,,,,,,,,,,0.0,9.0,28.0,659.0,1.0
December 2022,Malda,,,,,,,,,,,,,,,,,,,,,,172.0,32.0,16.0,1454.0,2.0
December 2022,Murshidabad,,,,,,,,,,,,,,,,,,,,,,119.0,18.0,35.0,1372.0,2.0
December 2022,Nadia,,,,,,,,,,,,,,,,,,,,,,119.0,94.0,71.0,6940.0,1.0
December 2022,North 24 Parganas,,,,,,,,,,,,,,,,,,,,,,63.0,55.0,65.0,3127.0,1.0
December 2022,Paschim Bardhaman,,,,,,,,,,,,,,,,,,,,,,0.0,27.0,24.0,786.0,1.0
December 2022,Paschim Medinipur,,,,,,,,,,,,,,,,,,,,,,170.0,18.0,42.0,2402.0,1.0
December 2022,Purba Bardhaman,,,,,,,,,,,,,,,,,,,,,,164.0,29.0,32.0,1561.0,1.0
December 2022,Purba Medinipur,,,,,,,,,,,,,,,,,,,,,,332.0,371.0,20.0,589.0,2.0
December 2022,Purulia,,,,,,,,,,,,,,,,,,,,,,77.0,53.0,55.0,1811.0,1.0
December 2022,South 24 Parganas,,,,,,,,,,,,,,,,,,,,,,93.0,50.0,34.0,1413.0,1.0
December 2022,Uttar Dinajpur,,,,,,,,,,,,,,,,,,,,,,98.0,149.0,77.0,3013.0,1.0
December 2023,Alipurduar,5012.19,,,,,,,,,,,66.59,62.15,7527.12,,,,,,,,,,,,
December 2023,Bankura,10648.5,,,,,,,,,,,54.59,51.82,19506.0,,,,,,,,,,,,
December 2023,Birbhum,10441.58,,,,,,,,,,,50.54,48.31,20659.07,,,,,,,,,,,,
December 2023,Cooch Behar,31993.25,,,,,,,,,,,79.84,75.6,40070.86,,,,,,,,,,,,
December 2023,Dakshin Dinajpur,3749.5,,,,,,,,,,,61.85,62.67,6062.69,,,,,,,,,,,,
December 2023,Darjeeling,16335.34,,,,,,,,,,,66.35,62.08,24620.22,,,,,,,,,,,,
December 2023,Hooghly,24964.69,,,,,,,,,,,45.31,41.31,55097.25,,,,,,,,,,,,
December 2023,Howrah,26318.86,,,,,,,,,,,48.38,47.79,54395.55,,,,,,,,,,,,
December 2023,Jalpaiguri,11402.43,,,,,,,,,,,80.1,60.27,14235.52,,,,,,,,,,,,
December 2023,Jhargram,2200.56,,,,,,,,,,,46.93,41.22,4689.21,,,,,,,,,,,,
December 2023,Kalimpong,1055.31,,,,,,,,,,,50.74,46.97,2079.8,,,,,,,,,,,,
December 2023,Kolkata,360220.63,,,,,,,,,,,96.29,64.15,374118.37,,,,,,,,,,,,
December 2023,Malda,8565.35,,,,,,,,,,,57.81,59.45,14816.9,,,,,,,,,,,,
December 2023,Murshidabad,16726.17,,,,,,,,,,,56.59,49.02,29558.69,,,,,,,,,,,,
December 2023,Nadia,15160.0,,,,,,,,,,,50.28,49.8,30150.0,,,,,,,,,,,,
December 2023,North 24 Parganas,78944.84,,,,,,,,,,,42.89,41.53,184081.0,,,,,,,,,,,,
December 2023,Paschim Bardhaman,24756.41,,,,,,,,,,,51.04,41.1,48503.98,,,,,,,,,,,,
December 2023,Paschim Medinipur,16110.87,,,,,,,,,,,50.18,47.47,32106.29,,,,,,,,,,,,
December 2023,Purba Bardhaman,17900.98,,,,,,,,,,,53.09,51.48,33715.69,,,,,,,,,,,,
December 2023,Purba Medinipur,17271.47,,,,,,,,,,,49.07,47.37,35199.99,,,,,,,,,,,,
December 2023,Purulia,6361.45,,,,,,,,,,,49.28,48.72,12907.9,,,,,,,,,,,,
December 2023,South 24 Parganas,17363.65,,,,,,,,,,,46.57,46.04,37283.1,,,,,,,,,,,,
December 2023,Uttar Dinajpur,6246.29,,,,,,,,,,,65.23,60.99,9575.78,,,,,,,,,,,,
June 2021,Alipurduar,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Bankura,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Birbhum,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Cooch Behar,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Dakshin Dinajpur,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Darjeeling,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Hooghly,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Howrah,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Jalpaiguri,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Jhargram,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Kalimpong,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Kolkata,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Malda,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Murshidabad,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Nadia,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,North 24 Parganas,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Paschim Bardhaman,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Paschim Medinipur,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Purba Bardhaman,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Purba Medinipur,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Purulia,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,South 24 Parganas,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Uttar Dinajpur,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2022,Alipurduar,,41.73,52.37,,,,,,,,,,,,,,,,,,,,,,,
June 2022,Bankura,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2022,Birbhum,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2022,Cooch Behar,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2022,Dakshin Dinajpur,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2022,Darjeeling,,63.48,59.01,,,,,,,,,,,,,,,,,,,,,,,
June 2022,Hooghly,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2022,Howrah,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2022,Jalpaiguri,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2022,Jhargram,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2022,Kalimpong,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2022,Kolkata,,59.68,59.41,,,,,,,,,,,,,,,,,,,,,,,
June 2022,Malda,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2022,Murshidabad,,42.58,49.05,,,,,,,,,,,,,,,,,,,,,,,
June 2022,Nadia,,50.03,50.11,,,,,,,,,,,,,,,,,,,,,,,
June 2022,North 24 Parganas,,35.2,40.33,,,,,,,,,,,,,,,,,,,,,,,
June 2022,Paschim Bardhaman,,41.19,42.98,,,,,,,,,,,,,,,,,,,,,,,
June 2022,Paschim Medinipur,,47.23,46.34,,,,,,,,,,,,,,,,,,,,,,,
June 2022,Purba Bardhaman,,44.05,52.49,,,,,,,,,,,,,,,,,,,,,,,
June 2022,Purba Medinipur,,45.16,46.97,,,,,,,,,,,,,,,,,,,,,,,
June 2022,Purulia,,53.35,48.92,,,,,,,,,,,,,,,,,,,,,,,
June 2022,South 24 Parganas,,44.13,45.18,,,,,,,,,,,,,,,,,,,,,,,
June 2022,Uttar Dinajpur,,61.22,60.0,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Alipurduar,4604.6,,,,,,,,,,,61.62,,,64.59,,7472.99,,,,,,,,,
June 2024,Bankura,11807.46,,,,,,,,,,,55.01,,,53.7,,21466.0,,,,,,,,,
June 2024,Birbhum,11036.7,,,,,,,,,,,50.37,,,47.54,,21910.18,,,,,,,,,
June 2024,Cooch Behar,9623.15,,,,,,,,,,,78.64,,,80.41,,12237.52,,,,,,,,,
June 2024,Dakshin Dinajpur,3865.37,,,,,,,,,,,62.71,,,63.74,,6163.67,,,,,,,,,
June 2024,Darjeeling,17135.18,,,,,,,,,,,67.58,,,62.03,,25357.07,,,,,,,,,
June 2024,Hooghly,26493.19,,,,,,,,,,,44.0,,,41.95,,60207.85,,,,,,,,,
June 2024,Howrah,27990.4,,,,,,,,,,,49.43,,,47.2,,56622.55,,,,,,,,,
June 2024,Jalpaiguri,9528.14,,,,,,,,,,,75.52,,,67.49,,12617.12,,,,,,,,,
June 2024,Jhargram,2199.61,,,,,,,,,,,45.57,,,43.03,,4827.08,,,,,,,,,
June 2024,Kalimpong,1352.29,,,,,,,,,,,60.81,,,49.17,,2223.8,,,,,,,,,
June 2024,Kolkata,388205.86,,,,,,,,,,,103.17,,,64.72,,376279.57,,,,,,,,,
June 2024,Malda,8472.54,,,,,,,,,,,59.06,,,60.78,,14345.95,,,,,,,,,
June 2024,Murshidabad,17926.43,,,,,,,,,,,57.33,,,55.77,,31267.75,,,,,,,,,
June 2024,Nadia,15584.0,,,,,,,,,,,50.97,,,50.11,,30575.0,,,,,,,,,
June 2024,North 24 Parganas,89593.05,,,,,,,,,,,45.28,,,40.66,,197855.55,,,,,,,,,
June 2024,Paschim Bardhaman,26161.92,,,,,,,,,,,52.83,,,46.96,,49520.09,,,,,,,,,
June 2024,Paschim Medinipur,17590.91,,,,,,,,,,,48.47,,,48.4,,36295.7,,,,,,,,,
June 2024,Purba Bardhaman,20458.73,,,,,,,,,,,56.04,,,55.17,,36510.24,,,,,,,,,
June 2024,Purba Medinipur,19179.42,,,,,,,,,,,52.76,,,45.91,,36349.79,,,,,,,,,
June 2024,Purulia,5997.92,,,,,,,,,,,50.26,,,48.88,,11933.93,,,,,,,,,
June 2024,South 24 Parganas,32145.6,,,,,,,,,,,45.54,,,45.06,,70581.68,,,,,,,,,
June 2024,Uttar Dinajpur,6387.1,,,,,,,,,,,68.85,,,64.38,,9277.09,,,,,,,,,
June 2025,Alipurduar,5505.51,,,,,,,,,,,63.82,,,,61.62,,8626.58,,,,,,,,
June 2025,Bankura,12163.33,,,,,,,,,,,57.0,,,,55.01,,21340.43,,,,,,,,
June 2025,Birbhum,10414.01,,,,,,,,,,,45.73,,,,50.37,,22774.45,,,,,,,,
June 2025,Cooch Behar,17461.13,,,,,,,,,,,105.04,,,,78.64,,16623.99,,,,,,,,
June 2025,Dakshin Dinajpur,4533.43,,,,,,,,,,,69.17,,,,62.71,,6553.57,,,,,,,,
June 2025,Darjeeling,19534.2,,,,,,,,,,,68.73,,,,67.58,,28422.26,,,,,,,,
June 2025,Hooghly,27005.92,,,,,,,,,,,47.18,,,,44.0,,57241.65,,,,,,,,
June 2025,Howrah,29917.08,,,,,,,,,,,50.22,,,,49.43,,59573.65,,,,,,,,
June 2025,Jalpaiguri,10677.42,,,,,,,,,,,77.25,,,,75.52,,13821.06,,,,,,,,
June 2025,Jhargram,2522.4,,,,,,,,,,,46.18,,,,45.57,,5462.28,,,,,,,,
June 2025,Kalimpong,1141.58,,,,,,,,,,,51.01,,,,60.81,,2237.95,,,,,,,,
June 2025,Kolkata,444668.1,,,,,,,,,,,92.54,,,,103.17,,480519.97,,,,,,,,
June 2025,Malda,11137.59,,,,,,,,,,,60.36,,,,59.06,,18450.8,,,,,,,,
June 2025,Murshidabad,18425.78,,,,,,,,,,,59.32,,,,57.33,,31059.3,,,,,,,,
June 2025,Nadia,18140.0,,,,,,,,,,,51.15,,,,50.97,,35463.0,,,,,,,,
June 2025,North 24 Parganas,93018.64,,,,,,,,,,,47.1,,,,45.28,,197496.79,,,,,,,,
June 2025,Paschim Bardhaman,35580.19,,,,,,,,,,,58.51,,,,52.83,,60811.78,,,,,,,,
June 2025,Paschim Medinipur,19249.17,,,,,,,,,,,50.73,,,,48.47,,37946.52,,,,,,,,
June 2025,Purba Bardhaman,21702.05,,,,,,,,,,,55.15,,,,56.04,,39348.21,,,,,,,,
June 2025,Purba Medinipur,25865.57,,,,,,,,,,,57.56,,,,52.76,,44934.18,,,,,,,,
June 2025,Purulia,1994.0,,,,,,,,,,,49.24,,,,50.26,,3994.0,,,,,,,,
June 2025,South 24 Parganas,21074.06,,,,,,,,,,,44.75,,,,45.54,,47093.15,,,,,,,,
June 2025,Uttar Dinajpur,7422.0,,,,,,,,,,,71.0,,,,68.85,,10453.0,,,,,,,,
