period,district,amount,amt,average_disbursement_amount_in_lakh,average_disbursement_in_lakh,disbursement_no,of_achievement_no,outstanding_no,sanction_no,sanctioned_no,target_2022_23_no,target_2023_24_no,target_fy_2025_26_no,total_disbursement_no,total_outsanding_no,total_sanction_no
December 2022,Alipurduar,76.69,,1.78,,14468.0,115.63,21051.0,,12286.0,12512.0,,,,,
December 2022,Bankura,68.11,,1.95,,30283.0,95.95,51266.0,,24228.0,31562.0,,,,,
December 2022,Birbhum,62.3,,2.35,,36289.0,70.47,62635.0,,38773.0,51497.0,,,,,
December 2022,Cooch Behar,82.79,,1.69,,39020.0,139.55,51782.0,,22881.0,27961.0,,,,,
December 2022,Dakshin Dinajpur,54.94,,1.34,,17001.0,111.99,23360.0,,11090.0,15181.0,,,,,
December 2022,Darjeeling,89.89,,2.26,,4891.0,103.78,6277.0,,3901.0,4713.0,,,,,
December 2022,Hooghly,82.42,,2.01,,31462.0,102.74,42854.0,,19371.0,30623.0,,,,,
December 2022,Howrah,71.06,,2.29,,22149.0,87.96,33989.0,,17055.0,25181.0,,,,,
December 2022,Jalpaiguri,88.22,,1.95,,24201.0,127.77,34877.0,,15317.0,18941.0,,,,,
December 2022,Jhargram,65.74,,1.99,,10941.0,90.96,16511.0,,11270.0,12029.0,,,,,
December 2022,Kalimpong,85.01,,2.52,,2330.0,89.68,3089.0,,1697.0,2598.0,,,,,
December 2022,Kolkata,100.0,,1.49,,875.0,100.0,2927.0,,0.0,0.0,,,,,
December 2022,Malda,68.36,,1.51,,37184.0,123.22,53317.0,,23242.0,30177.0,,,,,
December 2022,Murshidabad,84.36,,1.43,,53739.0,142.35,78492.0,,30445.0,37750.0,,,,,
December 2022,Nadia,60.7,,1.47,,31944.0,118.48,49404.0,,20717.0,26962.0,,,,,
December 2022,North 24 Parganas,69.89,,1.54,,45819.0,117.75,61686.0,,27255.0,38911.0,,,,,
December 2022,Paschim Bardhaman,57.11,,2.2,,5773.0,53.96,10190.0,,5649.0,10699.0,,,,,
December 2022,Paschim Medinipur,95.31,,2.3,,41483.0,113.1,58406.0,,29455.0,36679.0,,,,,
December 2022,Purba Bardhaman,42.1,,2.52,,27931.0,64.97,52804.0,,30975.0,42991.0,,,,,
December 2022,Purba Medinipur,117.84,,3.23,,51819.0,114.69,74239.0,,34346.0,45183.0,,,,,
December 2022,Purulia,52.55,,1.43,,20038.0,87.81,35935.0,,17819.0,22821.0,,,,,
December 2022,South 24 Parganas,93.21,,1.79,,53640.0,133.65,75174.0,,22713.0,40136.0,,,,,
December 2022,Uttar Dinajpur,86.09,,1.42,,24558.0,201.08,35086.0,,10685.0,12213.0,,,,,
December 2023,Alipurduar,63.63,,2.21,,16448.0,144.8,22620.0,11364.0,,,11359.0,,,,
