period,district,amount,amount_in_cr,amount_in_lac,cluster_adopted_by_banks,employed,employed_persons_18000,handloom,handloom_cluster,inactive_ineligible,kvib_cluster,loan_disbursed_in_adopted_msme_cluster_no,loan_disbursed_in_handloom_cluster_no,loan_disbursed_in_kvib_cluster_no,loan_disbursed_in_msme_cluster_no,loan_sanctioned_in_adopted_msme_cluster_no,loan_sanctioned_in_msme_cluster_no,loan_sponsored_in_handloom_cluster_no,loan_sponsored_in_kvib_cluster_no,loan_sponsored_sanct_ioned_in_handloom_cluster_no,loan_sponsored_sanct_ioned_in_kvib_cluster_no,loan_sponsored_sancti_oned_in_handloom_cluster_no,loan_sponsored_sancti_oned_in_kvib_cluster_no,msme_cluster,name_of_clusters_msme,no_of_application_approved_by_banks_no,no_of_application_pending_at_bankers_end,no_of_application_rejected_by_banks,no_of_application_sent_to_banks,no_of_clusters,no_of_clusters_covered,no_of_employed,no_of_stake_holders_identified_for_loan,no_of_unit,no_such_cluster,number_of_clusters,pending,proposal_sponsored_in_msme_cluster_no,proposals_sponsored_g_enerated_in_msme_cluster_no,proposals_sponsored_generated_in_msme_cluster_no,sr_1,total,units,units_no_300,wbkvib
December 2018,Bankura,,,,,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,250.0,
December 2018,Darjeeling,,,,,,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,150.0,
December 2018,Howrah,,,,,,40000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,900.0,
December 2018,Jalpaiguri,,,,,,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,200.0,
December 2018,Malda,,,,,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,250.0,
December 2018,Murshidabad,,,,,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,1500.0,
December 2018,Nadia,,,,,,4000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,600.0,
December 2018,Paschim Bardhaman,,,,,,4500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,135.0,
December 2018,Purba Bardhaman,,,,,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,1350.0,
December 2018,Purba Medinipur,,,,,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,500.0,
December 2018,Purulia,,,,,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,125.0,
December 2018,Uttar Dinajpur,,,,,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,450.0,
December 2019,Alipurduar,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,3.0,,0.0,,,,,,,,,,,,
December 2019,Bankura,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,,3.0,,58.0,,,,,,,,,,,,
December 2019,Birbhum,,,33.0,,,,,,,,,,,,,,,,,,,,,,8.0,33.0,12.0,53.0,,7.0,,53.0,,,,,,,,,,,,
December 2019,Cooch Behar,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,3.0,,200.0,,,,,,,,,,,,
December 2019,Dakshin Dinajpur,,,0.5,,,,,,,,,,,,,,,,,,,,,,1.0,53.0,0.0,54.0,,4.0,,103.0,,,,,,,,,,,,
