period,district,1858_744,210_245,2448_3559,4308_4343,5426_6555,79_66,aap_target_for_fy_2022_23_no_of_programs,achievement_no_of_programs,credit_linkage,no_of_candidates_trained,no_of_programs,no_of_training_cond,no_of_training_conducted,of_settlement,own,self_employed_bank,settlement,total,total_4544,total_settled,total_settled_with_wage,total_settled_without_wage,total_settlement,total_trained,wage_employe,wage_employed
December 2017,Bankura,,,,,,,,,,522.0,,,23.0,49.0,128.0,125.0,,,,253.0,,,,,,
December 2017,Birbhum,,,,,,,,,,414.0,,,18.0,23.0,,321.0,,,,93.0,,,,,,
December 2017,Cooch Behar,,,,,,,,,,336.0,,,18.0,41.0,65.0,71.0,,,,136.0,,,,,,
December 2017,Darjeeling,,,,,,,,,,392.0,,,15.0,21.0,27.0,54.0,,,,81.0,,,,,,
December 2017,Hooghly,,,,,,,,,,571.0,,,24.0,64.0,49.0,312.0,,,,361.0,,,,,,
December 2017,Howrah,,,,,,,,,,1239.0,,,44.0,74.0,694.0,211.0,,,,905.0,,,,,,
December 2017,Jalpaiguri,,,,,,,,,,326.0,,,13.0,3.0,9.0,,,,,9.0,,,,,,
December 2017,Malda,,,,,,,,,,572.0,,,20.0,10.0,32.0,22.0,,,,54.0,,,,,,
December 2017,Nadia,,,,,,,,,,467.0,,,17.0,63.0,108.0,185.0,,,,293.0,,,,,,
December 2017,North 24 Parganas,,,,,,,,,,685.0,,,29.0,21.0,,140.0,,,,140.0,,,,,,
December 2017,Purba Bardhaman,,,,,,,,,,451.0,,,19.0,25.0,47.0,64.0,,,,111.0,,,,,,
December 2017,Purba Medinipur,,,,,,,,,,547.0,,,20.0,27.0,76.0,68.0,,,,144.0,,,,,,
December 2017,Purulia,,,,,,,,,,353.0,,,15.0,16.0,14.0,42.0,,,,56.0,,,,,,
December 2017,South 24 Parganas,,,,,,,,,,757.0,,,27.0,21.0,72.0,81.0,,,,153.0,,,,,,
December 2017,Uttar Dinajpur,,,,,,,,,,283.0,,,13.0,37.0,92.0,12.0,,,,104.0,,,,,,
December 2018,Bankura,,,,,,,,,53.97,,261.0,,,,1601.0,1877.0,66.27,,,,4026.0,3478.0,,6075.0,,548.0
December 2018,Birbhum,,,,,,,,,73.31,,200.0,,,,1025.0,2816.0,66.07,,,,3847.0,3841.0,,5823.0,,6.0
December 2018,Cooch Behar,,,,,,,,,46.52,,107.0,,,,991.0,862.0,71.97,,,,1874.0,1853.0,,2604.0,,21.0
December 2018,Darjeeling,,,,,,,,,54.8,,78.0,,,,673.0,816.0,76.31,,,,1527.0,1489.0,,2001.0,,38.0
December 2018,Hooghly,,,,,,,,,83.9,,222.0,,,,635.0,3309.0,68.65,,,,3944.0,3944.0,,5745.0,,0.0
December 2018,Howrah,,,,,,,,,23.63,,567.0,,,,8843.0,2736.0,85.42,,,,12183.0,11579.0,,14263.0,,604.0
December 2018,Jalpaiguri,,,,,,,,,83.26,,227.0,,,,606.0,3015.0,80.13,,,,3717.0,3621.0,,4639.0,,96.0
December 2018,Malda,,,,,,,,,55.64,,182.0,,,,1612.0,2022.0,76.45,,,,4224.0,3634.0,,5525.0,,590.0
December 2018,Murshidabad,,,,,,,,,50.48,,260.0,,,,2656.0,2708.0,70.72,,,,5364.0,5364.0,,7585.0,,0.0
December 2018,Nadia,,,,,,,,,39.43,,169.0,,,,1730.0,1126.0,66.81,,,,2929.0,2856.0,,4384.0,,73.0
December 2018,North 24 Parganas,,,,,,,,,58.54,,224.0,,,,1860.0,2626.0,77.66,,,,4488.0,4486.0,,5779.0,,2.0
December 2018,Purba Bardhaman,,,,,,,,,55.11,,202.0,,,,1520.0,1866.0,66.24,,,,3386.0,3386.0,,5112.0,,0.0
December 2018,Purba Medinipur,,,,,,,,,47.68,,189.0,,,,2108.0,1921.0,74.74,,,,4072.0,4029.0,,5448.0,,43.0
December 2018,Purulia,,,,,,,,,63.47,,147.0,,,,700.0,1216.0,51.27,,,,1916.0,1916.0,,3737.0,,0.0
December 2018,South 24 Parganas,,,,,,,,,82.99,,263.0,,,,749.0,3655.0,63.27,,,,4444.0,4404.0,,7024.0,,40.0
December 2018,Uttar Dinajpur,,,,,,,,,56.22,,179.0,,,,1369.0,1758.0,71.28,,,,3196.0,3127.0,,4484.0,,69.0
December 2019,Bankura,,,,,,,,,51.75,,290.0,,,,2058.0,2207.0,70.85,,,,4871.0,4265.0,,6875.0,,606.0
December 2019,Birbhum,,,,,,,,,74.26,,221.0,,,,1142.0,3295.0,68.35,,,,4445.0,4437.0,,6503.0,,8.0
December 2019,Cooch Behar,,,,,,,,,48.31,,127.0,,,,1057.0,988.0,69.23,,,,2079.0,2045.0,,3003.0,,34.0
December 2019,Darjeeling,,,,,,,,,59.96,,102.0,,,,736.0,1102.0,70.18,,,,1878.0,1838.0,,2676.0,,40.0
December 2019,Hooghly,,,,,,,,,85.58,,253.0,,,,639.0,3791.0,68.49,,,,4430.0,4430.0,,6468.0,,0.0
December 2019,Howrah,,,,,,,,,24.73,,603.0,,,,9431.0,3098.0,86.37,,,,13158.0,12529.0,,15234.0,,629.0
December 2019,Jalpaiguri,,,,,,,,,77.88,,249.0,,,,905.0,3187.0,82.37,,,,4313.0,4092.0,,5236.0,,221.0
December 2019,Malda,,,,,,,,,53.97,,214.0,,,,1873.0,2196.0,73.61,,,,4739.0,4069.0,,6438.0,,670.0
December 2019,Nadia,,,,,,,,,42.99,,198.0,,,,2005.0,1512.0,70.04,,,,3590.0,3517.0,,5126.0,,73.0
December 2019,North 24 Parganas,,,,,,,,,57.17,,256.0,,,,2241.0,2991.0,81.09,,,,5356.0,5232.0,,6605.0,,124.0
December 2019,Purba Bardhaman,,,,,,,,,56.76,,231.0,,,,1778.0,2334.0,69.41,,,,4112.0,4112.0,,5924.0,,0.0
