period,district,31_03_2022,31_03_2023,31_03_2024,31_03_2025,aapb_achieved_in_current_fy,aapb_achieved_in_current_fy_2024_25,aapb_achieved_in_current_fy_2025_26,aapb_target,achivement,annual_target,annual_target_achievement_in_current_fy,annual_target_achievement_in_current_fy_2024_25,annual_target_achievement_in_current_fy_2025_26,apy_accounts_opened_in_current_fy,apy_accounts_opened_in_current_fy_2024_25,apy_accounts_opened_in_current_fy_2025_26,cumulative_apy_accounts_opened_since_inception,district_wise_enrolment_under_apy_31_03_2022,fy_2021_22_target,fy_2022_23_target,no_of_branch_es,no_of_branches,of_achivement
December 2022,Alipurduar,,,,,,,,,7472.0,,,,,,,,,,3480.0,4010.0,,,186.0
December 2022,Bankura,,,,,,,,,21629.0,,,,,,,,,,14700.0,17400.0,,,124.0
December 2022,Birbhum,,,,,,,,,34124.0,,,,,,,,,,15870.0,18680.0,,,183.0
December 2022,Cooch Behar,,,,,,,,,23258.0,,,,,,,,,,11130.0,12910.0,,,180.0
December 2022,Dakshin Dinajpur,,,,,,,,,10212.0,,,,,,,,,,6120.0,7150.0,,,143.0
December 2022,Darjeeling,,,,,,,,,14239.0,,,,,,,,,,13650.0,15930.0,,,89.0
December 2022,Hooghly,,,,,,,,,43438.0,,,,,,,,,,27450.0,32290.0,,,135.0
December 2022,Howrah,,,,,,,,,39475.0,,,,,,,,,,23250.0,27160.0,,,145.0
December 2022,Jalpaiguri,,,,,,,,,23976.0,,,,,,,,,,12000.0,13990.0,,,171.0
December 2022,Jhargram,,,,,,,,,4858.0,,,,,,,,,,3390.0,3950.0,,,123.0
December 2022,Kalimpong,,,,,,,,,1004.0,,,,,,,,,,1050.0,1290.0,,,78.0
December 2022,Kolkata,,,,,,,,,28490.0,,,,,,,,,,73470.0,84900.0,,,34.0
December 2022,Malda,,,,,,,,,37315.0,,,,,,,,,,12510.0,14510.0,,,257.0
December 2022,Murshidabad,,,,,,,,,65674.0,,,,,,,,,,22650.0,26510.0,,,248.0
December 2022,Nadia,,,,,,,,,32024.0,,,,,,,,,,19770.0,23030.0,,,139.0
December 2022,North 24 Parganas,,,,,,,,,59548.0,,,,,,,,,,49590.0,58240.0,,,102.0
December 2022,Paschim Bardhaman,,,,,,,,,7148.0,,,,,,,,,,11190.0,13140.0,,,54.0
December 2022,Paschim Medinipur,,,,,,,,,34418.0,,,,,,,,,,21360.0,25110.0,,,137.0
December 2022,Purba Bardhaman,,,,,,,,,42899.0,,,,,,,,,,30450.0,35100.0,,,122.0
December 2022,Purba Medinipur,,,,,,,,,55374.0,,,,,,,,,,18300.0,21540.0,,,257.0
December 2022,Purulia,,,,,,,,,15488.0,,,,,,,,,,9540.0,11130.0,,,139.0
December 2022,South 24 Parganas,,,,,,,,,47949.0,,,,,,,,,,33360.0,39020.0,,,123.0
