period,district,aapb_achieved_in_current_fy,aapb_achieved_in_current_fy_2024_25_34,aapb_achieved_in_current_fy_2025_26,aapb_target,aapb_target_370,annual_target,annual_target_74515,annual_target_achievement_in_current_fy,annual_target_achievement_in_current_fy_2024_25_20,annual_target_achievement_in_current_fy_2025_26,apy_accounts_opened_in_current_fy,apy_accounts_opened_in_current_fy_2024_25_14884,apy_accounts_opened_in_current_fy_2025_26,cumulative_apy_accounts_opened_since_inception,no_of_branches,no_of_branches_916
December 2023,Alipurduar,114.27,,,100.0,,5550.0,,135.89,,,7542.0,,,56357.0,66.0,
December 2023,Bankura,121.14,,,100.0,,24270.0,,125.78,,,30527.0,,,161420.0,252.0,
December 2023,Birbhum,110.81,,,100.0,,25450.0,,118.43,,,30140.0,,,218381.0,272.0,
December 2023,Cooch Behar,116.88,,,100.0,,18350.0,,131.85,,,24194.0,,,174405.0,207.0,
December 2023,Dakshin Dinajpur,134.51,,,100.0,,9700.0,,146.99,,,14258.0,,,86491.0,106.0,
December 2023,Darjeeling,44.38,,,100.0,,21410.0,,49.96,,,10696.0,,,99787.0,241.0,
December 2023,Hooghly,89.9,,,100.0,,43630.0,,98.7,,,43064.0,,,278912.0,479.0,
December 2023,Howrah,72.44,,,100.0,,36930.0,,80.22,,,29627.0,,,216045.0,409.0,
December 2023,Jalpaiguri,108.78,,,100.0,,20080.0,,117.02,,,23497.0,,,165782.0,216.0,
December 2023,Jhargram,79.76,,,100.0,,5700.0,,81.16,,,4626.0,,,33023.0,58.0,
December 2023,Kalimpong,31.68,,,100.0,,1770.0,,34.01,,,602.0,,,5798.0,19.0,
December 2023,Kolkata,15.75,,,100.0,,109150.0,,18.79,,,20504.0,,,194205.0,1302.0,
December 2023,Malda,138.82,,,100.0,,20630.0,,148.04,,,30540.0,,,251371.0,220.0,
December 2023,Murshidabad,152.91,,,100.0,,36530.0,,164.08,,,59940.0,,,429755.0,392.0,
December 2023,Nadia,86.98,,,100.0,,32690.0,,97.91,,,32007.0,,,253883.0,368.0,
December 2023,North 24 Parganas,60.85,,,100.0,,79140.0,,67.74,,,53607.0,,,404742.0,881.0,
December 2023,Paschim Bardhaman,39.41,,,100.0,,18260.0,,46.83,,,8552.0,,,60782.0,217.0,
December 2023,Paschim Medinipur,89.27,,,100.0,,34630.0,,95.38,,,33031.0,,,250096.0,370.0,
December 2023,Purba Bardhaman,77.57,,,100.0,,48890.0,,88.69,,,43362.0,,,276466.0,559.0,
December 2023,Purba Medinipur,128.44,,,100.0,,29900.0,,135.74,,,40586.0,,,326073.0,316.0,
December 2023,Purulia,121.54,,,100.0,,15800.0,,129.23,,,20418.0,,,120525.0,168.0,
December 2023,South 24 Parganas,93.27,,,100.0,,53040.0,,102.34,,,54283.0,,,333996.0,582.0,
December 2023,Uttar Dinajpur,123.95,,,100.0,,13460.0,,139.97,,,18840.0,,,145660.0,152.0,
June 2024,Alipurduar,,72.0,,,390.0,,5580.0,,36.0,,,2031.0,,,,74.0
June 2024,Bankura,,61.0,,,350.0,,22230.0,,38.0,,,8430.0,,,,255.0
June 2024,Birbhum,,60.0,,,350.0,,23440.0,,39.0,,,9255.0,,,,276.0
June 2024,Cooch Behar,,48.0,,,390.0,,17150.0,,30.0,,,5160.0,,,,215.0
June 2024,Dakshin Dinajpur,,68.0,,,350.0,,9060.0,,39.0,,,3493.0,,,,109.0
June 2024,Darjeeling,,26.0,,,390.0,,20070.0,,13.0,,,2674.0,,,,249.0
June 2024,Hooghly,,56.0,,,350.0,,40915.0,,29.0,,,11845.0,,,,493.0
June 2024,Howrah,,32.0,,,350.0,,34760.0,,18.0,,,6319.0,,,,422.0
June 2024,Jalpaiguri,,56.0,,,370.0,,18930.0,,25.0,,,4768.0,,,,233.0
June 2024,Jhargram,,61.0,,,350.0,,5430.0,,33.0,,,1765.0,,,,62.0
June 2024,Kalimpong,,10.0,,,285.0,,1865.0,,6.0,,,105.0,,,,22.0
June 2024,Kolkata,,13.0,,,280.0,,103445.0,,6.0,,,5853.0,,,,1341.0
June 2024,Malda,,70.0,,,350.0,,19055.0,,43.0,,,8186.0,,,,224.0
June 2024,Murshidabad,,89.0,,,350.0,,33765.0,,44.0,,,14892.0,,,,399.0
June 2024,Nadia,,52.0,,,350.0,,30735.0,,31.0,,,9473.0,,,,378.0
June 2024,Paschim Bardhaman,,16.0,,,280.0,,17785.0,,14.0,,,2421.0,,,,234.0
June 2024,Paschim Medinipur,,58.0,,,370.0,,32380.0,,27.0,,,8838.0,,,,388.0
June 2024,Purba Bardhaman,,40.0,,,370.0,,44975.0,,22.0,,,9931.0,,,,558.0
June 2024,Purba Medinipur,,69.0,,,370.0,,28500.0,,35.0,,,10117.0,,,,354.0
June 2024,Purulia,,61.0,,,350.0,,14705.0,,38.0,,,5557.0,,,,172.0
June 2024,Uttar Dinajpur,,59.0,,,350.0,,12590.0,,36.0,,,4473.0,,,,155.0
June 2025,Alipurduar,,,128.0,415.0,,6230.0,,,,143.0,,,3385.0,74924.0,75.0,
June 2025,Bankura,,,75.0,375.0,,24880.0,,,,82.0,,,8824.0,236678.0,260.0,
June 2025,Birbhum,,,75.0,375.0,,26140.0,,,,86.0,,,9857.0,282630.0,279.0,
June 2025,Cooch Behar,,,95.0,415.0,,19060.0,,,,105.0,,,9070.0,230234.0,216.0,
June 2025,Dakshin Dinajpur,,,104.0,375.0,,10065.0,,,,116.0,,,4943.0,120751.0,111.0,
June 2025,Darjeeling,,,29.0,415.0,,22495.0,,,,38.0,,,2999.0,122479.0,255.0,
June 2025,Hooghly,,,58.0,375.0,,45985.0,,,,78.0,,,14156.0,376076.0,509.0,
June 2025,Howrah,,,50.0,375.0,,38730.0,,,,63.0,,,8533.0,273641.0,431.0,
June 2025,Jalpaiguri,,,117.0,395.0,,21180.0,,,,159.0,,,8194.0,219103.0,238.0,
June 2025,Jhargram,,,103.0,375.0,,6105.0,,,,165.0,,,1908.0,49521.0,63.0,
June 2025,Kalimpong,,,18.0,310.0,,2150.0,,,,23.0,,,139.0,7393.0,23.0,
June 2025,Kolkata,,,24.0,295.0,,114700.0,,,,42.0,,,8164.0,241005.0,1374.0,
