period,district,10_km_to_20_km_2000,1km,1km_3km,2000_5000,3km_5km,5000,5_km_7_5_km_2000,7_5_km_10_km_2000,above_20_km_2000,achievement_as_on_30_09_2018_no,achievement_as_on_no,amount,amount_rs_cr,amt,amt_in_lac,amt_lac,average_rs_lac,block_affected,disbursement_pending_no,education_no,export_credit_no,grand_total_no,housing_no,loan_amount_disbursed,loan_amount_rs_crore,mm_claimed_no,mm_disbursed_no,mouza_affected,no_of_affected_blocks,no_of_block_affected,no_of_mouza_affected,no_of_shg,nos,number_of_applications_pending_with_banks_as_on_31_03_2015,number_of_applications_rejected_by_the_bank_in_2015_16,number_of_applications_sent_to_bank_in_2015_16,number_of_wccs_issued_by_banks_in_2015_16,of_achievement_mm_disbursed_no,of_achievement_no,others_sector_activities_not_classified_elsewhere_no,out_of_a_approved_by_bank_b_no,out_of_a_rejected_d,out_of_b_disbursed_by_bank_c_no,pending_at_bank_level_verified_by_pmu_stcb_no,project_cost_rs_crore,renewable_energy_no,returned_no,rs_in_lakh_number_of_number_of_number_of_number_of_total_number_loan_loan_applications_applications_wccs_issued_applications_of_applications_amount_amount_sent_to_bank_pending_with_by_banks_in_rejected_by_pending_with_sanctioned_disbursed_remarks_in_2015_16_banks_as_on_2015_16_the_bank_in_bank_31_03_2015_2015_16_3_4_5_6,sanction_amount_rs_in_lac,sanctioned_no,sn,social_infrastructure_no,sponsored_in_fy_2024_25_no,target_for_2017_18_no,target_for_2018_19_no,target_for_2024_25_no,total,total_application_submitted_to_bank_a,total_gp,total_number_of_applications_pending_with_bank_3_4_5_6,total_of_gp_hqs_above_5_km_2000
December 2017,Alipurduar,,,,,,,,,,,6406.0,,,67.76,10610.58,,1.66,,,,,,,,,,,,,,,,,,,,,,69.96,,,,,,,,,,,,,,,9157.0,,,,,,,
December 2017,Bankura,,,,,,,,,,,14243.0,,,48.83,22326.19,,1.57,,,,,,,,,,,,,,,,,,,,,,67.29,,,,,,,,,,,,,,,21166.0,,,,,,,
December 2017,Birbhum,,,,,,,,,,,20090.0,,,80.09,43826.37,,2.18,,,,,,,,,,,,,,,,,,,,,,87.38,,,,,,,,,,,,,,,22991.0,,,,,,,
December 2017,Cooch Behar,,,,,,,,,,,17221.0,,,64.22,28350.86,,1.65,,,,,,,,,,,,,,,,,,,,,,69.43,,,,,,,,,,,,,,,24802.0,,,,,,,
December 2017,Dakshin Dinajpur,,,,,,,,,,,5212.0,,,42.7,9942.74,,1.91,,,,,,,,,,,,,,,,,,,,,,50.14,,,,,,,,,,,,,,,10394.0,,,,,,,
December 2017,Darjeeling,,,,,,,,,,,462.0,,,41.02,1060.73,,2.3,,,,,,,,,,,,,,,,,,,,,,30.78,,,,,,,,,,,,,,,1501.0,,,,,,,
December 2017,Hooghly,,,,,,,,,,,17910.0,,,78.79,28705.03,,1.6,,,,,,,,,,,,,,,,,,,,,,87.01,,,,,,,,,,,,,,,20584.0,,,,,,,
December 2017,Howrah,,,,,,,,,,,11522.0,,,76.22,26399.73,,2.29,,,,,,,,,,,,,,,,,,,,,,81.5,,,,,,,,,,,,,,,14137.0,,,,,,,
December 2017,Jalpaiguri,,,,,,,,,,,14377.0,,,83.21,24774.78,,1.72,,,,,,,,,,,,,,,,,,,,,,91.74,,,,,,,,,,,,,,,15671.0,,,,,,,
December 2017,Jhargram,,,,,,,,,,,5732.0,,,66.34,9391.68,,1.64,,,,,,,,,,,,,,,,,,,,,,77.8,,,,,,,,,,,,,,,7368.0,,,,,,,
