period,district,10_km_to_20_km_2000,1km,1km_3km,2000_5000,3km_5km,5000,5_km_7_5_km_2000,7_5_km_10_km_2000,above_20_km_2000,amount,no_of_general_camps_conducted_during_the_quarter,no_of_participants,no_of_rural_branches_in_district,no_of_special_camps_conducted_during_the_quarter,no_of_target_specific_camps_conducted_during_the_quarter,sanction_no,target_group_addressed,total,total_gp,total_no_of_camps,total_no_of_participants,total_of_gp_hqs_above_5_km_2000
December 2018,Alipurduar,,,,,,,,,,,18.0,582.0,73.0,,16.0,,124.0,,,34.0,1031.0,
December 2018,Bankura,,,,,,,,,,,7.0,393.0,231.0,,7.0,,124.0,,,14.0,791.0,
December 2018,Birbhum,,,,,,,,,,,4.0,94.0,210.0,,4.0,,1246.0,,,8.0,180.0,
December 2018,Cooch Behar,,,,,,,,,,,4.0,142.0,142.0,,5.0,,123.0,,,9.0,221.0,
December 2018,Dakshin Dinajpur,,,,,,,,,,,57.0,111.0,79.0,,3.0,,12346.0,,,60.0,1233.0,
December 2018,Darjeeling,,,,,,,,,,,3.0,69.0,76.0,,3.0,,136.0,,,6.0,138.0,
December 2018,Hooghly,,,,,,,,,,,10.0,327.0,16.0,,10.0,,2356.0,,,20.0,554.0,
December 2018,Howrah,,,,,,,,,,,81.0,108.0,177.0,,4.0,,235.0,,,85.0,1989.0,
December 2018,Jalpaiguri,,,,,,,,,,,3.0,182.0,77.0,,6.0,,1356.0,,,9.0,232.0,
December 2018,Jhargram,,,,,,,,,,,3.0,175.0,54.0,,9.0,,1236.0,,,12.0,250.0,
December 2018,Kalimpong,,,,,,,,,,,3.0,44.0,14.0,,2.0,,1236.0,,,5.0,97.0,
December 2018,Malda,,,,,,,,,,,7.0,485.0,184.0,,12.0,,1246.0,,,19.0,812.0,
December 2018,Murshidabad,,,,,,,,,,,92.0,722.0,292.0,,25.0,,123456.0,,,117.0,2856.0,
December 2018,Nadia,,,,,,,,,,,9.0,182.0,201.0,,9.0,,1345.0,,,18.0,403.0,
December 2018,Paschim Bardhaman,,,,,,,,,,,73.0,745.0,374.0,,22.0,,146.0,,,95.0,2537.0,
December 2018,Paschim Medinipur,,,,,,,,,,,11.0,521.0,326.0,,21.0,,134.0,,,32.0,948.0,
December 2018,Purba Bardhaman,,,,,,,,,,,77.0,326.0,267.0,,9.0,,1456.0,,,86.0,2323.0,
December 2018,Purba Medinipur,,,,,,,,,,,79.0,387.0,299.0,,18.0,,12346.0,,,97.0,2294.0,
December 2018,Purulia,,,,,,,,,,,21.0,421.0,111.0,,9.0,,13456.0,,,30.0,1030.0,
December 2018,Uttar Dinajpur,,,,,,,,,,,15.0,775.0,96.0,,24.0,,14.0,,,39.0,1386.0,
June 2021,Alipurduar,,,,,,,,,,,,0.0,51.0,0.0,0.0,,,,,,,
June 2021,Bankura,,,,,,,,,,,,48.0,191.0,4.0,2.0,,,,,,,
June 2021,Birbhum,,,,,,,,,,,,0.0,212.0,0.0,0.0,,,,,,,
June 2021,Cooch Behar,,,,,,,,,,,,0.0,124.0,0.0,0.0,,,,,,,
June 2021,Darjeeling,,,,,,,,,,,,0.0,76.0,0.0,0.0,,,,,,,
June 2021,Hooghly,,,,,,,,,,,,0.0,237.0,0.0,0.0,,,,,,,
June 2021,Howrah,,,,,,,,,,,,1231.0,115.0,2.0,39.0,,,,,,,
June 2021,Jalpaiguri,,,,,,,,,,,,0.0,79.0,0.0,0.0,,,,,,,
June 2021,Jhargram,,,,,,,,,,,,0.0,82.0,0.0,0.0,,,,,,,
June 2021,Kalimpong,,,,,,,,,,,,0.0,14.0,0.0,0.0,,,,,,,
June 2021,Kolkata,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,
June 2021,Malda,,,,,,,,,,,,25.0,184.0,1.0,1.0,,36.0,,,,,
June 2021,Murshidabad,,,,,,,,,,,,502.0,334.0,221.0,190.0,,2346.0,,,,,
June 2021,Nadia,,,,,,,,,,,,113.0,230.0,3.0,3.0,,346.0,,,,,
June 2021,North 24 Parganas,,,,,,,,,,,,0.0,255.0,0.0,0.0,,,,,,,
June 2021,Paschim Bardhaman,,,,,,,,,,,,425.0,101.0,10.0,10.0,,2456.0,,,,,
June 2021,Paschim Medinipur,,,,,,,,,,,,0.0,248.0,0.0,0.0,,,,,,,
June 2021,Purba Bardhaman,,,,,,,,,,,,44.0,203.0,9.0,1.0,,246.0,,,,,
June 2021,Purba Medinipur,,,,,,,,,,,,0.0,177.0,0.0,0.0,,,,,,,
June 2021,Purulia,,,,,,,,,,,,0.0,158.0,0.0,0.0,,,,,,,
June 2021,South 24 Parganas,,,,,,,,,,,,0.0,304.0,0.0,0.0,,,,,,,
June 2021,Uttar Dinajpur,,,,,,,,,,,,300.0,97.0,8.0,20.0,,124.0,,,,,
March 2019,Alipurduar,,,,,,,,,,23122.67,,,,,,10525.0,,,,,,
March 2019,Bankura,,,,,,,,,,59954.61,,,,,,27286.0,,,,,,
March 2019,Birbhum,,,,,,,,,,78188.94,,,,,,32961.0,,,,,,
March 2019,Cooch Behar,,,,,,,,,,73997.46,,,,,,30912.0,,,,,,
March 2019,Dakshin Dinajpur,,,,,,,,,,24313.32,,,,,,11604.0,,,,,,
March 2019,Darjeeling,,,,,,,,,,4306.67,,,,,,1741.0,,,,,,
March 2019,Hooghly,,,,,,,,,,60621.0,,,,,,29504.0,,,,,,
March 2019,Howrah,,,,,,,,,,50897.29,,,,,,20867.0,,,,,,
March 2019,Jalpaiguri,,,,,,,,,,52174.18,,,,,,22431.0,,,,,,
March 2019,Jhargram,,,,,,,,,,14885.0,,,,,,6917.0,,,,,,
March 2019,Kalimpong,,,,,,,,,,2172.92,,,,,,901.0,,,,,,
March 2019,Malda,,,,,,,,,,84475.53,,,,,,36967.0,,,,,,
March 2019,Murshidabad,,,,,,,,,,88361.52,,,,,,49207.0,,,,,,
March 2019,Nadia,,,,,,,,,,42433.25,,,,,,36018.0,,,,,,
March 2019,North 24 Parganas,,,,,,,,,,69583.52,,,,,,30711.0,,,,,,
March 2019,Paschim Bardhaman,,,,,,,,,,8975.33,,,,,,3882.0,,,,,,
March 2019,Paschim Medinipur,,,,,,,,,,73883.72,,,,,,30111.0,,,,,,
March 2019,Purba Bardhaman,,,,,,,,,,78623.11,,,,,,32343.0,,,,,,
March 2019,Purba Medinipur,,,,,,,,,,99760.76,,,,,,39867.0,,,,,,
March 2019,South 24 Parganas,,,,,,,,,,73911.03,,,,,,35346.0,,,,,,
March 2019,Uttar Dinajpur,,,,,,,,,,28393.95,,,,,,13116.0,,,,,,
March 2021,Alipurduar,,,,,,,,,,,,0.0,51.0,0.0,0.0,,,,,,,
March 2021,Bankura,,,,,,,,,,,,142.0,191.0,9.0,4.0,,12456.0,,,,,
March 2021,Birbhum,,,,,,,,,,,,2191.0,212.0,68.0,68.0,,12345.0,,,,,
March 2021,Cooch Behar,,,,,,,,,,,,0.0,124.0,14.0,0.0,,12345.0,,,,,
March 2021,Darjeeling,,,,,,,,,,,,0.0,76.0,0.0,0.0,,,,,,,
