period,district,a03m_1t_8_rs_in_lac,achievement_as_on_30_06_2018_no,achievement_as_on_june_2016_no,achievement_as_on_june_2017_no,achievement_as_on_march_2016_no,achievement_as_on_march_2017_no,achievement_as_on_no_31,achievement_as_on_sept_2016_no,achievement_as_on_september_2017_no,achievement_no,achievement_no_wise,amount,amount_crore,amount_wise,amt,amt_crore,amt_in_lac,amt_in_lakh,amt_rs_in_lac,applications_disbursed_no,applications_pending_till_date_no,applications_sanctioned_no,applications_submitted_no,average_rs_lac,block_affected,disbursed_no,disbursed_nos,forwarded_to_bank_no,khadi_village_industries_no,loan_amount_rs_crore,loanee,medium_enterprise_mfg_ser_upto_rs_10_cr_no,micro_enterprise_mfg_ser_upto_rs_0_25_cr_no,mm_claimed_no,mm_disbursed_no,mouza_affected,no_of_applicantion_uploaded_62298,no_of_farmers_members_of_fpo,no_of_fpc,no_of_fpos,non_loanee,nos,number_of_claims_settled_for_claim_amounts_less_than_rs_1_00_000,number_of_claims_settled_for_claim_amounts_of_rs_1_00_000_or_more,of_achievement_mm_disbursed_no,of_achievement_no,others_sector_activities_not_classified_elsewhere_no,pending_no,pending_shg_no,project_cost_rs_crore,rejected_no,returned_no,s_no_1,sanctioned_no,sanctioned_nos,settled_amount_for_claim_amounts_less_than_rs_1_00_000,settled_amount_for_claim_amounts_of_rs_1_00_000_or_more,small_enterprise_mfg_ser_upto_rs_5_cr_no,sn,sponsored_in_fy_2023_24_no,sum_of_cummul_ative_not_a_member_of_pacs,sum_of_cummul_ative_wrong_incomple_te_informati_on_furnishe_d,sum_of_cummula_tive_already_availed_loan_for_same_purpose_from_other_banks,sum_of_cummula_tive_already_having_kcc_with_some_other_bank,sum_of_cummula_tive_any_other_reason,sum_of_cummula_tive_applicant_in_default_npa,sum_of_cummula_tive_applicati_on_for_purpose_of_cattle,sum_of_cummula_tive_milch_animal_in_possesio_n_no_space_available_for_cattle_shed,sum_of_cummula_tive_no_of_applicati_ons_accepted,sum_of_cummula_tive_no_of_applicati_ons_received,sum_of_cummula_tive_no_of_applicati_ons_sanction_ed,sum_of_cummula_tive_tpa_not_furnished_collection_account_is_in_other_bank,sum_of_cummulat_ive_members_of_the_family_applying_for_kcc_against_same_milch_animal,sum_of_cummulativ_e_appplicant_i_not_tracable_ii_unwilling_to_avail_iii_unaware_about_the_submission_of_application,sum_of_cummulativ_e_second_application_submitted_for_same_other_reasons,sum_of_pendency_more_than_15_days,target_2021_22_no,target_for_2015_16_no,target_for_2016_17_no,target_for_2017_18_no,target_for_2018_19_no,target_for_2023_24_no,target_no,target_no_fy_2024_25,target_nos,total,total_appl_submit_no,total_msme_no,total_no
December 2016,Alipurduar,,,,,,,,,,,,,,,,,,,2472.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5716.0
December 2016,Bankura,,,,,,,,,,,,,,,,,,,22937.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62093.0
December 2016,Birbhum,,,,,,,,,,,,,,,,,,,60819.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187232.0
December 2016,Cooch Behar,,,,,,,,,,,,,,,,,,,11131.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30181.0
December 2016,Darjeeling,,,,,,,,,,,,,,,,,,,1281.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3462.0
December 2016,Hooghly,,,,,,,,,,,,,,,,,,,40468.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109373.0
December 2016,Howrah,,,,,,,,,,,,,,,,,,,7683.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31740.0
December 2016,Jalpaiguri,,,,,,,,,,,,,,,,,,,9054.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24471.0
December 2016,Malda,,,,,,,,,,,,,,,,,,,7868.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21472.0
December 2016,Murshidabad,,,,,,,,,,,,,,,,,,,12343.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33932.0
December 2016,Nadia,,,,,,,,,,,,,,,,,,,77752.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105071.0
December 2016,North 24 Parganas,,,,,,,,,,,,,,,,,,,10948.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33563.0
