period,district,aap_target_for_fy_2022_23_no_of_programs,aap_target_for_fy_2023_24_no_of_programs,aap_target_for_fy_2024_25_no_of_programs,aap_target_for_fy_2025_26,achievement,achievement_no_of_programs,credit_linkage,cumulative_credit_linkage,cumulative_settlement,in_process,no_of_candidate_trained,no_of_candidates_trained,no_of_programs,no_of_rsetis,no_of_training_cond,no_of_training_conducted,not_settled,of_settelment,of_settlement,own,rseti_no,rseti_wise_achievement_under_aap_2025_26_01_04_2025_to_30_09_2025_sr_no,self_employd,self_employed_bank,settled,settlement,total,total_settled,total_settlement,total_to_be_trained,total_trained,under_process,wage_employd,wage_employed
December 2016,Bankura,,,,,,,,,,1941.0,,4538.0,,,,197.0,,,55.0,1008.0,,,,1478.0,,,,2486.0,,,,,,517.0
December 2016,Birbhum,,,,,,,,,,1993.0,,4850.0,,,,161.0,,,59.0,620.0,,,,2237.0,,,,2857.0,,,,,,5.0
December 2016,Cooch Behar,,,,,,,,,,481.0,,1808.0,,,,70.0,,,73.0,665.0,,,,662.0,,,,1327.0,,,,,,
December 2016,Darjeeling,,,,,,,,,,411.0,,1117.0,,,,44.0,,,63.0,196.0,,,,510.0,,,,706.0,,,,,,
December 2016,Hooghly,,,,,,,,,,662.0,,4246.0,,,,161.0,,,72.0,488.0,,,,2549.0,,,,3037.0,,,,,,
December 2016,Howrah,,,,,,,,,,2218.0,,10956.0,,,,444.0,,,78.0,6919.0,,,,1579.0,,,,8492.0,,,,,,527.0
December 2016,Jalpaiguri,,,,,,,,,,719.0,,3619.0,,,,187.0,,,80.0,206.0,,,,2694.0,,,,2900.0,,,,,,40.0
December 2016,Malda,,,,,,,,,,1610.0,,4183.0,,,,136.0,,,62.0,976.0,,,,1597.0,,,,2573.0,,,,,,263.0
December 2016,Murshidabad,,,,,,,,,,1881.0,,5858.0,,,,197.0,,,68.0,1893.0,,,,2084.0,,,,3977.0,,,,,,
December 2016,Nadia,,,,,,,,,,1078.0,,3087.0,,,,122.0,,,65.0,1315.0,,,,694.0,,,,2009.0,,,,,,
December 2016,North 24 Parganas,,,,,,,,,,588.0,,4364.0,,,,161.0,,,87.0,1708.0,,,,2067.0,,,,3775.0,,,,,,
December 2016,Purba Bardhaman,,,,,,,,,,1225.0,,3940.0,,,,152.0,,,69.0,1326.0,,,,1389.0,,,,2715.0,,,,,,
December 2016,Purba Medinipur,,,,,,,,,,920.0,,3773.0,,,,130.0,,,76.0,1558.0,,,,1291.0,,,,2849.0,,,,,,26.0
December 2016,Purulia,,,,,,,,,,1412.0,,2729.0,,,,106.0,,,46.0,355.0,,,,896.0,,,,1251.0,,,,,,
December 2016,South 24 Parganas,,,,,,,,,,1818.0,,5386.0,,,,204.0,,,66.0,475.0,,,,3073.0,,,,3548.0,,,,,,33.0
December 2016,Uttar Dinajpur,,,,,,,,,,1113.0,,3210.0,,,,131.0,,,65.0,626.0,,,,1470.0,,,,2096.0,,,,,,7.0
December 2017,Bankura,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,
December 2017,Birbhum,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
December 2017,Darjeeling,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
December 2017,Hooghly,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
December 2017,Malda,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
December 2017,Murshidabad,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
December 2017,North 24 Parganas,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
December 2017,Purba Medinipur,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
December 2018,Bankura,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,
December 2018,Birbhum,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
December 2018,Darjeeling,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
December 2018,Hooghly,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
December 2018,Malda,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
December 2018,Murshidabad,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
December 2018,North 24 Parganas,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
December 2018,Purba Medinipur,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
December 2019,Bankura,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,
December 2019,Birbhum,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
December 2019,Darjeeling,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
December 2019,Hooghly,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
December 2019,Malda,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
December 2019,Murshidabad,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
December 2019,North 24 Parganas,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
December 2019,Purba Medinipur,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
December 2020,Bankura,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,
December 2020,Birbhum,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
December 2020,Darjeeling,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
December 2020,Hooghly,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
December 2020,Malda,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
December 2020,Murshidabad,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
December 2020,North 24 Parganas,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
December 2021,Birbhum,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
December 2021,Darjeeling,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
December 2021,Hooghly,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
December 2021,Malda,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
December 2021,Murshidabad,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
December 2021,North 24 Parganas,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
December 2022,Bankura,,,,,,,53.59,,,,,,358.0,,,,,,,2405.0,,,,2777.0,,67.16,5182.0,,5790.0,,8621.0,,,608.0
December 2022,Birbhum,,,,,,,70.16,,,,,,261.0,,,,,,,1568.0,,,,3687.0,,67.84,5255.0,,5263.0,,7758.0,,,8.0
December 2022,Cooch Behar,,,,,,,53.61,,,,,,165.0,,,,,,,1284.0,,,,1484.0,,70.47,2768.0,,2802.0,,3976.0,,,34.0
December 2022,Dakshin Dinajpur,,,,,,,64.15,,,,,,242.0,,,,,,,1703.0,,,,3047.0,,73.35,4750.0,,4956.0,,6757.0,,,206.0
December 2022,Darjeeling,,,,,,,65.91,,,,,,132.0,,,,,,,838.0,,,,1620.0,,71.61,2458.0,,2502.0,,3494.0,,,44.0
December 2022,Hooghly,,,,,,,87.07,,,,,,312.0,,,,,,,701.0,,,,4720.0,,68.81,5421.0,,5421.0,,7878.0,,,0.0
December 2022,Howrah,,,,,,,27.22,,,,,,689.0,,,,,,,10274.0,,,,3843.0,,84.07,14117.0,,14780.0,,17580.0,,,663.0
December 2022,Jalpaiguri,,,,,,,76.49,,,,,,296.0,,,,,,,1108.0,,,,3605.0,,79.64,4713.0,,4977.0,,6249.0,,,264.0
December 2022,Malda,,,,,,,56.1,,,,,,265.0,,,,,,,2308.0,,,,2950.0,,76.64,5258.0,,5852.0,,7636.0,,,594.0
December 2022,Nadia,,,,,,,48.18,,,,,,253.0,,,,,,,2224.0,,,,2068.0,,68.78,4292.0,,4366.0,,6348.0,,,74.0
December 2022,North 24 Parganas,,,,,,,64.46,,,,,,316.0,,,,,,,2358.0,,,,4277.0,,82.14,6635.0,,6759.0,,8229.0,,,124.0
December 2022,Purba Bardhaman,,,,,,,63.45,,,,,,294.0,,,,,,,1900.0,,,,3298.0,,68.3,5198.0,,5198.0,,7610.0,,,0.0
December 2022,Purba Medinipur,,,,,,,60.11,,,,,,280.0,,,,,,,2391.0,,,,3603.0,,74.58,5994.0,,6044.0,,8104.0,,,50.0
December 2022,Purulia,,,,,,,62.37,,,,,,218.0,,,,,,,1080.0,,,,1790.0,,51.0,2870.0,,2870.0,,5628.0,,,0.0
December 2022,South 24 Parganas,,,,,,,74.76,,,,,,355.0,,,,,,,1472.0,,,,4359.0,,64.32,5831.0,,5959.0,,9265.0,,,128.0
December 2022,Uttar Dinajpur,,,,,,,53.64,,,,,,254.0,,,,,,,2084.0,,,,2411.0,,71.38,4495.0,,4575.0,,6409.0,,,80.0
December 2024,Bankura,,,33.0,,,75.76,,,,,,,,,,,,,,,,,,,,,,,,1000.0,77.0,,,
December 2024,Birbhum,,,33.0,,,69.7,,,,,,,,,,,,,,,,,,,,,,,,1000.0,74.9,,,
December 2024,Cooch Behar,,,33.0,,,69.7,,,,,,,,,,,,,,,,,,,,,,,,1000.0,73.0,,,
December 2024,Darjeeling,,,33.0,,,66.67,,,,,,,,,,,,,,,,,,,,,,,,1000.0,69.6,,,
December 2024,Hooghly,,,33.0,,,87.88,,,,,,,,,,,,,,,,,,,,,,,,1000.0,82.2,,,
December 2024,Howrah,,,33.0,,,75.76,,,,,,,,,,,,,,,,,,,,,,,,1000.0,75.4,,,
December 2024,Jalpaiguri,,,33.0,,,45.45,,,,,,,,,,,,,,,,,,,,,,,,1000.0,46.5,,,
December 2024,Malda,,,33.0,,,81.82,,,,,,,,,,,,,,,,,,,,,,,,1000.0,85.2,,,
December 2024,Nadia,,,33.0,,,90.91,,,,,,,,,,,,,,,,,,,,,,,,1000.0,79.9,,,
December 2024,North 24 Parganas,,,33.0,,,84.85,,,,,,,,,,,,,,,,,,,,,,,,1000.0,91.7,,,
December 2024,Purba Bardhaman,,,33.0,,,78.79,,,,,,,,,,,,,,,,,,,,,,,,1000.0,81.5,,,
December 2024,Purba Medinipur,,,33.0,,,90.91,,,,,,,,,,,,,,,,,,,,,,,,1000.0,93.0,,,
December 2024,Purulia,,,33.0,,,87.88,,,,,,,,,,,,,,,,,,,,,,,,1000.0,82.5,,,
December 2024,South 24 Parganas,,,33.0,,,103.03,,,,,,,,,,,,,,,,,,,,,,,,1000.0,82.7,,,
December 2024,Uttar Dinajpur,,,33.0,,,90.91,,,,,,,,,,,,,,,,,,,,,,,,1000.0,84.5,,,
June 2016,Bankura,,,,,,,,,,1538.0,,4006.0,,,,177.0,,,59.0,975.0,,,,1382.0,2357.0,,,,,,,,,517.0
June 2016,Birbhum,,,,,,,,,,3405.0,,8265.0,,,,193.0,,,59.0,1318.0,,,,3542.0,4860.0,,,,,,,,,6.0
June 2016,Cooch Behar,,,,,,,,,,269.0,,1489.0,,,,57.0,,,82.0,611.0,,,,609.0,1220.0,,,,,,,,,
June 2016,Darjeeling,,,,,,,,,,205.0,,858.0,,,,34.0,,,76.0,196.0,,,,457.0,653.0,,,,,,,,,
June 2016,Hooghly,,,,,,,,,,436.0,,3737.0,,,,141.0,,,73.0,419.0,,,,2307.0,2726.0,,,,,,,,,
June 2016,Howrah,,,,,,,,,,1688.0,,9869.0,,,,400.0,,,81.0,6547.0,,,,1418.0,7959.0,,,,,,,,,482.0
June 2016,Jalpaiguri,,,,,,,,,,516.0,,3206.0,,,,167.0,,,84.0,168.0,,,,2522.0,2690.0,,,,,,,,,9.0
June 2016,Malda,,,,,,,,,,1386.0,,3615.0,,,,117.0,,,62.0,748.0,,,,1481.0,2229.0,,,,,,,,,156.0
June 2016,Murshidabad,,,,,,,,,,1595.0,,5199.0,,,,175.0,,,69.0,1776.0,,,,1828.0,3604.0,,,,,,,,,
June 2016,Nadia,,,,,,,,,,875.0,,2721.0,,,,107.0,,,68.0,1196.0,,,,650.0,1846.0,,,,,,,,,
June 2016,North 24 Parganas,,,,,,,,,,79.0,,3594.0,,,,133.0,,,98.0,1482.0,,,,2032.0,3514.0,,,,,,,,,
June 2016,Paschim Medinipur,,,,,,,,,,1153.0,,3871.0,,,,108.0,,,70.0,645.0,,,,2066.0,2711.0,,,,,,,,,121.0
June 2016,Purba Bardhaman,,,,,,,,,,917.0,,3464.0,,,,135.0,,,74.0,1251.0,,,,1296.0,2547.0,,,,,,,,,
June 2016,Purba Medinipur,,,,,,,,,,816.0,,3408.0,,,,116.0,,,76.0,1315.0,,,,1276.0,2591.0,,,,,,,,,26.0
June 2016,Purulia,,,,,,,,,,1019.0,,2291.0,,,,92.0,,,53.0,332.0,,,,874.0,1206.0,,,,,,,,,
June 2016,South 24 Parganas,,,,,,,,,,1450.0,,4960.0,,,,187.0,,,70.0,473.0,,,,3017.0,3490.0,,,,,,,,,33.0
June 2016,Uttar Dinajpur,,,,,,,,,,930.0,,2889.0,,,,117.0,,,68.0,508.0,,,,1450.0,1958.0,,,,,,,,,7.0
June 2017,Bankura,,,,,,,,,,,,4827.0,,,208.0,,,,69.4,1182.0,,,,1651.0,,,,3350.0,,,,,,517.0
June 2017,Birbhum,,,,,,,,,,,,5033.0,,,169.0,,,,62.33,698.0,,,,2434.0,,,,3137.0,,,,,,5.0
June 2017,Cooch Behar,,,,,,,,,,,,1987.0,,,80.0,,,,73.23,748.0,,,,707.0,,,,1455.0,,,,,,0.0
June 2017,Darjeeling,,,,,,,,,,,,1316.0,,,54.0,,,,67.55,239.0,,,,646.0,,,,889.0,,,,,,4.0
June 2017,Hooghly,,,,,,,,,,,,4512.0,,,172.0,,,,73.87,523.0,,,,2810.0,,,,3333.0,,,,,,0.0
June 2017,Howrah,,,,,,,,,,,,11961.0,,,482.0,,,,83.71,7365.0,,,,2095.0,,,,10013.0,,,,,,553.0
June 2017,Jalpaiguri,,,,,,,,,,,,3777.0,,,194.0,,,,83.93,223.0,,,,2906.0,,,,3170.0,,,,,,41.0
June 2017,Malda,,,,,,,,,,,,4352.0,,,143.0,,,,73.51,1113.0,,,,1738.0,,,,3199.0,,,,,,348.0
June 2017,Nadia,,,,,,,,,,,,3305.0,,,131.0,,,,73.52,1605.0,,,,757.0,,,,2430.0,,,,,,68.0
June 2017,North 24 Parganas,,,,,,,,,,,,4613.0,,,174.0,,,,88.45,1819.0,,,,2259.0,,,,4080.0,,,,,,2.0
June 2017,Purba Bardhaman,,,,,,,,,,,,4138.0,,,164.0,,,,69.65,1352.0,,,,1530.0,,,,2882.0,,,,,,0.0
June 2017,Purba Medinipur,,,,,,,,,,,,4223.0,,,146.0,,,,73.36,1716.0,,,,1356.0,,,,3098.0,,,,,,26.0
June 2017,Purulia,,,,,,,,,,,,2905.0,,,113.0,,,,49.98,518.0,,,,934.0,,,,1452.0,,,,,,0.0
June 2017,South 24 Parganas,,,,,,,,,,,,5657.0,,,214.0,,,,67.3,490.0,,,,3284.0,,,,3807.0,,,,,,33.0
June 2017,Uttar Dinajpur,,,,,,,,,,,,3595.0,,,145.0,,,,64.51,743.0,,,,1567.0,,,,2319.0,,,,,,9.0
June 2018,Bankura,,,,,,,,,,,,141.0,,,,5.0,,,40.0,54.0,,,,2.0,,,,56.0,,,,,,
June 2018,Birbhum,,,,,,,,,,,,120.0,,,,5.0,,,5.0,6.0,,,,0.0,,,,6.0,,,,,,
June 2018,Cooch Behar,,,,,,,,,,,,87.0,,,,3.0,,,15.0,13.0,,,,0.0,,,,13.0,,,,,,
June 2018,Dakshin Dinajpur,,,,,,,,,,,,277.0,,,,9.0,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,
June 2018,Darjeeling,,,,,,,,,,,,54.0,,,,3.0,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,
June 2018,Hooghly,,,,,,,,,,,,97.0,,,,4.0,,,47.0,0.0,,,,46.0,,,,46.0,,,,,,
June 2018,Howrah,,,,,,,,,,,,149.0,,,,5.0,,,32.0,32.0,,,,16.0,,,,48.0,,,,,,
June 2018,Jalpaiguri,,,,,,,,,,,,111.0,,,,4.0,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,
June 2018,Malda,,,,,,,,,,,,218.0,,,,7.0,,,6.0,6.0,,,,7.0,,,,13.0,,,,,,
June 2018,Murshidabad,,,,,,,,,,,,125.0,,,,4.0,,,23.0,29.0,,,,0.0,,,,29.0,,,,,,
June 2018,Nadia,,,,,,,,,,,,189.0,,,,7.0,,,46.0,1.0,,,,85.0,,,,86.0,,,,,,
June 2018,Paschim Medinipur,,,,,,,,,,,,84.0,,,,3.0,,,60.0,1.0,,,,49.0,,,,50.0,,,,,,
June 2018,Purba Bardhaman,,,,,,,,,,,,172.0,,,,6.0,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,
June 2018,Purba Medinipur,,,,,,,,,,,,122.0,,,,4.0,,,27.0,16.0,,,,17.0,,,,33.0,,,,,,
June 2018,Purulia,,,,,,,,,,,,133.0,,,,6.0,,,1.0,1.0,,,,0.0,,,,1.0,,,,,,
June 2018,Uttar Dinajpur,,,,,,,,,,,,149.0,,,,6.0,,,2.0,3.0,,,,0.0,,,,3.0,,,,,,
June 2019,Bankura,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,
June 2019,Birbhum,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
June 2019,Darjeeling,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
June 2019,Hooghly,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
June 2019,Malda,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
June 2019,Murshidabad,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
June 2019,North 24 Parganas,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
June 2019,Purba Medinipur,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
June 2021,Birbhum,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
June 2021,Darjeeling,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
June 2021,Hooghly,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
June 2021,Malda,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
June 2021,Murshidabad,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
June 2021,North 24 Parganas,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
June 2022,Birbhum,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
June 2022,Darjeeling,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
June 2022,Hooghly,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
June 2022,Malda,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
June 2022,Murshidabad,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
June 2022,North 24 Parganas,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
June 2023,Bankura,30.0,,,,,23.33,,,,,,,,,,,,,,,,,,,,,,,,,27.05,,,
June 2023,Birbhum,20.0,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,8.51,,,
June 2023,Cooch Behar,16.0,,,,,31.25,,,,,,,,,,,,,,,,,,,,,,,,,35.25,,,
June 2023,Darjeeling,13.0,,,,,38.46,,,,,,,,,,,,,,,,,,,,,,,,,38.38,,,
June 2023,Hooghly,26.0,,,,,30.77,,,,,,,,,,,,,,,,,,,,,,,,,26.01,,,
June 2023,Howrah,29.0,,,,,13.79,,,,,,,,,,,,,,,,,,,,,,,,,9.94,,,
June 2023,Jalpaiguri,19.0,,,,,21.05,,,,,,,,,,,,,,,,,,,,,,,,,24.32,,,
June 2023,Malda,24.0,,,,,20.83,,,,,,,,,,,,,,,,,,,,,,,,,20.67,,,
June 2023,Nadia,24.0,,,,,33.33,,,,,,,,,,,,,,,,,,,,,,,,,27.52,,,
June 2023,North 24 Parganas,26.0,,,,,30.77,,,,,,,,,,,,,,,,,,,,,,,,,32.88,,,
June 2023,Purba Bardhaman,24.0,,,,,29.17,,,,,,,,,,,,,,,,,,,,,,,,,22.39,,,
June 2023,Purba Medinipur,25.0,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,23.95,,,
June 2023,Purulia,23.0,,,,,30.43,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,
June 2023,South 24 Parganas,29.0,,,,,34.48,,,,,,,,,,,,,,,,,,,,,,,,,35.77,,,
June 2023,Uttar Dinajpur,32.0,,,,,18.75,,,,,,,,,,,,,,,,,,,,,,,,,20.29,,,
June 2024,Bankura,,,33.0,,,15.15,,,,,,,,,,,,,,,,,,,,,,,,1000.0,15.3,,,
June 2024,Birbhum,,,33.0,,,24.24,,,,,,,,,,,,,,,,,,,,,,,,1000.0,26.3,,,
June 2024,Cooch Behar,,,33.0,,,15.15,,,,,,,,,,,,,,,,,,,,,,,,1000.0,14.7,,,
June 2024,Darjeeling,,,33.0,,,18.18,,,,,,,,,,,,,,,,,,,,,,,,1000.0,19.8,,,
June 2024,Hooghly,,,33.0,,,21.21,,,,,,,,,,,,,,,,,,,,,,,,1000.0,21.4,,,
June 2024,Howrah,,,33.0,,,9.09,,,,,,,,,,,,,,,,,,,,,,,,1000.0,9.2,,,
June 2024,Jalpaiguri,,,33.0,,,12.12,,,,,,,,,,,,,,,,,,,,,,,,1000.0,11.8,,,
June 2024,Malda,,,33.0,,,24.24,,,,,,,,,,,,,,,,,,,,,,,,1000.0,25.9,,,
June 2024,Nadia,,,33.0,,,33.33,,,,,,,,,,,,,,,,,,,,,,,,1000.0,28.1,,,
June 2024,North 24 Parganas,,,33.0,,,24.24,,,,,,,,,,,,,,,,,,,,,,,,1000.0,25.8,,,
June 2024,Purba Bardhaman,,,33.0,,,21.21,,,,,,,,,,,,,,,,,,,,,,,,1000.0,22.6,,,
June 2024,Purba Medinipur,,,33.0,,,21.21,,,,,,,,,,,,,,,,,,,,,,,,1000.0,23.0,,,
June 2024,Purulia,,,33.0,,,27.27,,,,,,,,,,,,,,,,,,,,,,,,1000.0,29.0,,,
June 2024,South 24 Parganas,,,33.0,,,27.27,,,,,,,,,,,,,,,,,,,,,,,,1000.0,21.4,,,
June 2024,Uttar Dinajpur,,,33.0,,,15.15,,,,,,,,,,,,,,,,,,,,,,,,1000.0,14.1,,,
March 2017,Bankura,,,,,,,,,,,4738.0,,,,204.0,,98.0,,59.0,,,,2273.0,,,,,2790.0,,,,1850.0,517.0,
March 2017,Birbhum,,,,,,,,,,,4929.0,,,,165.0,,0.0,,61.0,,,,3020.0,,,,,3025.0,,,,1904.0,5.0,
March 2017,Cooch Behar,,,,,,,,,,,1875.0,,,,73.0,,0.0,,76.0,,,,1418.0,,,,,1418.0,,,,457.0,0.0,
March 2017,Dakshin Dinajpur,,,,,,,,,,,3332.0,,,,123.0,,41.0,,69.0,,,,2091.0,,,,,2297.0,,,,994.0,206.0,
March 2017,Darjeeling,,,,,,,,,,,1321.0,,,,51.0,,0.0,,64.0,,,,845.0,,,,,845.0,,,,476.0,0.0,
March 2017,Hooghly,,,,,,,,,,,4414.0,,,,167.0,,547.0,,74.0,,,,3245.0,,,,,3245.0,,,,622.0,0.0,
March 2017,Howrah,,,,,,,,,,,15588.0,,,,598.0,,266.0,,75.0,,,,11096.0,,,,,11642.0,,,,3680.0,546.0,
March 2017,Jalpaiguri,,,,,,,,,,,3726.0,,,,192.0,,0.0,,83.0,,,,3066.0,,,,,3106.0,,,,620.0,40.0,
March 2017,Malda,,,,,,,,,,,4346.0,,,,141.0,,1.0,,64.0,,,,2428.0,,,,,2775.0,,,,1570.0,347.0,
March 2017,Murshidabad,,,,,,,,,,,6212.0,,,,210.0,,0.0,,68.0,,,,4253.0,,,,,4253.0,,,,1959.0,0.0,
March 2017,Nadia,,,,,,,,,,,3188.0,,,,126.0,,0.0,,69.0,,,,2207.0,,,,,2207.0,,,,981.0,0.0,
March 2017,Paschim Medinipur,,,,,,,,,,,4427.0,,,,131.0,,7.0,,74.0,,,,3045.0,,,,,3296.0,,,,1124.0,251.0,
March 2017,Purba Bardhaman,,,,,,,,,,,4053.0,,,,159.0,,0.0,,70.0,,,,2823.0,,,,,2823.0,,,,1230.0,0.0,
March 2017,Purba Medinipur,,,,,,,,,,,4087.0,,,,141.0,,12.0,,74.0,,,,2997.0,,,,,3027.0,,,,1048.0,30.0,
March 2017,Purulia,,,,,,,,,,,2843.0,,,,110.0,,66.0,,51.0,,,,1437.0,,,,,1437.0,,,,1340.0,0.0,
March 2017,Uttar Dinajpur,,,,,,,,,,,3450.0,,,,138.0,,1.0,,65.0,,,,2231.0,,,,,2239.0,,,,1210.0,8.0,
March 2018,Bankura,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,
March 2018,Birbhum,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
March 2018,Darjeeling,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
March 2018,Hooghly,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
March 2018,Malda,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
March 2018,Murshidabad,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
March 2018,North 24 Parganas,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
March 2018,Purba Medinipur,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
March 2019,Bankura,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,
March 2019,Birbhum,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
March 2019,Darjeeling,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
March 2019,Hooghly,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
March 2019,Malda,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
March 2019,Murshidabad,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
March 2019,North 24 Parganas,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
March 2019,Purba Medinipur,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
March 2020,Bankura,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,
March 2020,Birbhum,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
March 2020,Darjeeling,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
