period,district,31_03_2021,31_03_2022,31_03_2023,31_03_2024,31_03_2025,amount,average_disbursement_amount_in_lakh,average_ticket_size_31_03_2021,average_ticket_size_31_03_2023,average_ticket_size_of_outstanding_31_03_2020,disbursement_no,of_achievement_no,outstanding_as_on_31_03_2020,outstanding_as_on_31_03_2021,outstanding_as_on_31_03_2023,outstanding_no,sanction_no,target_2024_25_no
December 2022,Alipurduar,1.51,1.76,,,,,,,,1.5,,,16948.0,,,,,
December 2022,Bankura,1.56,1.86,,,,,,,,1.68,,,35269.0,,,,,
December 2022,Birbhum,1.58,1.66,,,,,,,,1.57,,,46153.0,,,,,
December 2022,Cooch Behar,1.7,2.0,,,,,,,,1.49,,,42898.0,,,,,
December 2022,Dakshin Dinajpur,1.28,1.39,,,,,,,,1.33,,,18152.0,,,,,
December 2022,Darjeeling,1.84,4.14,,,,,,,,1.76,,,12615.0,,,,,
December 2022,Hooghly,1.46,1.58,,,,,,,,1.47,,,32501.0,,,,,
December 2022,Howrah,1.73,1.87,,,,,,,,1.53,,,27691.0,,,,,
December 2022,Jalpaiguri,1.56,1.85,,,,,,,,1.12,,,29092.0,,,,,
December 2022,Jhargram,1.3,1.57,,,,,,,,2.02,,,7316.0,,,,,
December 2022,Kalimpong,1.7,2.05,,,,,,,,1.31,,,2005.0,,,,,
December 2022,Kolkata,0.0,0.51,,,,,,,,0.0,,,0.0,,,,,
December 2022,Malda,1.41,1.52,,,,,,,,1.33,,,42840.0,,,,,
December 2022,Murshidabad,1.06,1.24,,,,,,,,1.3,,,57351.0,,,,,
December 2022,Nadia,1.19,1.41,,,,,,,,1.23,,,31889.0,,,,,
December 2022,North 24 Parganas,1.19,1.41,,,,,,,,1.18,,,52493.0,,,,,
December 2022,Paschim Medinipur,1.44,1.7,,,,,,,,1.27,,,41218.0,,,,,
December 2022,Purba Medinipur,1.74,2.18,,,,,,,,1.65,,,51184.0,,,,,
December 2022,Purulia,1.4,1.7,,,,,,,,1.29,,,14175.0,,,,,
December 2022,South 24 Parganas,1.27,1.89,,,,,,,,1.17,,,44907.0,,,,,
December 2022,Uttar Dinajpur,1.4,1.76,,,,,,,,1.41,,,22967.0,,,,,
December 2023,Alipurduar,,1.76,2.23,,,,,1.51,,,,,,18406.0,,,,
December 2023,Bankura,,1.86,1.7,,,,,1.56,,,,,,39896.0,,,,
December 2023,Birbhum,,1.66,1.9,,,,,1.58,,,,,,55924.0,,,,
