period,district,aap_target_for_fy_2022_23_no_of_programs,achievement_no_of_programs,credit_linkage,no_of_programs,own,self_bank,self_employed_bank,settlement,total,total_settled_with_wage,total_settled_without_wage,total_settlement,total_trained,wage_employe,wage_employed
December 2019,Nadia,,,32.41,18.0,73.0,,35.0,23.84,,108.0,108.0,,453.0,,0.0
December 2019,North 24 Parganas,,,30.3,24.0,283.0,,123.0,73.73,,466.0,406.0,,632.0,,60.0
December 2019,Purba Bardhaman,,,81.2,19.0,47.0,,203.0,46.55,,250.0,250.0,,537.0,,0.0
December 2019,Purba Medinipur,,,79.76,18.0,50.0,,197.0,47.78,,247.0,247.0,,517.0,,0.0
December 2019,Purulia,,,70.37,16.0,48.0,,114.0,36.49,,162.0,162.0,,444.0,,0.0
December 2019,South 24 Parganas,,,77.78,26.0,12.0,,42.0,9.47,,59.0,54.0,,623.0,,5.0
December 2019,Uttar Dinajpur,,,23.36,17.0,82.0,,25.0,25.0,,108.0,107.0,,432.0,,1.0
December 2020,Bankura,,,0.0,6.0,0.0,,0.0,0.0,0.0,,,0.0,136.0,0.0,
December 2020,Birbhum,,,0.0,3.0,0.0,,0.0,0.0,0.0,,,0.0,90.0,0.0,
December 2020,Cooch Behar,,,60.78,4.0,20.0,,31.0,63.75,51.0,,,51.0,80.0,0.0,
December 2020,Darjeeling,,,0.0,3.0,0.0,,0.0,0.0,0.0,,,0.0,44.0,0.0,
December 2020,Hooghly,,,0.0,4.0,0.0,,0.0,0.0,0.0,,,0.0,76.0,0.0,
December 2020,Howrah,,,55.56,13.0,12.0,,15.0,8.31,27.0,,,28.0,337.0,1.0,
December 2020,Jalpaiguri,,,0.0,1.0,0.0,,0.0,0.0,0.0,,,0.0,14.0,0.0,
December 2020,Malda,,,34.62,7.0,17.0,,9.0,23.85,26.0,,,26.0,109.0,0.0,
December 2020,Nadia,,,0.0,1.0,0.0,,0.0,0.0,0.0,,,0.0,15.0,0.0,
December 2020,North 24 Parganas,,,0.0,4.0,0.0,,0.0,0.0,0.0,,,0.0,65.0,0.0,
December 2020,Purba Bardhaman,,,0.0,8.0,0.0,,0.0,0.0,0.0,,,0.0,190.0,0.0,
December 2020,Purba Medinipur,,,0.0,3.0,0.0,,0.0,0.0,0.0,,,0.0,65.0,0.0,
December 2020,Purulia,,,0.0,2.0,0.0,,0.0,0.0,0.0,,,0.0,47.0,0.0,
December 2020,Uttar Dinajpur,,,78.95,3.0,4.0,,15.0,41.3,19.0,,,19.0,46.0,0.0,
December 2021,Bankura,,,86.96,12.0,6.0,,40.0,21.6,46.0,,,46.0,213.0,,0.0
December 2021,Birbhum,,,72.09,8.0,12.0,,31.0,18.22,43.0,,,43.0,236.0,,0.0
December 2021,Cooch Behar,,,70.65,6.0,27.0,,65.0,51.98,92.0,,,92.0,177.0,,0.0
December 2021,Darjeeling,,,70.24,6.0,25.0,,59.0,49.12,84.0,,,84.0,171.0,,0.0
December 2021,Hooghly,,,100.0,9.0,0.0,,12.0,5.31,12.0,,,12.0,226.0,,0.0
December 2021,Howrah,,,,9.0,0.0,,0.0,0.0,0.0,,,0.0,240.0,,0.0
December 2021,Jalpaiguri,,,,5.0,0.0,,0.0,0.0,0.0,,,0.0,91.0,,0.0
December 2021,Malda,,,50.0,10.0,3.0,,3.0,2.53,6.0,,,6.0,237.0,,0.0
December 2021,Nadia,,,0.0,11.0,4.0,,0.0,2.03,4.0,,,4.0,197.0,,0.0
December 2021,North 24 Parganas,,,100.0,13.0,0.0,,86.0,20.77,86.0,,,86.0,414.0,,0.0
December 2021,Purba Bardhaman,,,,11.0,0.0,,0.0,0.0,0.0,,,0.0,275.0,,0.0
December 2021,Purba Medinipur,,,72.41,10.0,48.0,,126.0,51.63,174.0,,,174.0,337.0,,0.0
December 2021,Purulia,,,,7.0,0.0,,0.0,0.0,0.0,,,0.0,141.0,,0.0
December 2021,South 24 Parganas,,,24.32,12.0,28.0,,9.0,10.66,37.0,,,37.0,347.0,,0.0
December 2021,Uttar Dinajpur,,,36.36,9.0,56.0,,32.0,35.43,88.0,,,90.0,254.0,,2.0
June 2019,Bankura,,,64.86,5.0,13.0,24.0,,39.37,,50.0,37.0,,127.0,,13.0
June 2019,Birbhum,,,84.44,6.0,14.0,76.0,,46.67,,91.0,90.0,,195.0,,1.0
June 2019,Cooch Behar,,,,4.0,0.0,0.0,,0.0,,0.0,0.0,,75.0,,0.0
June 2019,Darjeeling,,,,5.0,0.0,0.0,,0.0,,0.0,0.0,,143.0,,0.0
June 2019,Hooghly,,,,5.0,0.0,0.0,,0.0,,0.0,0.0,,133.0,,0.0
June 2019,Howrah,,,17.39,6.0,19.0,4.0,,13.53,,23.0,23.0,,170.0,,0.0
June 2019,Jalpaiguri,,,,4.0,0.0,0.0,,0.0,,0.0,0.0,,135.0,,0.0
June 2019,Malda,,,0.0,4.0,2.0,0.0,,1.52,,2.0,2.0,,132.0,,0.0
June 2019,Nadia,,,,3.0,0.0,0.0,,0.0,,0.0,0.0,,75.0,,0.0
June 2019,North 24 Parganas,,,46.77,7.0,33.0,29.0,,53.37,,95.0,62.0,,178.0,,33.0
June 2019,Purba Bardhaman,,,100.0,6.0,0.0,28.0,,19.18,,28.0,28.0,,146.0,,0.0
June 2019,Purba Medinipur,,,41.18,6.0,10.0,7.0,,10.3,,17.0,17.0,,165.0,,0.0
June 2019,Purulia,,,,5.0,0.0,0.0,,0.0,,0.0,0.0,,141.0,,0.0
June 2019,South 24 Parganas,,,,4.0,0.0,0.0,,0.0,,0.0,0.0,,97.0,,0.0
June 2019,Uttar Dinajpur,,,0.0,4.0,23.0,0.0,,30.67,,23.0,23.0,,75.0,,0.0
June 2021,Birbhum,,,,1.0,0.0,,0.0,0.0,0.0,,,0.0,19.0,,0.0
June 2021,Cooch Behar,,,100.0,1.0,0.0,,4.0,13.33,4.0,,,4.0,30.0,,0.0
June 2021,Darjeeling,,,,2.0,0.0,,0.0,0.0,0.0,,,0.0,55.0,,0.0
June 2021,Howrah,,,,1.0,0.0,,0.0,0.0,0.0,,,0.0,25.0,,0.0
June 2021,Malda,,,,1.0,0.0,,0.0,0.0,0.0,,,0.0,27.0,,0.0
June 2021,Nadia,,,,1.0,0.0,,0.0,0.0,0.0,,,0.0,18.0,,0.0
June 2021,North 24 Parganas,,,,2.0,0.0,,0.0,0.0,0.0,,,0.0,49.0,,0.0
June 2021,Purba Bardhaman,,,,1.0,0.0,,0.0,0.0,0.0,,,0.0,11.0,,0.0
June 2021,Uttar Dinajpur,,,33.33,1.0,13.0,,8.0,87.5,24.0,,,21.0,24.0,,0.0
June 2022,Bankura,26.0,7.69,,,,,,,,,,,7.18,,
June 2022,Birbhum,18.0,16.67,,,,,,,,,,,15.87,,
June 2022,Cooch Behar,16.0,31.25,,,,,,,,,,,28.5,,
June 2022,Darjeeling,14.0,14.29,,,,,,,,,,,19.71,,
June 2022,Hooghly,24.0,29.17,,,,,,,,,,,22.08,,
June 2022,Howrah,29.0,10.34,,,,,,,,,,,10.37,,
June 2022,Jalpaiguri,18.0,5.56,,,,,,,,,,,7.75,,
June 2022,Malda,24.0,25.0,,,,,,,,,,,24.4,,
June 2022,Nadia,25.0,24.0,,,,,,,,,,,29.0,,
June 2022,North 24 Parganas,28.0,42.86,,,,,,,,,,,65.5,,
June 2022,Purba Bardhaman,26.0,26.92,,,,,,,,,,,25.41,,
June 2022,Purba Medinipur,25.0,32.0,,,,,,,,,,,26.18,,
June 2022,Purulia,21.0,9.52,,,,,,,,,,,11.31,,
June 2022,South 24 Parganas,25.0,24.0,,,,,,,,,,,21.76,,
June 2022,Uttar Dinajpur,27.0,14.81,,,,,,,,,,,19.35,,
March 2019,Bankura,,,41.54,30.0,190.0,,135.0,100.0,,764.0,325.0,,764.0,,0.0
March 2019,Birbhum,,,71.13,19.0,110.0,,271.0,100.0,,568.0,381.0,,568.0,,0.0
March 2019,Cooch Behar,,,0.0,17.0,35.0,,0.0,103.21,,418.0,35.0,,405.0,,13.0
March 2019,Darjeeling,,,60.16,15.0,51.0,,77.0,100.49,,410.0,128.0,,408.0,,2.0
March 2019,Hooghly,,,98.03,31.0,9.0,,449.0,100.0,,725.0,458.0,,725.0,,0.0
March 2019,Howrah,,,40.56,37.0,466.0,,318.0,101.79,,1025.0,784.0,,1007.0,,18.0
March 2019,Jalpaiguri,,,28.87,20.0,207.0,,84.0,124.22,,636.0,291.0,,512.0,,124.0
March 2019,Malda,,,20.5,26.0,159.0,,41.0,115.79,,880.0,200.0,,760.0,,120.0
March 2019,Nadia,,,98.62,30.0,2.0,,143.0,100.0,,812.0,145.0,,812.0,,0.0
March 2019,North 24 Parganas,,,73.76,27.0,74.0,,208.0,109.27,,731.0,282.0,,669.0,,62.0
March 2019,Purba Bardhaman,,,72.8,26.0,68.0,,182.0,100.0,,726.0,250.0,,726.0,,0.0
March 2019,Purba Medinipur,,,73.11,28.0,121.0,,329.0,100.6,,832.0,450.0,,827.0,,5.0
March 2019,Purulia,,,38.8,23.0,112.0,,71.0,100.0,,605.0,183.0,,605.0,,0.0
March 2019,South 24 Parganas,,,80.0,30.0,38.0,,152.0,100.24,,820.0,190.0,,818.0,,2.0
March 2019,Uttar Dinajpur,,,19.51,24.0,99.0,,24.0,100.17,,578.0,123.0,,577.0,,1.0
March 2020,Bankura,,,52.35,28.0,223.0,,245.0,63.71,,488.0,468.0,,766.0,,20.0
March 2020,Birbhum,,,84.08,18.0,53.0,,280.0,59.5,,335.0,333.0,,563.0,,2.0
March 2020,Cooch Behar,,,71.34,18.0,47.0,,117.0,42.16,,164.0,164.0,,389.0,,0.0
March 2020,Darjeeling,,,95.45,20.0,6.0,,126.0,24.72,,132.0,132.0,,534.0,,0.0
March 2020,Hooghly,,,83.43,26.0,30.0,,151.0,28.91,,181.0,181.0,,626.0,,0.0
March 2020,Howrah,,,32.47,34.0,472.0,,227.0,77.1,,717.0,699.0,,930.0,,18.0
March 2020,Jalpaiguri,,,75.24,21.0,26.0,,79.0,19.92,,105.0,105.0,,527.0,,0.0
March 2020,Malda,,,55.19,27.0,164.0,,202.0,46.86,,366.0,366.0,,781.0,,0.0
March 2020,Nadia,,,45.19,27.0,74.0,,61.0,18.44,,135.0,135.0,,732.0,,0.0
March 2020,North 24 Parganas,,,30.83,28.0,285.0,,127.0,64.84,,472.0,412.0,,728.0,,60.0
March 2020,Purba Bardhaman,,,83.57,25.0,47.0,,239.0,39.83,,286.0,286.0,,718.0,,0.0
March 2020,Purba Medinipur,,,80.37,26.0,53.0,,217.0,35.2,,270.0,270.0,,767.0,,0.0
March 2020,Purulia,,,70.37,20.0,48.0,,114.0,29.29,,162.0,162.0,,553.0,,0.0
March 2020,South 24 Parganas,,,71.07,32.0,35.0,,86.0,16.94,,132.0,121.0,,779.0,,11.0
March 2020,Uttar Dinajpur,,,40.81,22.0,132.0,,91.0,40.8,,224.0,223.0,,549.0,,1.0
March 2022,Bankura,,,70.49,23.0,18.0,,43.0,10.91,61.0,,,61.0,559.0,,0.0
March 2022,Birbhum,,,55.91,15.0,82.0,,104.0,38.99,186.0,,,186.0,477.0,,0.0
March 2022,Cooch Behar,,,66.23,10.0,51.0,,100.0,49.51,151.0,,,151.0,305.0,,0.0
March 2022,Darjeeling,,,64.84,10.0,32.0,,59.0,29.74,91.0,,,91.0,306.0,,0.0
March 2022,Hooghly,,,90.77,18.0,35.0,,344.0,84.04,379.0,,,379.0,451.0,,0.0
March 2022,Howrah,,,53.27,29.0,150.0,,171.0,38.94,321.0,,,324.0,832.0,,3.0
March 2022,Jalpaiguri,,,100.0,18.0,0.0,,25.0,6.56,25.0,,,25.0,381.0,,0.0
March 2022,Malda,,,31.58,15.0,52.0,,24.0,21.11,76.0,,,76.0,360.0,,0.0
March 2022,Nadia,,,0.0,17.0,4.0,,0.0,1.21,4.0,,,4.0,330.0,,0.0
March 2022,North 24 Parganas,,,100.0,18.0,0.0,,344.0,59.72,344.0,,,344.0,576.0,,0.0
March 2022,Purba Bardhaman,,,100.0,21.0,0.0,,11.0,1.95,11.0,,,11.0,565.0,,0.0
March 2022,Purba Medinipur,,,76.56,19.0,45.0,,147.0,31.48,192.0,,,192.0,610.0,,0.0
March 2022,Purulia,,,43.42,18.0,43.0,,33.0,18.31,76.0,,,76.0,415.0,,0.0
March 2022,South 24 Parganas,,,54.28,19.0,123.0,,146.0,53.18,269.0,,,276.0,519.0,,7.0
March 2022,Uttar Dinajpur,,,49.09,17.0,84.0,,81.0,35.33,165.0,,,165.0,467.0,,0.0
September 2018,Bankura,,,24.42,17.0,65.0,,21.0,19.77,,86.0,86.0,,435.0,,0.0
September 2018,Birbhum,,,64.44,9.0,32.0,,58.0,37.19,,90.0,90.0,,242.0,,0.0
September 2018,Cooch Behar,,,0.0,6.0,22.0,,0.0,13.84,,22.0,22.0,,159.0,,0.0
September 2018,Darjeeling,,,,4.0,0.0,,0.0,0.0,,0.0,0.0,,79.0,,0.0
September 2018,Hooghly,,,95.96,13.0,4.0,,95.0,30.37,,99.0,99.0,,326.0,,0.0
September 2018,Howrah,,,42.05,22.0,102.0,,74.0,29.09,,183.0,176.0,,629.0,,7.0
September 2018,Jalpaiguri,,,100.0,11.0,0.0,,30.0,10.38,,30.0,30.0,,289.0,,0.0
September 2018,Malda,,,5.65,13.0,117.0,,7.0,54.64,,212.0,124.0,,388.0,,88.0
September 2018,Nadia,,,98.95,12.0,1.0,,94.0,28.96,,95.0,95.0,,328.0,,0.0
September 2018,North 24 Parganas,,,,11.0,0.0,,0.0,0.0,,0.0,0.0,,267.0,,0.0
September 2018,Purba Bardhaman,,,100.0,10.0,0.0,,13.0,4.56,,13.0,13.0,,285.0,,0.0
September 2018,Purba Medinipur,,,66.03,14.0,53.0,,103.0,39.3,,158.0,156.0,,402.0,,2.0
September 2018,Purulia,,,45.24,10.0,46.0,,38.0,33.73,,84.0,84.0,,249.0,,0.0
September 2018,South 24 Parganas,,,85.71,18.0,1.0,,6.0,1.5,,7.0,7.0,,468.0,,0.0
September 2018,Uttar Dinajpur,,,88.46,12.0,3.0,,23.0,9.56,,26.0,26.0,,272.0,,0.0
September 2019,Bankura,,,40.54,14.0,44.0,,30.0,23.43,,93.0,74.0,,397.0,,19.0
September 2019,Birbhum,,,83.11,12.0,25.0,,123.0,39.52,,149.0,148.0,,377.0,,1.0
September 2019,Cooch Behar,,,10.0,9.0,9.0,,1.0,5.65,,10.0,10.0,,177.0,,0.0
September 2019,Darjeeling,,,,9.0,0.0,,0.0,0.0,,0.0,0.0,,260.0,,0.0
September 2019,Hooghly,,,100.0,12.0,0.0,,81.0,27.09,,81.0,81.0,,299.0,,0.0
September 2019,Howrah,,,22.73,21.0,153.0,,45.0,35.43,,203.0,198.0,,573.0,,5.0
September 2019,Jalpaiguri,,,100.0,8.0,0.0,,50.0,20.66,,50.0,50.0,,242.0,,0.0
September 2019,Malda,,,0.0,11.0,14.0,,0.0,4.58,,14.0,14.0,,306.0,,0.0
September 2019,Nadia,,,0.0,12.0,45.0,,0.0,14.66,,45.0,45.0,,307.0,,0.0
September 2019,North 24 Parganas,,,67.21,15.0,60.0,,123.0,60.45,,243.0,183.0,,402.0,,60.0
September 2019,Purba Bardhaman,,,100.0,13.0,0.0,,86.0,24.43,,86.0,86.0,,352.0,,0.0
September 2019,Purba Medinipur,,,72.41,13.0,32.0,,84.0,30.77,,116.0,116.0,,377.0,,0.0
September 2019,Purulia,,,,8.0,0.0,,0.0,0.0,,0.0,0.0,,230.0,,0.0
September 2019,South 24 Parganas,,,0.0,10.0,2.0,,0.0,0.83,,2.0,2.0,,240.0,,0.0
September 2019,Uttar Dinajpur,,,0.0,10.0,52.0,,0.0,23.66,,53.0,52.0,,224.0,,1.0
September 2020,Hooghly,,,0.0,2.0,0.0,,0.0,0.0,0.0,,,0.0,39.0,,0.0
September 2020,Howrah,,,0.0,3.0,0.0,,0.0,0.0,0.0,,,0.0,91.0,,0.0
September 2020,Purba Bardhaman,,,0.0,1.0,0.0,,0.0,0.0,0.0,,,0.0,20.0,,0.0
September 2021,Bankura,,,,2.0,0.0,,0.0,0.0,0.0,,,0.0,36.0,,0.0
September 2021,Birbhum,,,,4.0,0.0,,0.0,0.0,0.0,,,0.0,99.0,,0.0
September 2021,Cooch Behar,,,100.0,2.0,0.0,,9.0,14.52,9.0,,,9.0,62.0,,0.0
September 2021,Darjeeling,,,,3.0,0.0,,0.0,0.0,0.0,,,0.0,81.0,,0.0
September 2021,Hooghly,,,,2.0,0.0,,0.0,0.0,0.0,,,0.0,35.0,,0.0
September 2021,Howrah,,,,1.0,0.0,,0.0,0.0,0.0,,,0.0,30.0,,0.0
September 2021,Jalpaiguri,,,,1.0,0.0,,0.0,0.0,0.0,,,0.0,13.0,,0.0
September 2021,Malda,,,0.0,4.0,1.0,,0.0,1.2,1.0,,,1.0,83.0,,0.0
September 2021,Nadia,,,,4.0,0.0,,0.0,0.0,0.0,,,0.0,58.0,,0.0
September 2021,North 24 Parganas,,,,2.0,0.0,,0.0,0.0,0.0,,,0.0,49.0,,0.0
September 2021,Purba Bardhaman,,,,4.0,0.0,,0.0,0.0,0.0,,,0.0,69.0,,0.0
September 2021,Purba Medinipur,,,,1.0,0.0,,0.0,0.0,0.0,,,0.0,35.0,,0.0
September 2021,Purulia,,,,2.0,0.0,,0.0,0.0,0.0,,,0.0,32.0,,0.0
September 2021,South 24 Parganas,,,,4.0,0.0,,0.0,0.0,0.0,,,0.0,110.0,,0.0
September 2021,Uttar Dinajpur,,,38.1,5.0,13.0,,8.0,16.94,21.0,,,21.0,124.0,,0.0
