period,district,aadhaar_seeded,female_a_c,male_a_c,rupaycard_issued,rural_a_c,total_a_c,total_deposit,total_enrolment_uner_social_security_schemes,total_no_of_apy,total_no_of_pmjjby,total_no_of_pmsby,total_no_pmjdy_a_c,urban_a_c,zero_balance_account
December 2022,Alipurduar,,,,,,,,447178.0,47008.0,109975.0,290195.0,246371.0,,
December 2022,Bankura,,,,,,,,1190688.0,120012.0,234697.0,835979.0,2133039.0,,
December 2022,Birbhum,,,,,,,,1509571.0,178523.0,410636.0,920412.0,2220639.0,,
December 2022,Cooch Behar,,,,,,,,1033991.0,142177.0,237934.0,653880.0,1529186.0,,
December 2022,Dakshin Dinajpur,,,,,,,,626006.0,68248.0,140697.0,417061.0,1129599.0,,
December 2022,Hooghly,,,,,,,,1757561.0,221256.0,400993.0,1135312.0,2257286.0,,
December 2022,Howrah,,,,,,,,1407831.0,177920.0,331473.0,898438.0,1941148.0,,
December 2022,Jalpaiguri,,,,,,,,1048523.0,135683.0,272789.0,640051.0,1749324.0,,
December 2022,Kolkata,,,,,,,,1918967.0,164797.0,406249.0,1347921.0,823952.0,,
December 2022,Malda,,,,,,,,1534982.0,207538.0,338658.0,988786.0,3102801.0,,
December 2022,Murshidabad,,,,,,,,2629706.0,349783.0,535870.0,1744053.0,4201402.0,,
December 2022,Nadia,,,,,,,,1699029.0,211304.0,327124.0,1160601.0,2915364.0,,
December 2022,North 24 Parganas,,,,,,,,2886390.0,334812.0,603946.0,1947632.0,4144662.0,,
December 2022,Paschim Medinipur,,,,,,,,1928573.0,229442.0,394682.0,1304449.0,2890699.0,,
December 2022,Purba Bardhaman,,,,,,,,2328112.0,266572.0,560418.0,1501122.0,3506603.0,,
December 2022,Purba Medinipur,,,,,,,,1646244.0,265931.0,316077.0,1064236.0,2542600.0,,
December 2022,Purulia,,,,,,,,807762.0,91890.0,188754.0,527118.0,1913402.0,,
December 2022,South 24 Parganas,,,,,,,,2122661.0,263773.0,466952.0,1391936.0,4784733.0,,
December 2022,Uttar Dinajpur,,,,,,,,938109.0,120284.0,207379.0,610446.0,2521556.0,,
June 2024,Alipurduar,,,,,,,,649962.0,62265.0,175448.0,412249.0,600259.0,,
June 2024,Bankura,,,,,,,,1791005.0,187953.0,399764.0,1203288.0,2291575.0,,
June 2024,Birbhum,,,,,,,,2298770.0,241052.0,631557.0,1426161.0,2400430.0,,
June 2024,Cooch Behar,,,,,,,,1511938.0,190133.0,373741.0,948064.0,1671158.0,,
June 2024,Dakshin Dinajpur,,,,,,,,936601.0,98565.0,234787.0,603249.0,1227448.0,,
June 2024,Darjeeling,,,,,,,,1147938.0,107541.0,331032.0,709365.0,651335.0,,
June 2024,Hooghly,,,,,,,,2588015.0,309147.0,615198.0,1663670.0,2459658.0,,
June 2024,Howrah,,,,,,,,2042598.0,233970.0,482716.0,1325912.0,2104742.0,,
June 2024,Jalpaiguri,,,,,,,,1544264.0,183127.0,409357.0,951780.0,1572588.0,,
June 2024,Jhargram,,,,,,,,474200.0,39666.0,114762.0,319772.0,480975.0,,
June 2024,Kalimpong,,,,,,,,68749.0,6295.0,20140.0,42314.0,32110.0,,
June 2024,Kolkata,,,,,,,,2487526.0,208114.0,510409.0,1769003.0,976011.0,,
June 2024,Malda,,,,,,,,2205112.0,284618.0,542724.0,1377770.0,3424350.0,,
June 2024,Murshidabad,,,,,,,,3945625.0,481936.0,946337.0,2517352.0,4687955.0,,
June 2024,Nadia,,,,,,,,2538671.0,288022.0,574333.0,1676316.0,3172662.0,,
June 2024,North 24 Parganas,,,,,,,,4157435.0,446422.0,944643.0,2766370.0,4593189.0,,
June 2024,Paschim Bardhaman,,,,,,,,1681066.0,67296.0,401576.0,1212194.0,1545849.0,,
June 2024,Paschim Medinipur,,,,,,,,2245668.0,277471.0,510920.0,1457277.0,2712736.0,,
June 2024,Purba Bardhaman,,,,,,,,1799093.0,304402.0,543138.0,951553.0,2279148.0,,
June 2024,Purba Medinipur,,,,,,,,2360403.0,361722.0,516439.0,1482242.0,2629010.0,,
June 2024,Purulia,,,,,,,,1309930.0,139160.0,315715.0,855055.0,2085780.0,,
June 2024,South 24 Parganas,,,,,,,,3480615.0,371508.0,779280.0,2329827.0,5114934.0,,
June 2024,Uttar Dinajpur,,,,,,,,1383201.0,163851.0,341800.0,877550.0,2729968.0,,
June 2025,Alipurduar,733607.0,475407.0,349989.0,648778.0,601962.0,825396.0,414.36,,,,,,223434.0,46693.0
June 2025,Bankura,2107472.0,1341505.0,1074227.0,1397862.0,2057075.0,2415732.0,1400.82,,,,,,358657.0,135473.0
