period,district,31_03_2021,31_03_2022,31_03_2023,31_03_2024,31_03_2025,district_wise_enrolment_under_pmjjby_31_03_2021,district_wise_enrolment_under_pmjjby_31_03_2022,district_wise_enrolment_under_pmjjby_31_03_2023,district_wise_enrolment_under_pmsby_31_03_2021,district_wise_enrolment_under_pmsby_31_03_2022,district_wise_enrolment_under_pmsby_31_03_2023,enrolment_under_pmjjby_31_03_2020,enrolment_under_pmsby_31_03_2020,total_enrolment_uner_social_security_schemes,total_no_of_apy,total_no_of_pmjjby,total_no_of_pmsby,total_no_pmjdy_a_c
December 2022,Alipurduar,76664.0,99006.0,,,,,,,,,,6043.0,20945.0,,,,,
December 2022,Bankura,280137.0,346099.0,,,,,,,,,,44442.0,189605.0,,,,,
December 2022,Birbhum,303366.0,386956.0,,,,,,,,,,66364.0,210383.0,,,,,
December 2022,Cooch Behar,175292.0,225638.0,,,,,,,,,,35333.0,243982.0,,,,,
December 2022,Dakshin Dinajpur,130140.0,163499.0,,,,,,,,,,21706.0,96065.0,,,,,
December 2022,Hooghly,376228.0,475875.0,,,,,,,,,,76128.0,276181.0,,,,,
December 2022,Howrah,292315.0,377056.0,,,,,,,,,,68559.0,215356.0,,,,,
December 2022,Jalpaiguri,185105.0,230168.0,,,,,,,,,,65395.0,182150.0,,,,,
December 2022,Kolkata,644670.0,711150.0,,,,,,,,,,167764.0,458976.0,,,,,
December 2022,Malda,313206.0,392921.0,,,,,,,,,,59269.0,208431.0,,,,,
December 2022,Murshidabad,586530.0,686540.0,,,,,,,,,,86240.0,323983.0,,,,,
December 2022,Nadia,413503.0,482454.0,,,,,,,,,,52494.0,289755.0,,,,,
December 2022,North 24 Parganas,674770.0,789357.0,,,,,,,,,,135477.0,438125.0,,,,,
December 2022,Paschim Medinipur,451787.0,546122.0,,,,,,,,,,91507.0,383353.0,,,,,
December 2022,Purba Bardhaman,539519.0,653923.0,,,,,,,,,,111984.0,405413.0,,,,,
December 2022,Purba Medinipur,433515.0,506412.0,,,,,,,,,,74206.0,369414.0,,,,,
December 2022,Purulia,170386.0,213151.0,,,,,,,,,,33039.0,115909.0,,,,,
December 2022,South 24 Parganas,457445.0,550471.0,,,,,,,,,,85051.0,352543.0,,,,,
December 2022,Uttar Dinajpur,173776.0,228484.0,,,,,,,,,,35199.0,125849.0,,,,,
December 2023,Alipurduar,,254468.0,312684.0,,,61421.0,,,186544.0,,,,,,,,,
December 2023,Bankura,,724578.0,904236.0,,,131944.0,,,559772.0,,,,,,,,,
December 2023,Birbhum,,786765.0,1063257.0,,,226988.0,,,610720.0,,,,,,,,,
December 2023,Cooch Behar,,553391.0,694385.0,,,131837.0,,,419827.0,,,,,,,,,
December 2023,Dakshin Dinajpur,,367446.0,454991.0,,,72860.0,,,279277.0,,,,,,,,,
December 2023,Hooghly,,970377.0,1227327.0,,,222746.0,,,715317.0,,,,,,,,,
December 2023,Howrah,,752008.0,977661.0,,,188675.0,,,542740.0,,,,,,,,,
December 2023,Jalpaiguri,,539529.0,709929.0,,,153034.0,,,409964.0,,,,,,,,,
December 2023,Kolkata,,1244283.0,1418927.0,,,312868.0,,,1093490.0,,,,,,,,,
December 2023,Malda,,871168.0,1056316.0,,,199689.0,,,674593.0,,,,,,,,,
December 2023,Murshidabad,,1526296.0,1942267.0,,,274213.0,,,1256802.0,,,,,,,,,
December 2023,Nadia,,1035967.0,1312729.0,,,176950.0,,,838170.0,,,,,,,,,
December 2023,North 24 Parganas,,1730623.0,2178226.0,,,357300.0,,,1378831.0,,,,,,,,,
December 2023,Paschim Medinipur,,1121609.0,1435593.0,,,223816.0,,,881759.0,,,,,,,,,
December 2023,Purba Bardhaman,,1296008.0,1541792.0,,,320482.0,,,999031.0,,,,,,,,,
December 2023,Purba Medinipur,,931000.0,1187485.0,,,172240.0,,,749340.0,,,,,,,,,
December 2023,Purulia,,440114.0,545598.0,,,94030.0,,,337041.0,,,,,,,,,
