period,district,amount,no_of_active_shgs,no_of_cases_pending,no_of_sponsored_application_in_fy_fy_22_23,no_of_sponsored_application_in_fy_fy_23_24,no_of_sponsored_application_in_fy_fy_24_25,sep_group_no,sep_individual_no,shg_credit_linkage_no,shg_loan_disbursed_no,shg_loan_sanctioned_no,target_amount_of_shg_loan_to_be_disbursed_fy_22_24,target_amount_of_shg_loan_to_be_disbursed_fy_23_24,target_amount_of_shg_loan_to_be_disbursed_fy_24_25,target_fy_22_23,target_fy_23_24,target_fy_24_25
December 2022,Alipurduar,0.75,552.0,25.0,68.0,,,,,,44.0,54.0,2.25,,,150.0,,
December 2022,Bankura,2.05,2425.0,0.0,106.0,,,,,,120.0,244.0,4.32,,,289.0,,
December 2022,Birbhum,8.54,3612.0,310.0,919.0,,,,,,500.0,452.0,14.84,,,978.0,,
December 2022,Cooch Behar,3.21,1641.0,5.0,217.0,,,,,,188.0,185.0,4.35,,,446.0,,
December 2022,Dakshin Dinajpur,2.94,1832.0,5.0,149.0,,,,,,172.0,253.0,4.86,,,263.0,,
December 2022,Darjeeling,4.49,2306.0,79.0,298.0,,,,,,263.0,264.0,7.48,,,498.0,,
December 2022,Hooghly,11.51,6041.0,341.0,952.0,,,,,,674.0,631.0,18.89,,,1272.0,,
December 2022,Howrah,2.92,1449.0,46.0,228.0,,,,,,171.0,168.0,8.64,,,586.0,,
December 2022,Jalpaiguri,1.11,1575.0,80.0,214.0,,,,,,65.0,66.0,3.99,,,266.0,,
December 2022,Jhargram,0.68,486.0,0.0,36.0,,,,,,40.0,40.0,1.2,,,80.0,,
December 2022,Kalimpong,0.5,178.0,0.0,32.0,,,,,,29.0,28.0,1.04,,,70.0,,
December 2022,Kolkata,2.19,968.0,202.0,326.0,,,,,,128.0,139.0,3.0,,,250.0,,
December 2022,Malda,1.38,818.0,82.0,168.0,,,,,,81.0,82.0,2.9,,,193.0,,
December 2022,Murshidabad,9.12,5547.0,120.0,870.0,,,,,,534.0,541.0,16.86,,,1185.0,,
December 2022,Nadia,9.99,5842.0,133.0,719.0,,,,,,584.0,640.0,16.44,,,1094.0,,
December 2022,North 24 Parganas,27.7,15663.0,434.0,2058.0,,,,,,1625.0,1626.0,45.97,,,3169.0,,
December 2022,Paschim Bardhaman,5.09,2720.0,186.0,464.0,,,,,,298.0,296.0,12.53,,,835.0,,
December 2022,Paschim Medinipur,5.7,3988.0,142.0,501.0,,,,,,333.0,362.0,9.76,,,650.0,,
December 2022,Purba Bardhaman,7.29,3487.0,15.0,398.0,,,,,,427.0,412.0,7.11,,,543.0,,
December 2022,Purba Medinipur,5.33,3468.0,191.0,500.0,,,,,,312.0,365.0,6.18,,,420.0,,
December 2022,Purulia,1.23,1154.0,9.0,90.0,,,,,,72.0,73.0,2.63,,,175.0,,
December 2022,South 24 Parganas,6.37,3582.0,154.0,546.0,,,,,,373.0,399.0,10.17,,,741.0,,
December 2022,Uttar Dinajpur,3.12,2125.0,88.0,257.0,,,,,,183.0,183.0,4.38,,,451.0,,
December 2023,Alipurduar,159.85,1319.0,16.0,,103.0,,,,,81.0,83.0,,277.5,,,185.0,
December 2023,Bankura,461.78,2547.0,25.0,,259.0,,,,,234.0,332.0,,468.0,,,312.0,
December 2023,Birbhum,724.24,3931.0,299.0,,765.0,,,,,367.0,355.0,,1330.5,,,887.0,
December 2023,Cooch Behar,376.92,1818.0,25.0,,279.0,,,,,191.0,195.0,,660.0,,,440.0,
December 2023,Dakshin Dinajpur,262.46,1973.0,15.0,,180.0,,,,,133.0,233.0,,592.5,,,395.0,
December 2023,Darjeeling,483.48,2499.0,91.0,,320.0,,,,,245.0,253.0,,720.0,,,480.0,
December 2023,Hooghly,1207.72,6635.0,311.0,,971.0,,,,,612.0,614.0,,1684.5,,,1123.0,
December 2023,Howrah,252.6,2013.0,129.0,,267.0,,,,,128.0,124.0,,816.0,,,544.0,
December 2023,Jalpaiguri,444.02,1841.0,32.0,,194.0,,,,,225.0,238.0,,445.5,,,297.0,
December 2023,Jhargram,53.28,529.0,6.0,,33.0,,,,,27.0,28.0,,130.5,,,87.0,
December 2023,Kalimpong,23.68,192.0,0.0,,13.0,,,,,12.0,12.0,,120.0,,,80.0,
December 2023,Kolkata,404.55,1801.0,172.0,,322.0,,,,,205.0,229.0,,450.0,,,300.0,
December 2023,Malda,165.77,912.0,49.0,,127.0,,,,,84.0,82.0,,393.0,,,262.0,
December 2023,Murshidabad,1085.37,6030.0,89.0,,689.0,,,,,550.0,568.0,,1531.5,,,1021.0,
December 2023,Nadia,1225.48,6459.0,271.0,,795.0,,,,,621.0,678.0,,1740.0,,,1160.0,
December 2023,North 24 Parganas,2967.99,17095.0,498.0,,2022.0,,,,,1504.0,1547.0,,4800.0,,,3200.0,
December 2023,Paschim Bardhaman,426.25,3184.0,280.0,,506.0,,,,,216.0,210.0,,903.0,,,602.0,
December 2023,Paschim Medinipur,781.47,4338.0,161.0,,546.0,,,,,396.0,411.0,,987.0,,,658.0,
December 2023,Purba Bardhaman,718.32,3751.0,65.0,,354.0,,,,,364.0,347.0,,753.0,,,502.0,
December 2023,Purba Medinipur,483.48,3417.0,243.0,,493.0,,,,,245.0,244.0,,549.0,,,366.0,
December 2023,Purulia,234.83,1250.0,16.0,,127.0,,,,,119.0,119.0,,285.0,,,190.0,
December 2023,South 24 Parganas,595.97,4075.0,223.0,,572.0,,,,,302.0,379.0,,1236.0,,,824.0,
December 2023,Uttar Dinajpur,471.64,2362.0,138.0,,400.0,,,,,239.0,241.0,,735.0,,,490.0,
December 2024,Alipurduar,74.31,1353.0,5.0,,,32.0,,,,35.0,28.0,,,262.5,,,175.0
December 2024,Bankura,246.29,2482.0,7.0,,,134.0,,,,116.0,131.0,,,301.5,,,201.0
December 2024,Birbhum,450.12,4163.0,73.0,,,317.0,,,,212.0,214.0,,,936.0,,,624.0
December 2024,Cooch Behar,178.35,1912.0,6.0,,,140.0,,,,84.0,80.0,,,439.5,,,293.0
December 2024,Dakshin Dinajpur,212.32,2083.0,0.0,,,107.0,,,,100.0,107.0,,,436.5,,,291.0
December 2024,Darjeeling,267.52,2681.0,11.0,,,137.0,,,,126.0,126.0,,,691.5,,,461.0
December 2024,Hooghly,940.58,7067.0,41.0,,,503.0,,,,443.0,438.0,,,1543.5,,,1029.0
December 2024,Howrah,282.39,1746.0,98.0,,,277.0,,,,133.0,134.0,,,598.5,,,399.0
December 2024,Jalpaiguri,314.23,2113.0,2.0,,,241.0,,,,148.0,134.0,,,381.0,,,254.0
December 2024,Jhargram,76.44,541.0,7.0,,,36.0,,,,36.0,36.0,,,91.5,,,61.0
December 2024,Kalimpong,4.25,218.0,3.0,,,8.0,,,,2.0,2.0,,,112.5,,,75.0
December 2024,Kolkata,284.51,1829.0,0.0,,,306.0,,,,134.0,146.0,,,390.0,,,260.0
December 2024,Malda,123.15,1104.0,15.0,,,67.0,,,,58.0,55.0,,,310.5,,,207.0
December 2024,Murshidabad,450.12,6391.0,10.0,,,236.0,,,,212.0,224.0,,,1366.5,,,911.0
December 2024,Nadia,745.24,6842.0,67.0,,,530.0,,,,351.0,449.0,,,1543.5,,,1029.0
December 2024,North 24 Parganas,1775.0,17461.0,137.0,,,1060.0,,,,836.0,912.0,,,4305.0,,,2870.0
December 2024,Paschim Bardhaman,488.34,2859.0,61.0,,,310.0,,,,230.0,210.0,,,855.0,,,570.0
December 2024,Paschim Medinipur,664.56,4629.0,3.0,,,288.0,,,,313.0,288.0,,,667.5,,,445.0
December 2024,Purba Bardhaman,520.18,3943.0,0.0,,,236.0,,,,245.0,236.0,,,640.5,,,427.0
December 2024,Purba Medinipur,360.94,3698.0,16.0,,,193.0,,,,170.0,168.0,,,352.5,,,235.0
December 2024,Purulia,89.17,1305.0,15.0,,,62.0,,,,42.0,42.0,,,285.0,,,190.0
December 2024,South 24 Parganas,469.23,4276.0,52.0,,,280.0,,,,221.0,215.0,,,1111.5,,,741.0
December 2024,Uttar Dinajpur,335.47,2560.0,14.0,,,180.0,,,,158.0,163.0,,,600.0,,,400.0
March 2020,Alipurduar,0.16,,,,,,8.0,45.0,140.0,,,,,,,,
March 2020,Bankura,0.12,,,,,,6.0,49.0,325.0,,,,,,,,
March 2020,Birbhum,0.34,,,,,,17.0,222.0,890.0,,,,,,,,
March 2020,Cooch Behar,0.4,,,,,,20.0,122.0,480.0,,,,,,,,
March 2020,Dakshin Dinajpur,0.24,,,,,,12.0,65.0,474.0,,,,,,,,
March 2020,Darjeeling,0.14,,,,,,7.0,95.0,265.0,,,,,,,,
March 2020,Hooghly,0.5,,,,,,25.0,322.0,1012.0,,,,,,,,
March 2020,Howrah,0.06,,,,,,3.0,50.0,270.0,,,,,,,,
March 2020,Jalpaiguri,0.18,,,,,,9.0,110.0,370.0,,,,,,,,
March 2020,Jhargram,0.02,,,,,,1.0,20.0,70.0,,,,,,,,
March 2020,Kalimpong,0.02,,,,,,1.0,15.0,30.0,,,,,,,,
March 2020,Kolkata,0.08,,,,,,4.0,100.0,150.0,,,,,,,,
March 2020,Malda,0.34,,,,,,17.0,88.0,200.0,,,,,,,,
March 2020,Murshidabad,1.48,,,,,,74.0,290.0,1056.0,,,,,,,,
March 2020,Nadia,0.4,,,,,,20.0,244.0,1077.0,,,,,,,,
March 2020,North 24 Parganas,1.42,,,,,,71.0,981.0,3148.0,,,,,,,,
