period,district
December 2022,Alipurduar
December 2022,Bankura
December 2022,Birbhum
December 2022,Cooch Behar
December 2022,Dakshin Dinajpur
December 2022,Darjeeling
December 2022,Hooghly
December 2022,Howrah
December 2022,Jalpaiguri
December 2022,Jhargram
December 2022,Kalimpong
December 2022,Kolkata
December 2022,Malda
December 2022,Murshidabad
December 2022,Nadia
December 2022,North 24 Parganas
December 2022,Paschim Bardhaman
December 2022,Paschim Medinipur
December 2022,Purba Bardhaman
December 2022,Purba Medinipur
December 2022,Purulia
December 2022,South 24 Parganas
December 2022,Uttar Dinajpur
