period,district,10km,1km_3km,3km_5km,5km_10km,b_m_branch,grand_total,no_bank_branch_within_a_radius_of_5_kms,population_as_per_2011_census,total_no_of_villages_5000_identified_as_unbanked_and_allocated_to_different_banks,villages_having_bank_branch_within_a_radius_of_5_kms
March 2016,Alipurduar,,,,,,,11.0,,25.0,14.0
March 2016,Bankura,,,,,,,8.0,,11.0,3.0
March 2016,Birbhum,,,,,,,4.0,,27.0,23.0
March 2016,Cooch Behar,,,,,,,64.0,,64.0,0.0
March 2016,Dakshin Dinajpur,,,,,,,2.0,,6.0,4.0
March 2016,Darjeeling,,,,,,,27.0,,27.0,0.0
March 2016,Hooghly,,,,,,,18.0,,72.0,54.0
March 2016,Howrah,,,,,,,4.0,,46.0,42.0
March 2016,Jalpaiguri,,,,,,,46.0,,46.0,0.0
March 2016,Malda,,,,,,,13.0,,41.0,28.0
March 2016,Murshidabad,,,,,,,63.0,,88.0,25.0
March 2016,Nadia,,,,,,,25.0,,47.0,22.0
March 2016,North 24 Parganas,,,,,,,2.0,,37.0,35.0
March 2016,Paschim Medinipur,,,,,,,4.0,,22.0,18.0
March 2016,Purba Bardhaman,,,,,,,0.0,,3.0,3.0
March 2016,Purba Medinipur,,,,,,,6.0,,53.0,47.0
March 2016,Purulia,,,,,,,7.0,,14.0,7.0
March 2016,South 24 Parganas,,,,,,,40.0,,40.0,0.0
March 2016,Uttar Dinajpur,,,,,,,15.0,,48.0,33.0
March 2017,Alipurduar,3.0,,1.0,7.0,,11.0,,,,
March 2017,Bankura,,,3.0,5.0,,8.0,,,,
March 2017,Birbhum,1.0,,,3.0,,4.0,,,,
March 2017,Cooch Behar,5.0,,2.0,57.0,,64.0,,,,
March 2017,Dakshin Dinajpur,1.0,,,1.0,,2.0,,,,
March 2017,Darjeeling,7.0,4.0,8.0,7.0,1.0,27.0,,,,
March 2017,Hooghly,,,4.0,12.0,2.0,18.0,,,,
March 2017,Howrah,,1.0,2.0,,1.0,4.0,,,,
March 2017,Jalpaiguri,5.0,9.0,12.0,13.0,7.0,46.0,,,,
March 2017,Malda,4.0,1.0,3.0,5.0,,13.0,,,,
March 2017,Murshidabad,,5.0,21.0,33.0,4.0,63.0,,,,
March 2017,Nadia,12.0,1.0,2.0,10.0,,25.0,,,,
March 2017,North 24 Parganas,,,1.0,1.0,,2.0,,,,
March 2017,Paschim Medinipur,,1.0,2.0,1.0,,4.0,,,,
March 2017,Purba Medinipur,,,,6.0,,6.0,,,,
March 2017,Purulia,,2.0,2.0,3.0,,7.0,,,,
March 2017,South 24 Parganas,1.0,8.0,19.0,5.0,7.0,40.0,,,,
March 2017,Uttar Dinajpur,2.0,1.0,5.0,7.0,,15.0,,,,
September 2018,Bankura,,,,,,,,568.0,,
September 2018,Birbhum,,,,,,,,606.0,,
September 2018,Cooch Behar,,,,,,,,91.0,,
September 2018,Dakshin Dinajpur,,,,,,,,698.0,,
September 2018,Jalpaiguri,,,,,,,,4076.0,,
September 2018,Kalimpong,,,,,,,,724.0,,
September 2018,Paschim Bardhaman,,,,,,,,608.0,,
September 2018,Purulia,,,,,,,,908.0,,
September 2018,South 24 Parganas,,,,,,,,5683.0,,
