period,district,camp_conducted_by_rural_branches_during_the_quarter,camp_conducted_by_rural_branches_during_the_quarter_no_of_branches,camp_conducted_by_rural_branches_during_the_quarter_no_of_total_rural_branches,camps_by_rural_branches_no_of_total_rural_branches,fy_2020_21_no_of_flc_camps_conducted,fy_2021_22_no_of_flc_camps_conducted,fy_2022_23_no_of_flc_camps_conducted,fy_2023_24_no_of_flc_camps_conducted,fy_2024_25_no_of_flc_camps_conducted,no_of_beneficiary_attended,no_of_camps,no_of_camps_conducted,no_of_flcs,no_of_flcs_in_district,no_of_literacy_camp_conducted_as_per_rbi_guidelines_using_standardized_financial_literacy_material_of_rbi,no_of_literacy_camps_under_taken_during_the_qt_as_per_rbi_guidelines_3,no_of_literacy_camps_under_taken_during_the_qt_as_per_rbi_guidelines_4,no_of_literacy_camps_under_taken_during_the_qt_as_per_rbi_guidelines_5,no_of_literacy_camps_under_taken_during_the_qt_as_per_rbi_guidelines_6,no_of_literacy_camps_under_taken_during_the_qt_as_per_rbi_guidelines_8,no_of_participants,no_of_participants_attended,no_of_persons_participated,no_of_persons_participated_in_literacy_camps_during_the_quarter_284,no_of_persons_participated_in_literacy_camps_during_the_quarter_312,no_of_persons_participated_in_literacy_camps_during_the_quarter_326,no_of_persons_participated_in_literacy_camps_during_the_quarter_342,no_of_persons_participated_in_literacy_camps_during_the_quarter_347,no_of_persons_participated_in_literacy_camps_during_the_quarter_478,no_of_persons_participated_in_literacy_camps_during_the_quarter_544,no_of_rsetis,no_of_rural_branches_in_district,no_of_rural_branches_in_the_district,no_of_rural_branches_which_have_conducted_literacy_camps_as_per_rbi_guidelines_using_standardized_financial_literacy_material_of_rbi_in_the_quarter,no_of_special_camps_conducted_by_flcs_during_the_quarter,no_of_special_camps_conducted_during_the_quarter,no_of_target_specific_camps_conducted_by_flcs_during_the_quarter,no_of_target_specific_camps_conducted_during_the_quarter,out_of_persons_participated_no_of_persons_already_have_bank_account_at_the_time_of_attending_the_camp,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_166,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_184,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_206,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_212,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_241,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_258,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_284,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_306,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_37,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_41,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_52,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_54,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_58,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_64,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_68,sl_no_1,special_camps_by_flcs_no_of_no_of_target_camps_participants_conducted_attended,special_camps_by_flcs_target,special_camps_conducted_by_flcs_during_the_quarter_no_of_camps,target,target_group_addressed,target_specific_camps_by_flcs_target,target_specific_camps_conducted_by_flcs_during_the_quarter_no_of_camps,total_camps_conducted_during_the_quarter
December 2015,Bankura,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,243.0,,,,,,,,,,,,,,,,,182.0,,,,,21.0,,,,8.0,,,,,,,,
December 2015,Birbhum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,
December 2015,Cooch Behar,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,1213.0,,,,,,,,,,,,,,,,,1015.0,,,,,51.0,,,,35.0,,,,,,,,
December 2015,Dakshin Dinajpur,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,40.0,,,,,10.0,,,,6.0,,,,,,,,
December 2015,Darjeeling,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,1560.0,,,,,,,,,,,,,,,,,894.0,,,,,205.0,,,,22.0,,,,,,,,
December 2015,Hooghly,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,294.0,,,,,,,,,,,,,,,,,86.0,,,,,141.0,,,,12.0,,,,,,,,
December 2015,Howrah,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,485.0,,,,,,,,,,,,,,,,,310.0,,,,,148.0,,,,10.0,,,,,,,,
December 2015,Jalpaiguri,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,2501.0,,,,,,,,,,,,,,,,,1226.0,,,,,478.0,,,,20.0,,,,,,,,
December 2015,Malda,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,180.0,,,,,,,,,,,,,,,,,124.0,,,,,45.0,,,,30.0,,,,,,,,
December 2015,Murshidabad,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,445.0,,,,,,,,,,,,,,,,,320.0,,,,,52.0,,,,38.0,,,,,,,,
December 2015,Nadia,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,156.0,,,,,,,,,,,,,,,,,98.0,,,,,42.0,,,,9.0,,,,,,,,
December 2015,Purba Bardhaman,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,1004.0,,,,,,,,,,,,,,,,,924.0,,,,,45.0,,,,13.0,,,,,,,,
December 2015,Purulia,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,193.0,,,,,,,,,,,,,,,,,139.0,,,,,41.0,,,,23.0,,,,,,,,
December 2015,Uttar Dinajpur,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,246.0,,,,,,,,,,,,,,,,,152.0,,,,,26.0,,,,4.0,,,,,,,,
December 2016,Bankura,,,,,,,,,,,,,,,,3.0,,,,,,,,127.0,,,,,,,,,,,,,,,,,,84.0,,,,,,,,,,22.0,,,,8.0,,,,,,,,
December 2016,Birbhum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,14.0,,,,,,,,
December 2016,Cooch Behar,,,,,,,,,,,,,,,,8.0,,,,,,,,642.0,,,,,,,,,,,,,,,,,,421.0,,,,,,,,,,114.0,,,,36.0,,,,,,,,
December 2016,Dakshin Dinajpur,,,,,,,,,,,,,,,,3.0,,,,,,,,162.0,,,,,,,,,,,,,,,,,,76.0,,,,,,,,,,46.0,,,,6.0,,,,,,,,
December 2016,Darjeeling,,,,,,,,,,,,,,,,7.0,,,,,,,,542.0,,,,,,,,,,,,,,,,,,342.0,,,,,,,,,,106.0,,,,22.0,,,,,,,,
December 2016,Hooghly,,,,,,,,,,,,,,,,8.0,,,,,,,,218.0,,,,,,,,,,,,,,,,,,102.0,,,,,,,,,,74.0,,,,12.0,,,,,,,,
December 2016,Howrah,,,,,,,,,,,,,,,,5.0,,,,,,,,452.0,,,,,,,,,,,,,,,,,,208.0,,,,,,,,,,162.0,,,,10.0,,,,,,,,
December 2016,Jalpaiguri,,,,,,,,,,,,,,,,16.0,,,,,,,,2044.0,,,,,,,,,,,,,,,,,,1577.0,,,,,,,,,,322.0,,,,20.0,,,,,,,,
December 2016,Malda,,,,,,,,,,,,,,,,3.0,,,,,,,,108.0,,,,,,,,,,,,,,,,,,86.0,,,,,,,,,,16.0,,,,31.0,,,,,,,,
December 2016,Murshidabad,,,,,,,,,,,,,,,,8.0,,,,,,,,412.0,,,,,,,,,,,,,,,,,,258.0,,,,,,,,,,118.0,,,,39.0,,,,,,,,
December 2016,Nadia,,,,,,,,,,,,,,,,6.0,,,,,,,,134.0,,,,,,,,,,,,,,,,,,72.0,,,,,,,,,,42.0,,,,9.0,,,,,,,,
December 2016,Purba Bardhaman,,,,,,,,,,,,,,,,3.0,,,,,,,,542.0,,,,,,,,,,,,,,,,,,344.0,,,,,,,,,,147.0,,,,13.0,,,,,,,,
December 2016,Purulia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,
December 2016,Uttar Dinajpur,,,,,,,,,,,,,,,,4.0,,,,,,,,214.0,,,,,,,,,,,,,,,,,,116.0,,,,,,,,,,51.0,,,,4.0,,,,,,,,
December 2017,Bankura,,,,,,,,,,,,,,,,,,4.0,,,,,,,,224.0,,,,,,,,,,,,,,134.0,,,,,,,,,,,,,,,68.0,8.0,,,,,,,,
December 2017,Birbhum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.0,,,,,,,,
December 2017,Cooch Behar,,,,,,,,,,,,,,,,,,7.0,,,,,,,,506.0,,,,,,,,,,,,,,385.0,,,,,,,,,,,,,,,81.0,36.0,,,,,,,,
December 2017,Dakshin Dinajpur,,,,,,,,,,,,,,,,,,6.0,,,,,,,,165.0,,,,,,,,,,,,,,76.0,,,,,,,,,,,,,,,64.0,6.0,,,,,,,,
December 2017,Darjeeling,,,,,,,,,,,,,,,,,,4.0,,,,,,,,420.0,,,,,,,,,,,,,,309.0,,,,,,,,,,,,,,,56.0,22.0,,,,,,,,
December 2017,Hooghly,,,,,,,,,,,,,,,,,,6.0,,,,,,,,262.0,,,,,,,,,,,,,,142.0,,,,,,,,,,,,,,,84.0,12.0,,,,,,,,
December 2017,Howrah,,,,,,,,,,,,,,,,,,5.0,,,,,,,,496.0,,,,,,,,,,,,,,226.0,,,,,,,,,,,,,,,174.0,10.0,,,,,,,,
December 2017,Jalpaiguri,,,,,,,,,,,,,,,,,,17.0,,,,,,,,1452.0,,,,,,,,,,,,,,956.0,,,,,,,,,,,,,,,381.0,20.0,,,,,,,,
December 2017,Malda,,,,,,,,,,,,,,,,,,5.0,,,,,,,,78.0,,,,,,,,,,,,,,58.0,,,,,,,,,,,,,,,12.0,31.0,,,,,,,,
December 2017,Murshidabad,,,,,,,,,,,,,,,,,,9.0,,,,,,,,287.0,,,,,,,,,,,,,,202.0,,,,,,,,,,,,,,,66.0,39.0,,,,,,,,
December 2017,Nadia,,,,,,,,,,,,,,,,,,5.0,,,,,,,,226.0,,,,,,,,,,,,,,96.0,,,,,,,,,,,,,,,80.0,9.0,,,,,,,,
December 2017,Purba Bardhaman,,,,,,,,,,,,,,,,,,4.0,,,,,,,,510.0,,,,,,,,,,,,,,262.0,,,,,,,,,,,,,,,181.0,13.0,,,,,,,,
December 2017,Purulia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,
December 2017,Uttar Dinajpur,,,,,,,,,,,,,,,,,,7.0,,,,,,,,240.0,,,,,,,,,,,,,,148.0,,,,,,,,,,,,,,,74.0,4.0,,,,,,,,
December 2020,Alipurduar,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,51.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2020,Bankura,,,,,,,,,,,,,,,,,,,,,364.0,,,,,,,,,,,191.0,,,,11.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,12456.0,,,
December 2020,Birbhum,,,,,,,,,,,,,,,,,,,,,1899.0,,,,,,,,,,,212.0,,,,56.0,,58.0,,,,,,,,,,,,,,,,,,,,,,,12456.0,,,
December 2020,Cooch Behar,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,124.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2020,Darjeeling,,,,,,,,,,,,,,,,,,,,,186.0,,,,,,,,,,,76.0,,,,6.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,12456.0,,,
December 2020,Hooghly,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,237.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
