period,district,aadhaar_seeded,apy_sourced,apy_subscribed,female_a_c,male_a_c,no_of_nominations_done_in_pmjdy_acc,no_of_nominations_done_other_than_pmjdy_acc,no_of_pmjjby_claim_disbursed,no_of_pmsby_claim_disbursed,no_of_re_kyc_done_for_other_than_pmjdy_acc,no_of_re_kyc_done_for_pmjdy_acc,of_enrolment,pmjdy_opened,pmjdy_sourced,pmjjby_enrolled,pmjjby_sourced,pmsby_enrolled,pmsby_sourced,rupaycard_issued,rural_a_c,total_a_c,total_deposit,total_enrolment_uner_social_security_schemes,total_no_of_apy,total_no_of_pmjjby,total_no_of_pmsby,total_no_pmjdy_a_c,urban_a_c,zero_balance_a_c_s,zero_balance_account
December 2023,Purba Bardhaman,1882935.0,,,1324832.0,898455.0,,,,,,,,,,,,,,1639435.0,1697843.0,2223287.0,899.88,,,,,,525444.0,,87020.0
December 2023,Purba Medinipur,2212539.0,,,1449683.0,1142274.0,,,,,,,,,,,,,,1555746.0,2385984.0,2591957.0,1384.97,,,,,,205973.0,,123154.0
December 2023,Purulia,1727900.0,,,1108780.0,920426.0,,,,,,,,,,,,,,1192192.0,1696033.0,2029206.0,1077.23,,,,,,333173.0,,148303.0
December 2023,South 24 Parganas,4245132.0,,,2868813.0,2133240.0,,,,,,,,,,,,,,3115290.0,4260838.0,5002053.0,2094.31,,,,,,741215.0,,354986.0
December 2023,Uttar Dinajpur,2165480.0,,,1492957.0,1168794.0,,,,,,,,,,,,,,1374307.0,2091559.0,2661751.0,661.67,,,,,,570192.0,,243513.0
December 2024,Alipurduar,,,,,,,,,,,,,,,,,,,,,,,731005.0,68929.0,200380.0,461696.0,615758.0,,,
December 2024,Bankura,,,,,,,,,,,,,,,,,,,,,,,2028648.0,214336.0,465830.0,1348482.0,2381243.0,,,
December 2024,Birbhum,,,,,,,,,,,,,,,,,,,,,,,2510590.0,260368.0,695886.0,1554336.0,2437975.0,,,
December 2024,Cooch Behar,,,,,,,,,,,,,,,,,,,,,,,1714463.0,211204.0,426229.0,1077030.0,1733022.0,,,
December 2024,Dakshin Dinajpur,,,,,,,,,,,,,,,,,,,,,,,1057961.0,110394.0,271212.0,676355.0,1265679.0,,,
December 2024,Darjeeling,,,,,,,,,,,,,,,,,,,,,,,1264004.0,115685.0,368547.0,779772.0,666198.0,,,
December 2024,Hooghly,,,,,,,,,,,,,,,,,,,,,,,2876024.0,341632.0,696649.0,1837743.0,2520307.0,,,
December 2024,Howrah,,,,,,,,,,,,,,,,,,,,,,,2253891.0,252357.0,543995.0,1457539.0,2158642.0,,,
December 2024,Jalpaiguri,,,,,,,,,,,,,,,,,,,,,,,1719909.0,201562.0,460561.0,1057786.0,1620629.0,,,
December 2024,Jhargram,,,,,,,,,,,,,,,,,,,,,,,528754.0,44590.0,128921.0,355243.0,494155.0,,,
December 2024,Kalimpong,,,,,,,,,,,,,,,,,,,,,,,78554.0,6826.0,22869.0,48859.0,32465.0,,,
December 2024,Kolkata,,,,,,,,,,,,,,,,,,,,,,,2710575.0,223597.0,564198.0,1922780.0,1006215.0,,,
December 2024,Malda,,,,,,,,,,,,,,,,,,,,,,,2469793.0,316334.0,615893.0,1537566.0,3553864.0,,,
December 2024,Murshidabad,,,,,,,,,,,,,,,,,,,,,,,4366956.0,529420.0,1056946.0,2780590.0,4901613.0,,,
December 2024,Nadia,,,,,,,,,,,,,,,,,,,,,,,2837391.0,319487.0,656779.0,1861125.0,3292252.0,,,
December 2024,North 24 Parganas,,,,,,,,,,,,,,,,,,,,,,,4607397.0,490267.0,1077432.0,3039698.0,4720957.0,,,
December 2024,Paschim Bardhaman,,,,,,,,,,,,,,,,,,,,,,,1777827.0,74419.0,444563.0,1258845.0,1554417.0,,,
December 2024,Paschim Medinipur,,,,,,,,,,,,,,,,,,,,,,,2474019.0,304345.0,567640.0,1602034.0,2782050.0,,,
December 2024,Purba Bardhaman,,,,,,,,,,,,,,,,,,,,,,,2157681.0,334313.0,614835.0,1208533.0,2335906.0,,,
December 2024,Purba Medinipur,,,,,,,,,,,,,,,,,,,,,,,2670074.0,399433.0,594617.0,1676024.0,2701839.0,,,
December 2024,Purulia,,,,,,,,,,,,,,,,,,,,,,,1466375.0,155598.0,358384.0,952393.0,2163150.0,,,
December 2024,South 24 Parganas,,,,,,,,,,,,,,,,,,,,,,,4003480.0,414213.0,892573.0,2696694.0,5350441.0,,,
December 2024,Uttar Dinajpur,,,,,,,,,,,,,,,,,,,,,,,1588334.0,182731.0,396533.0,1009070.0,2833691.0,,,
December 2025,Alipurduar,,,,,,,,,,,,,,,,,,,,,,,880000.0,80788.0,257417.0,541795.0,871441.0,,,
December 2025,Bankura,,,,,,,,,,,,,,,,,,,,,,,2418679.0,262801.0,591230.0,1564648.0,2459220.0,,,
December 2025,Birbhum,,,,,,,,,,,,,,,,,,,,,,,2862766.0,304535.0,821638.0,1736593.0,2520554.0,,,
December 2025,Cooch Behar,,,,,,,,,,,,,,,,,,,,,,,2024967.0,249620.0,528646.0,1246701.0,1822555.0,,,
December 2025,Dakshin Dinajpur,,,,,,,,,,,,,,,,,,,,,,,1255591.0,134688.0,341287.0,779616.0,1312040.0,,,
December 2025,Darjeeling,,,,,,,,,,,,,,,,,,,,,,,1442868.0,130829.0,431298.0,880741.0,667242.0,,,
