period,district,10_km_to_20_km_2000,2000_5000,5000,59_min_loan_sanctioned_in_camp_in_principal_approval,5_km_7_5_km_2000,7_5_km_10_km_2000,above_20_km_2000,amount,amount_disbursed,amount_sanctioned,cgtsme_cover_no,ddiissbb_aammtt,disb_amt,kishore_no,loan_sanctioned_in_adopted_msme_cluster_no,loan_sponsored_in_handloom_cluster_interest_subvention_scheme_gowb_no,mm_claimed_no,mm_disbursed_no,mudra_pmmy_sanctioned_no,no_of_farmers_members_of_fpo,no_of_fpc,no_of_general_camps_conducted_during_the_quarter,no_of_loans_sanctioned,no_of_participants,no_of_rural_branches_in_district,no_of_target_specific_camps_conducted_during_the_quarter,pmjdy,pmjjby,pmsby,proposals_sponsored_generate_in_msme_cluster_no,restructure_of_msme_no,returned_no,sanc_amt,sanctioned_no,shishu_no,sponsored_in_fy_2022_23_no,target_for_2022_23_no,target_no,tarun_no,total,total_gp,total_no,total_no_of_camps,total_no_of_participants,total_of_gp_hqs_above_5_km_2000
December 2018,Bankura,,,,25.0,,,,374.81,220.0,641.56,86.0,,,,,,,,24942.0,,,,21.0,,,,6533.0,882.0,1533.0,,,,,,,,,15000.0,,,,,,,
December 2018,Murshidabad,,,,81.0,,,,518.7,486.21,1411.2,72.0,,,,,,,,145513.0,,,,47.0,,,,2420.0,3247.0,10472.0,,,,,,,,,23000.0,,,,,,,
December 2018,Nadia,,,,70.0,,,,679.74,278.21,1182.71,100.0,,,,,,,,106145.0,,,,50.0,,,,5558.0,853.0,2230.0,,636.0,,,,,,,26000.0,,,,,,,
June 2021,Bankura,,,,,,,,,,,,,,,,,,,,4024.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Birbhum,,,,,,,,,,,,,,,,,,,,2694.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Cooch Behar,,,,,,,,,,,,,,,,,,,,3000.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Darjeeling,,,,,,,,,,,,,,,,,,,,2000.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Hooghly,,,,,,,,,,,,,,,,,,,,2559.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Jalpaiguri,,,,,,,,,,,,,,,,,,,,7500.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
June 2021,Malda,,,,,,,,,,,,,,,,,,,,617.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
