District,Total Branch,Small and Marginal Farmers No.,Small and Marginal Farmers Amt,Scheduled Castes No.,Scheduled Castes Amt,Scheduled Tribes No.,Scheduled Tribes Amt,DRI scheme No.,DRI scheme Amt,Self Help Groups No.,Self Help Groups Amt,women beneficiaries No.,women beneficiaries Amt,Minority communities No.,Minority communities Amt,PMJDY No.,PMJDY Amt,Others No.,Others Amt,Total Weaker Sec O/S No.,Total Weaker Sec O/S Amt
Baksa,52,18909,12465.73,3369,2621.78,10688,10183.95,15,6.85,4200,4369.07,12692,3821.76,5508,4436.89,76,9.67,19929,6616.62,75386,44532.32
Barpeta,121,56149,37278.55,5414,4417.41,4633,3703.66,197,35.36,7066,5890.63,74964,22425.49,42489,44918.7,637,84.4,28675,14755.26,220224,133509.46
Biswanath,56,24672,15402.38,4180,3361.95,6940,4329.19,67,20.38,6056,5686.09,29056,9726.88,5050,4387.05,90,4.83,20162,8818.82,96273,51737.57
Bongaigaon,55,20783,12259.67,3939,3010.12,2397,3494.75,102,15,1980,2179.39,23861,7529.09,13128,13593.11,809,37.49,24843,11090.62,91842,53209.24
Cachar,161,53951,38626.62,21915,16222.23,6328,5775.86,607,121.25,5440,3805.81,107556,38402.35,40176,36783.18,1536,124.46,41542,43107.15,279051,182968.91
Charaideo,35,11998,8058.34,1322,1066.37,1078,800.74,54,11.42,1974,1838.23,10884,3631.09,1738,1514.43,121,18.9,7762,5191.99,36931,22131.51
Chirang,32,17253,10294.86,1319,1165.6,10944,8827.3,71,49.36,2588,2660.6,12196,4682.39,6258,4197.63,11,4.14,7484,2875.73,58124,34757.61
Darrang,70,35967,23682.26,2569,1978.85,2445,1979.35,93,14.39,5732,4726.21,52116,15662.6,24013,24150.15,746,38.54,17543,9812.13,141224,82044.48
Dhemaji,45,26917,18668.49,4117,3315.15,13657,13864.86,121,19.38,5688,4310.57,13670,4760.89,835,561.03,139,22.48,25559,12545.58,90703,58068.43
Dhubri,85,31888,19849.85,7173,4704.25,2565,2795.08,181,73.5,3690,3008.31,63032,22612.76,26191,25456.26,608,39.62,16805,10019.85,152133,88559.48
Dibrugarh,183,69894,46429.72,10253,8527.24,11232,10818.46,371,168.91,6278,5129.68,75060,23566.38,6705,10705.62,497,59.23,50677,33845.62,230967,139250.86
Dima Hasao,27,1266,625.62,1057,1276.53,2665,4431.42,75,6.47,1128,842.81,2343,1197.92,1011,1797.91,52,2.62,3304,3851.56,12901,14032.86
Goalpara,67,27641,15446.07,3402,2542.03,11773,6840.34,237,61.67,3974,3486.92,30524,10525.84,18342,16745.84,207,17.28,19774,9209.31,115874,64875.3
Golaghat,118,65517,36217.42,10321,6824.1,11612,7939.18,246,41.63,6092,5916.17,76309,24636.09,7729,5595.98,950,79.41,42323,18717.6,221099,105967.58
Hailakandi,44,19699,11164.4,4677,3552.1,1432,1236.85,121,21.84,2412,1612.2,19664,6934.18,20192,17600.63,93,21.08,7992,6422.41,76282,48565.69
Hojai,61,22048,13970.91,6939,5214.37,3627,2791.23,233,29.99,2500,2114.45,35779,14611.47,18429,13977.01,218,36.36,24098,13823.23,113871,66569.02
Jorhat,135,43418,23624.4,9958,6990.27,12780,8350.6,290,117.1,5715,5384.07,68948,20964.47,6071,9278.86,571,70.83,48042,26845.62,195793,101626.22
Kamrup Metro,167,72437,43564.48,9163,6564.45,9656,6836.53,382,104.13,11710,8701.59,95354,29742.27,26077,24557.27,589,76.89,55426,24509.17,280794,144656.78
Karbi Anglong,63,11200,6149.27,947,1302.78,12640,14964.01,32,4.01,3419,2859.75,13304,4182.59,1339,2288.39,134,4.92,21283,6879.81,64298,38635.53
Karimganj,87,29436,23225.32,10655,6316.81,2350,1689.24,221,55.14,3817,2629.89,56752,18268.24,19794,15508.03,326,61.03,15907,10511.84,139258,78265.54
Kokrajhar,51,21031,12843.27,2656,2067.22,15314,16874.84,101,35.8,2351,2171.53,23028,8298.75,11918,7766.74,105,11.68,6705,5573.24,83209,55643.07
Lakhimpur,89,57000,40473.03,11466,9956.86,16439,18094.85,370,44.72,6866,6170.75,53798,18407.26,12622,11953.2,88,36.12,60071,44764.54,218720,149901.33
Majuli,13,6231,3213.33,846,602.03,2510,1900.72,15,9.13,866,975.1,701,385.1,612,348.83,45,3.52,4027,2090.27,15853,9528.03
Morigaon,69,41408,31613.27,7931,5498.42,9497,6489.93,299,55.7,4597,3443.47,46186,17629.93,22026,14688.86,1781,133.74,21000,12162.76,154725,91716.08
Nagaon,150,79630,48467.83,13816,10970.61,9596,6860.48,458,73.46,8859,7765.31,132736,43837.9,58302,46239.53,1725,133.78,55214,39427.76,360336,203776.66
Nalbari,84,34091,19150.52,4142,3172.17,3647,3096.85,112,42.39,7757,7348.81,51572,14014.09,13915,13027.41,415,65.51,18764,9066.11,134415,68983.86
Sivasagar,95,28386,17409.14,5330,4449.12,4055,3370.68,178,22.78,3744,3189.81,51928,15362.01,6843,9500.79,679,61.2,30511,14718.75,131654,68084.28
Sonitpur,122,35415,25675.3,6959,6224.8,8304,7071.64,196,24.11,7595,5447.63,66123,21379.04,12828,14155.12,877,251.8,41397,26404.11,179694,106633.55
South Salmara,10,2447,1026.35,30,77.43,28,8.36,0,0,451,406.7,287,123.29,2642,5016.34,13,0.05,203,273.5,6101,6932.02
Tinsukia,149,50507,40004.25,4286,3961.6,7056,6250.4,192,44.91,5607,4831.27,45307,13544.46,5455,7743.09,1145,145.88,23512,14015.34,143067,90541.2
Udalguri,45,35595,22641.36,2431,1736.79,26005,25185.86,39,37.11,2756,2784.34,11309,4569.06,8814,10081.22,70,2.84,16965,6550.96,103984,73589.54
West Karbi Anglong,22,2648,1630.75,127,187.88,2099,3451.83,1,0.01,2158,1210.92,3670,1203.26,273,574.1,15,0.26,1770,441.54,12761,8700.55
