district,Total Branch,Micro No,Micro Amt,Small No,Small Amt,Medium No,Medium Amt,KVIC No,KVIC Amt,Other MSME No,Other MSME Amt,Tot MSME (PS) NPA No.,Tot MSME (PS) NPA Amt.
Baksa,52,4624,3991.4,8,25.61,0,0,698,923.17,145,15.38,5475,4955.56
Barpeta,121,7803,8167.43,101,565.94,1,2,303,493.04,96,11.74,8304,9240.15
Biswanath,56,4874,2301.72,24,136.15,4,475.45,98,143.49,158,14.45,5158,3071.26
Bongaigaon,55,1743,1576.78,55,664.9,15,141.17,300,437.37,55,4.34,2168,2824.56
Cachar,161,4357,6460,106,1450.85,6,63.31,204,334.24,14,2.11,4687,8310.51
Charaideo,35,2205,1668.14,12,207.17,0,0,87,187.98,76,4.8,2380,2068.09
Chirang,32,2321,2251.02,11,58.71,0,0,844,1010.51,13,3.9,3189,3324.14
Darrang,70,4784,4915.19,52,476.49,1,5,460,706.85,140,56.67,5437,6160.2
Dhemaji,45,3680,2997.89,47,721.37,0,0,184,294.64,124,10.99,4035,4024.89
Dhubri,85,5090,3648.18,47,202.01,1,6,451,516.44,151,10.89,5740,4383.52
Dibrugarh,183,10252,9317.83,199,4131.4,4,185,250,404.14,364,1240.28,11069,15278.65
Dima Hasao,27,2298,789.21,25,400.88,1,65.31,2,7.66,1,0.39,2327,1263.45
Goalpara,67,4256,4225.07,16,266.06,0,0,398,516.19,56,11.07,4726,5018.39
Golaghat,118,5071,3818.22,127,1177.03,5,7.47,189,283.5,197,20.6,5589,5306.82
Hailakandi,44,1745,1419.39,37,381.76,0,0,233,322.48,32,4.3,2047,2127.93
Hojai,61,2626,1957.4,39,132.32,0,0,15,20.48,48,3.72,2728,2113.92
Jorhat,135,7043,6334.76,185,4434.25,9,846.93,145,194.51,193,263.01,7575,12073.46
KARIMGANJ,87,2435,2475.55,43,500.47,1,62,109,164.15,43,482.45,2631,3684.62
Kamrup,167,9277,9478.53,203,1181.2,40,611.76,559,977.27,153,20.52,10232,12269.28
Kamrup Metro,417,13014,35714.89,988,38002.8,84,10643.08,148,229.39,216,1223.75,14450,85813.91
Karbi Anglong,63,786,854.28,7,43.56,0,0,99,24.92,1,0.03,893,922.79
Kokrajhar,51,3713,3823.12,17,220.1,1,2,901,1103.01,6,2.27,4638,5150.5
Lakhimpur,89,6494,6262.37,99,1056.04,2,43,133,243.42,141,24.3,6869,7629.13
Majuli,13,827,601.44,5,66.17,0,0,28,31.19,3,0.89,863,699.69
Morigaon,69,2988,3237.14,34,213.11,1,22,253,382.04,112,7.38,3388,3861.67
Nagaon,150,9056,10175.09,176,2099.63,1,20,410,629.38,354,31.81,9997,12955.91
Nalbari,84,6612,5609.02,39,207.33,0,0,577,991.65,160,18.23,7388,6826.23
Sivasagar,95,6091,4337.52,87,829.75,2,6.43,147,304.48,365,50.34,6692,5528.52
Sonitpur,122,6634,6232.03,141,1878.77,4,125,380,681.23,182,73.97,7341,8991
South Salmara,10,879,1119.26,0,0,0,0,184,304.21,0,0,1063,1423.47
Tinsukia,149,7695,6051.21,116,1515.76,3,76.38,230,345.71,190,70.12,8234,8059.18
Udalguri,45,4950,5833.9,5,63.11,0,0,627,1122.5,27,8.38,5609,7027.89
West Karbi Anglong,22,191,98.18,1,0.75,0,0,1,0.06,0,0,193,98.99
