District,Total Branch,Rural No.,Urban No.,Male No.,Female No.,Total PMJDY No.,No. of Zero Balance A/C,Amt. Deposits held in the A/C,No. of Rupay Card Issued,No. of Rupay Card Activated,No. of Aadhaar Seeded
Baksa,52,512087,226,199689,312537,512226,44189,15375.74,345112,195788,39104
Barpeta,121,1091226,358110,630770,818218,1448988,187687,102972.37,924319,582361,113917
Biswanath,56,321273,50152,150819,220555,371374,31192,12759.61,188470,112737,19642
Bongaigaon,55,247177,130370,154875,222059,376934,31271,14220.48,297018,170184,18018
Cachar,161,712296,304358,470251,546329,1016580,70969,51259.34,623448,432295,59092
Charaideo,35,219559,60398,114597,165307,279904,25859,10998.41,162843,88135,4433
Chirang,32,293184,14384,121693,185815,307508,36834,8357.7,180215,123553,16498
Darrang,70,657664,204836,364433,498016,862449,106282,32005.81,442500,268885,36755
Dhemaji,45,538016,116185,283884,370208,654092,35464,15927.15,422530,282049,18315
Dhubri,85,1156882,294677,612378,838506,1450884,206385,43682.27,791448,512507,58946
Dibrugarh,183,454794,196700,270283,381079,651362,69193,36629.43,441390,292883,27747
Dima Hasao,27,37496,8196,20509,25170,45679,1436,1778.59,24328,16327,6128
Goalpara,67,487443,193635,275107,405853,680960,79842,18019.27,402561,264035,38374
Golaghat,118,509423,114321,257562,366098,623660,46528,26120.02,361264,235430,38418
Hailakandi,44,322430,127149,204136,245391,449527,46412,31209.88,255759,174978,26402
Hojai,61,341035,265041,260741,345215,605956,50832,34182.73,434297,311919,56764
Jorhat,135,254363,219161,200762,272667,473429,41286,34024.9,312515,219927,21258
Kamrup Metro,167,779826,110626,372746,517158,889904,78620,36994.47,639728,388773,57676
Karbi Anglong,63,128555,34543,70021,93062,163083,13007,4068.74,90488,49301,15571
Karimganj,87,572072,68097,294705,345400,640105,55899,32638.37,367352,268288,37387
Kokrajhar,51,530195,86224,266646,349597,616243,80601,25237.81,348936,215249,38736
Lakhimpur,89,543605,219509,332419,430356,762775,40389,28572.8,533441,350860,28873
Majuli,13,119256,16444,60157,75513,135670,12086,5024.79,68224,53798,6912
Morigaon,69,474281,218300,301990,390365,692355,53940,44923.67,471777,304847,49880
Nagaon,150,1114155,456110,684693,885482,1570175,194980,51873.67,910883,564485,226810
Nalbari,84,353335,92634,184038,261505,445543,46964,21095.88,234585,146810,42747
Sivasagar,95,267029,75762,146093,196587,342680,20808,21235.48,256608,153421,15067
Sonitpur,122,554898,196215,302218,448743,750961,99084,27458.02,436969,278623,73386
South Salmara,10,226648,21303,95199,152705,247904,40528,4547.52,110469,83978,20052
Tinsukia,149,426634,265520,295916,396388,692304,68133,67595.62,423532,334406,41204
Udalguri,45,529254,105890,261630,373428,635058,86802,15581.46,355648,237892,21317
West Karbi Anglong,22,77419,0,31281,46128,77409,5873,4800.76,37268,23923,9515
