district,Total Branch,CHRISTIANS No.,CHRISTIANS Amt,MUSLIMS Amt.,BUDDHISTS No,BUDDHISTS Amt.,SIKHS No.,SIKHS Amt.,ZORASTRIANS No.,ZORASTRIANS Amt.,JAINS No.,JAINS Amt.,Tot Loan to Minority O/S No.,Tot Loan to Minority O/S Amt.
Baksa,52,192,359.87,7037.52,14,36.5,0,0,1,1.48,23,25.05,10290,7460.42
Barpeta,121,178,433.38,92682.12,46,49.73,12,59.43,3,3.51,30,338.86,110682,93567.03
Biswanath,56,531,495.74,8736.02,20,34.9,8,55.66,4,3.88,15,140.2,15783,9466.4
Bongaigaon,55,1669,1235.66,32155.55,75,65.64,21,67.67,1,1.31,20,92.45,41227,33618.28
Cachar,161,2299,4150.03,90962.31,54,112.06,35,149.71,4,0.87,23,219.37,114190,95594.35
Charaideo,35,170,143.69,1958.63,65,53.23,17,48.94,3,4.78,6,0.75,3236,2210.02
Chirang,32,3239,2234.54,7126.97,79,42.76,2,4.32,4,3.87,3,1.4,14557,9413.86
Darrang,70,293,451.09,49378.52,52,96.64,2,3.38,1,0.08,20,274.96,72681,50204.67
Dhemaji,45,113,150.44,925.71,8,17.49,18,81.44,0,0,4,8.17,1544,1183.25
Dhubri,85,601,783.31,82594.28,16,8.63,14,46.46,2,1.12,20,113.16,103007,83546.96
Dibrugarh,183,1330,2672.67,17599.05,194,646.47,257,1103.63,7,5.69,42,381.56,16811,22409.07
Dima Hasao,27,2119,5783.87,948.19,3,4.4,7,20.57,0,0,0,0,2707,6757.03
Goalpara,67,6079,3697.59,39584.24,20,10.24,13,39.47,14,10.15,13,45.29,52384,43386.98
Golaghat,118,1794,1174.58,12059.59,341,245.06,67,113.76,5,2.39,25,135.35,20582,13730.73
Hailakandi,44,219,346.44,32517.02,5,16.86,4,5.79,0,0,1,0.4,35494,32886.51
Hojai,61,295,475.88,27271.5,14,48.79,26,46.43,1,0.91,2,0.62,37216,27844.13
Jorhat,135,1487,3391.65,12645.5,589,595.25,108,572.73,3,3.22,51,1300.1,16101,18508.45
Kamrup Metro,167,1574,1280.68,64257.73,502,282.7,70,356.77,0,0,45,779.76,90211,66957.64
Karbi Anglong,63,3812,3664.69,1775.68,71,203.93,7,22.03,1,0.09,6,23.15,5205,5689.57
Karimganj,87,819,662.34,36311.25,17,14.28,10,47.45,1,3.84,6,15.55,53163,37054.71
Kokrajhar,51,5049,3970.47,14858.28,7,3.25,12,54.28,2,36.31,9,48.97,26221,18971.56
Lakhimpur,89,1403,1043.3,21624.51,50,132.66,33,35.55,22,15.49,4,5.14,34233,22856.65
Majuli,13,9,6.58,383.43,1,0.16,0,0,0,0,0,0,643,390.17
Morigaon,69,100,123.3,26574.72,20,48.03,11,40.14,1,0.23,4,17.79,44392,26804.21
Nagaon,150,940,978.4,99778.75,244,131.72,146,387.76,32,12.95,37,128.14,154199,101417.72
Nalbari,84,89,105.46,28843.07,39,36.62,27,28.02,3,2.3,20,550.39,38894,29565.86
Sivasagar,95,658,741.31,23591.87,199,185.09,56,108.51,1,2.33,13,55.28,20867,24684.39
Sonitpur,122,1735,3163.39,27903.67,175,781.19,83,328.26,3,0.61,26,260.91,45693,32438.03
South Salmara,10,10,5.07,8124.44,0,0,0,0,0,0,0,0,5081,8129.51
Tinsukia,149,1347,3330.28,9341.15,461,1294.77,157,1542.6,2,0.68,40,383.12,11898,15892.6
Udalguri,45,5893,8310.92,8251.27,16,6.61,4,1.82,5,3.06,5,1.61,12623,16575.29
West Karbi Anglong,22,446,795.09,149.11,2,1.48,5,1.65,1,0.31,0,0,496,947.64
