district,Total Branch,Export Credit A/C,Export Credit Amt,Education (PS) A/C,Education (PS) Amt,Housing (PS) A/C,Housing (PS) Amt,Social Infrastructure A/C,Social Infrastructure Amt.,Renewable Energy A/C,Renewable Energy Amt,Informal Credit A/C,Informal Credit Amt,Total Other PS Disb No.,Total Other PS Disb Amt.,Loans to weaker No,Loans to weaker Amt
Baksa,52,0,0,15,26.85,113,653.79,104,33.71,40,115.5,705,389.29,977,1219.14,3106,2726.15
Barpeta,121,0,0,126,150.89,390,2226,28,17.51,68,120.22,5863,2777.45,6475,5292.07,12522,11483.3
Biswanath,56,0,0,43,51.08,99,628.39,0,0,64,106.92,2095,1205.23,2301,1991.62,2946,2643.36
Bongaigaon,55,1,0.31,39,75.82,325,1957.25,191,113.58,37,61.15,2789,1278.19,3382,3486.3,7705,6550.98
Cachar,161,0,0,356,273.55,1113,2848.64,722,199.23,319,462.1,14765,8244.05,17275,12027.57,9918,8147.94
Charaideo,35,0,0,15,10.97,60,562.58,0,0,44,47.48,726,404.5,845,1025.53,1909,1434.21
Chirang,32,0,0,10,8.55,92,258.36,7,2.37,39,105.82,1857,981.18,2005,1356.28,2836,2563.19
Darrang,70,0,0,111,112.68,398,1166.08,11,3.49,85,186.92,2269,1243.95,2874,2713.12,5131,5683.23
Dhemaji,45,0,0,55,82.18,373,1402.92,1,95,40,121.26,1339,790.55,1808,2491.91,5525,4685.91
Dhubri,85,0,0,74,86.98,440,1649.58,4,1.54,75,162.64,6905,3314.82,7498,5215.56,6809,7211.76
Dibrugarh,183,0,0,240,364.07,512,2778.7,1,10,243,461.99,5799,2860.1,6795,6474.86,18312,15385.54
Dima Hasao,27,0,0,9,14.3,37,337.36,0,0,345,2158.13,8,13,399,2522.79,160,426.46
Goalpara,67,0,0,36,54.7,152,947.87,113,37.75,58,106.71,2826,1407.92,3185,2554.95,4853,5159.07
Golaghat,118,1,0.11,130,191.34,237,1305.21,1,4,227,340.79,4932,2769.23,5528,4610.68,13286,8518.38
Hailakandi,44,0,0,15,20.13,92,291.76,2,4,80,132.38,2812,1448.2,3001,1896.47,2642,2021.89
Hojai,61,0,0,43,72.56,89,574.58,0,0,31,45.71,3248,2234.43,3411,2927.28,3443,2865.85
Jorhat,135,0,0,280,432.27,528,2971.1,1,1.21,188,334.8,3861,1894.4,4858,5633.78,9329,8220.88
KARIMGANJ,87,0,0,21,24.31,240,859.13,58,32.03,154,385.35,7595,3900.27,8068,5201.09,3138,3275.18
Kamrup,167,0,0,514,544.28,700,2825.66,19,22.5,99,219.39,8015,4028.15,9347,7639.98,15777,11427.09
Kamrup Metro,417,0,0,1151,1834.8,1884,15086.25,114,1167.32,220,445.35,4506,5598.28,7875,24132,13046,47452.77
Karbi Anglong,63,0,0,33,37.15,367,2241.39,33,36.65,817,5491.25,821,377.36,2071,8183.8,9343,5492.15
Kokrajhar,51,0,0,35,85.87,124,705.24,261,876.77,88,212.59,4523,2105.13,5031,3985.6,4074,5181.11
Lakhimpur,89,0,0,113,119.26,725,4600.23,2,1.05,67,159.8,2484,1395.57,3391,6275.91,11655,9890.74
Majuli,13,0,0,11,11.84,22,256.29,0,0,6,1.1,0,0,39,269.23,552,925.05
Morigaon,69,0,0,24,52.18,153,814.58,1,0.95,67,155,2875,1785.04,3120,2807.75,4958,3024.24
Nagaon,150,0,0,95,121.2,416,2399.01,22,16.48,195,384.35,7389,4598.93,8117,7519.97,13500,12401.87
Nalbari,84,0,0,101,107.57,321,1935.59,22,18.37,77,162.79,2115,1182.01,2636,3406.33,5460,5168.56
Sivasagar,95,0,0,86,203.5,319,1837.17,2,2.93,205,374.1,3581,1857.43,4193,4275.13,8746,7824.22
Sonitpur,122,0,0,157,208.26,504,2717.79,34,10.9,74,116.22,3604,2515.28,4373,5568.45,8284,8319.08
South Salmara,10,0,0,3,4.21,55,193.49,0,0,1,1,4,20.68,63,219.38,299,761.78
Tinsukia,149,0,0,203,293.24,278,2021.46,0,0,89,153.64,3362,1866.76,3932,4335.1,13592,12500.85
Udalguri,45,0,0,92,95.13,263,1509.78,120,33.54,39,69.1,886,527.75,1400,2235.3,5703,4183.32
West Karbi Anglong,22,0,0,7,18.71,92,339.36,0,0,194,1046.44,1,0.05,294,1404.56,751,538.47
