district,Total Branch,No. of KCC issued during quarter (Including renewal),KCC Disbursed Amount during quarter,Total O/S KCC No.,Total O/S KCC Amount.,Number of rupay card Issued,KCC Card activated,No. of KCC for animal husbandary issued during quarter (Including renewal),KCC for animal husbandary Amount disbursed during quarter,AH Total no. of KCC,AH Outstanding amount.,AH Number of rupay card Issued,AH Card activated,No. of KCC for Fishries issued during quarter (including renewal),KCC for Fishery Amount disbursed during quarter,Fishery Total no. of KCC,Fishery Outstanding amount.,Fishery Number of rupay card Issued,Fishery Card activated
Baksa,52,1747,1447.32,18570,11479.05,8436,7290,8,3.61,113,206.36,19,17,1,2.03,18,23.57,13,13
Barpeta,121,6134,5288.69,58650,33788.55,25032,20861,38,29.46,385,564.11,35,34,56,108.12,313,431.21,43,26
Biswanath,56,2762,1963.11,24636,14817.53,10231,8421,22,26.24,203,271.42,21,20,10,3.68,24,23.24,3,3
Bongaigaon,55,1017,1278.27,13133,8002.9,6522,5531,13,10.06,192,231.79,1,1,41,57.06,155,146.53,1,1
Cachar,161,4868,2946.47,47352,27003.14,27277,24993,44,39.3,1506,2043.73,5,4,74,90.44,430,385.98,66,61
Charaideo,35,572,408.21,9977,6100.22,6035,5978,18,11.03,212,295.65,0,0,23,24.36,86,74.68,3,3
Chirang,32,2204,1525.28,17260,9776.08,10343,9745,6,8.72,120,165.85,2,2,7,11.24,13,56.7,1,1
Darrang,70,2989,2534.2,37661,20276.42,18490,16387,77,89.84,330,419.69,4,4,163,123.02,518,420.01,27,22
Dhemaji,45,2470,1964.07,25237,15204.77,12836,10292,16,14.26,410,473.41,23,23,7,10.33,69,59.53,14,14
Dhubri,85,1455,1272.18,28348,15906.46,14234,12048,12,13.26,511,741.29,18,18,44,155.22,65,333.29,0,0
Dibrugarh,183,8269,6262.34,73557,43565.71,34055,27505,38,37.67,765,1064.51,26,22,30,45.11,119,129.31,3,3
Dima Hasao,27,255,134.86,1883,664.81,842,825,3,2.38,77,60.03,47,46,0,0,5,2.87,3,2
Goalpara,67,2986,1777.34,24432,12210.32,14922,14072,11,10.52,395,447.88,1,1,71,103.28,448,349.29,7,7
Golaghat,118,5616,4092.45,58958,31185.95,26837,21945,26,27.25,532,769.69,9,6,15,27.02,38,48.14,4,4
Hailakandi,44,1197,662.47,17932,9088.99,10443,9992,14,12.07,398,491.66,7,7,11,24.25,25,46.88,4,4
Hojai,61,1752,1055.43,20599,11358.16,12883,11249,21,25.51,438,790.3,1,0,12,27.61,36,144.86,0,0
Jorhat,135,3763,2492.37,44356,21263.01,23912,20542,29,42.57,682,859.85,19,11,27,39.93,168,133.28,5,4
KARIMGANJ,87,1446,991.73,27691,15661.5,16016,15226,25,25.42,1150,1520.3,5,5,35,48.11,132,288.96,25,25
Kamrup,167,8332,5039.43,73335,38376.26,36552,31059,27,32.69,577,897.02,20,12,37,51.98,246,267.08,21,21
Kamrup Metro,417,1283,1855.02,10280,7058.88,5662,5080,20,117.47,292,787.81,2,1,65,111.54,355,410.96,10,9
Karbi Anglong,63,5035,2892.16,27767,13430.06,4885,4144,57,34.56,135,134.49,1,1,27,5.84,48,33.73,1,1
Kokrajhar,51,1938,2249.88,23390,14620.46,10308,9772,6,6.08,152,178.9,0,0,40,15.25,88,62.55,0,0
Lakhimpur,89,6017,4454.69,60229,35300.48,24503,20089,43,38.15,965,1307.15,50,37,69,63.92,231,349.48,4,4
Majuli,13,297,222.73,4696,2319.67,2435,2407,4,3.62,48,94.32,0,0,18,23.87,77,66.31,10,10
Morigaon,69,2514,1781.62,38247,22809.61,22933,20955,109,88.52,1195,1420.17,53,42,116,60.73,236,243.31,42,24
Nagaon,150,7896,6306.89,94428,47629.64,40566,35019,61,81.05,1524,2131.42,78,78,359,100.46,714,1383.53,71,70
Nalbari,84,3410,1920.59,41260,17171.06,13620,12234,26,30.48,513,567.5,82,79,14,36,142,147.78,24,17
Sivasagar,95,2226,1556.56,29643,14470.75,13426,11253,33,31.6,475,549.14,7,7,73,179.64,228,399.06,104,102
Sonitpur,122,4326,3200.33,32308,19846.92,16977,14735,25,56.14,489,690.03,47,47,28,49.75,143,328.19,4,4
South Salmara,10,31,14.59,2282,792.83,918,859,0,0,0,0,0,0,2,0,17,14.72,6,6
Tinsukia,149,7287,6727.82,54728,35776.19,26727,23794,38,36.35,922,1350.74,34,34,30,45.3,141,170.96,1,1
Udalguri,45,2794,2146.17,31689,20252.6,14036,12958,5,4.88,116,133.55,3,2,14,20.25,142,112.98,0,0
West Karbi Anglong,22,911,492.31,10272,4000.86,848,565,0,0,7,4.13,0,0,1,0.5,7,0.41,0,0
