district,Total Branch,SC Disb No,SC Disb Amt,SC O/S No,SC O/S Amt,ST Disb No,ST Disb Amt,ST O/S No,ST O/S Amt
Baksa,52,589,1096.54,4875,4860.57,2397,5670.45,17582,22310.19
Barpeta,121,1275,2546.84,8719,8649.63,1025,2779.21,6686,8983.83
Biswanath,56,1087,1626.59,6875,6099.72,1053,1160.97,11685,7594.87
Bongaigaon,55,859,2300.44,6049,7703.31,856,3000.73,5733,11022.86
Cachar,161,5419,5955.15,25532,23514.81,754,1977.32,7394,9926.9
Charaideo,35,259,300.91,1529,1375.71,204,338.63,1328,1464.54
Chirang,32,380,586.08,1858,2043.68,1684,5014.26,14339,17649.09
Darrang,70,570,1145.3,3567,3551.31,390,773.1,3383,3713.71
Dhemaji,45,709,1166.72,5941,5588.12,4056,9869.11,25767,34804.5
Dhubri,85,1149,1834.19,8684,8017.34,875,2636.11,4179,8018.73
Dibrugarh,183,2235,3614.5,14922,15642.47,2772,6577.69,17189,24682.42
Dima Hasao,27,136,388.93,1365,2130.74,1169,4388.2,5097,12895.2
Goalpara,67,829,1202.6,5179,4625.49,1890,3108.17,16140,14384.93
Golaghat,118,1771,2279.03,13641,10778.16,2223,3030.16,16020,13810.25
Hailakandi,44,1474,1595.3,5733,5505.49,101,307.18,1621,1791.3
Hojai,61,1032,1376.33,9494,7573.97,354,1113.44,4450,4797.14
Jorhat,135,1812,2858.88,13661,12216.55,2099,3740.62,17465,15803.54
KARIMGANJ,87,2793,2707.95,12198,8281.21,177,294.8,2517,2210.11
Kamrup,167,1989,2829.54,14567,11822.32,2400,3915.68,16448,15245.91
Kamrup Metro,417,2902,10410.48,17331,37145.11,3441,15964.83,22723,65008.54
Karbi Anglong,63,403,1204.48,1591,3312.99,5660,13562.05,22390,41079.01
Kokrajhar,51,687,1483.58,3643,4635.66,4906,16890.78,25533,54324.83
Lakhimpur,89,1572,2137.31,16628,14613.28,4171,8460.95,25864,33743.55
Majuli,13,146,340.04,1743,1236.01,340,954.12,3030,3481.04
Morigaon,69,1170,1052.09,9978,7033.41,1240,1242.25,13234,9123.05
Nagaon,150,1834,3159.89,19113,15809.04,1556,2118.88,13260,11613.19
Nalbari,84,663,1387.8,5892,5611.59,513,1073.35,5159,5259.02
Sivasagar,95,1566,2660.61,8685,9297.03,954,2762.03,6369,8532.72
Sonitpur,122,1187,2009.15,9469,9886.09,1495,2800.71,12996,13927.93
South Salmara,10,19,70.55,88,167.54,12,54.76,72,134.07
Tinsukia,149,1096,1994.25,5784,6768.51,1795,4067.07,9197,12838.42
Udalguri,45,563,911.95,3604,3325.28,4795,8202.24,35414,40340.96
West Karbi Anglong,22,88,214.04,305,677.42,1119,2933.25,4538,10415.26
